SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
69	4	14	26	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,DST,SYNE1,DISC1,GRB2,TTN,SMAD9
70	4	14	26	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,DST,SYNE1,DISC1,GRB2,TTN,SMAD9
71	4	14	26	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,DST,SYNE1,DISC1,GRB2,TTN,SMAD9
72	4	15	25	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,SYNE1,DISC1,GRB2,TTN,SMAD9
73	4	15	25	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,SYNE1,DISC1,GRB2,TTN,SMAD9
74	4	15	25	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,SYNE1,DISC1,GRB2,TTN,SMAD9
75	4	15	25	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,SYNE1,DISC1,GRB2,TTN,SMAD9
76	4	16	23	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,SYNE1,DISC1,GRB2,TTN,SMAD9,ESR2
77	4	17	22	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2
78	4	17	22	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2
