Gene	VHL	ZNF512B	EPAS1	PBRM1	TCEB1	HIF1A	TCEB2	MDFI	APC	CUL2	ARNT	FBXW11	SH3BP5	SQSTM1	VEGFA	DST	HSP90AA1	TP53	DDX41	RBX1	KDR	PIK3CA	SYNE1	ABL1	MLH1	GOLGA2	SPTBN1	BPTF	FYN	ESR2	MTOR	RUFY1	SMAD2	TNIK	SMAD3	RAB39B	MACF1	TRAF6	GABARAPL2	GLI3	NCSTN	UIMC1	SIAH1	SLU7	SMAD9	MGAT1	DISC1	SMAD1	KEAP1	KRTAP10-3	SOS1	CANX	SMURF2	PDZD2	GRIP2	NRXN1	CRK	SKIL	RELA	TRAF5	TRAF3IP1	SMAD4	SEC13	TXNDC17	SIPA1L1	TGFBR1	MSH3	MAPK6	APH1B	MYO16	SEC16B	EXOSC8	EGFR	CMTM6	TBC1D9B	CTNNB1	AP2B1	ATXN1	FLT1	CEP70	TNKS	CDC5L	PCNA	PLCG2	TOE1	SMURF1	XRCC6	PPHLN1	GFI1B	KDM3B	GRB2	GSK3B	SETD2	AKT1	ATN1	EXOC1	MAP1LC3B	UBC	GABARAPL1	IRAK1
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0
GeneName	VHL	ZNF512B	EPAS1	PBRM1	TCEB1	HIF1A	TCEB2	MDFI	APC	CUL2	ARNT	FBXW11	SH3BP5	SQSTM1	VEGFA	DST	HSP90AA1	TP53	DDX41	RBX1	KDR	PIK3CA	SYNE1	ABL1	MLH1	GOLGA2	SPTBN1	BPTF	FYN	ESR2	MTOR	RUFY1	SMAD2	TNIK	SMAD3	RAB39B	MACF1	TRAF6	GABARAPL2	GLI3	NCSTN	UIMC1	SIAH1	SLU7	SMAD9	MGAT1	DISC1	SMAD1	KEAP1	KRTAP10-3	SOS1	CANX	SMURF2	PDZD2	GRIP2	NRXN1	CRK	SKIL	RELA	TRAF5	TRAF3IP1	SMAD4	SEC13	TXNDC17	SIPA1L1	TGFBR1	MSH3	MAPK6	APH1B	MYO16	SEC16B	EXOSC8	EGFR	CMTM6	TBC1D9B	CTNNB1	AP2B1	ATXN1	FLT1	CEP70	TNKS	CDC5L	PCNA	PLCG2	TOE1	SMURF1	XRCC6	PPHLN1	GFI1B	KDM3B	GRB2	GSK3B	SETD2	AKT1	ATN1	EXOC1	MAP1LC3B	UBC	GABARAPL1	IRAK1
MutualExclScore	86.51107503607503	0.3333333333333333	1.7777777777777777	55.53877372627375	2.0	0.7333333333333333	0.3333333333333333	0.0	2.5625	1.0	1.0254329004329004	7.838160450660441	7.169318181818183	7.581017593517585	0.0	10.062734487734486	0.7909090909090909	6.517857142857142	7.914350926850918	0.0	2.8095238095238093	2.9333333333333336	6.831746031746032	0.7853535353535354	7.639556277056279	1.0	1.5714285714285714	2.333333333333333	1.3333333333333333	0.41666666666666663	12.876587301587302	7.781017593517586	0.4583333333333333	1.9166666666666665	0.16666666666666666	0.7	3.975000000000001	0.4444444444444444	0.0	2.125	0.9004329004329004	8.789350926850918	0.0	9.068716006216	0.125	7.581017593517585	0.5	0.0	0.5833333333333334	1.1833333333333333	1.5999999999999999	7.671926684426676	1.25	2.476190476190476	7.169318181818183	1.5158730158730158	0.0	0.5	0.8583333333333334	1.317099567099567	3.670238095238095	1.0	7.752651515151517	0.3333333333333333	2.85479797979798	0.0	1.3333333333333333	0.0	0.2388888888888889	1.8541666666666665	0.5833333333333333	1.0	1.9023809523809523	7.431222943722946	8.614350926850918	0.5	1.0833333333333333	1.0	3.033333333333333	0.09090909090909091	1.3575757575757577	0.3333333333333333	0.27692307692307694	1.1428571428571428	0.3333333333333333	0.5	0.0	0.75	0.4583333333333333	0.6636904761904762	0.14285714285714285	0.8622766122766122	19.898917748917746	0.5694444444444444	2.1087662337662336	0.3333333333333333	0.0	0.4519230769230769	0.0	0.6623376623376623
MutQty	209	1	4	138	3	3	1	0	6	1	5	80	57	81	0	22	4	12	82	0	5	10	18	4	57	3	5	6	2	2	31	82	2	5	1	2	13	2	0	4	4	85	0	79	1	81	1	0	2	3	5	82	2	11	57	6	0	1	4	5	10	1	59	1	9	0	2	0	3	6	2	2	7	57	84	1	3	2	7	1	4	1	2	2	1	1	0	2	2	5	1	5	47	3	7	1	0	3	0	3
TCGA-BP-4161-01	1		1	1									1												1																														1								1											1																			1							
TCGA-CJ-6033-01	1			1		1						1		1					1			1										1					1					1		1		1						1		1																					1																									
TCGA-CJ-4634-01	1			1		1																																																																																														
TCGA-CZ-5466-01	1			1					1																																																																																											
TCGA-BP-4329-01	1			1							1																														1																			1																															1		1							
TCGA-B0-5085-01	1			1								1	1	1					1						1							1										1		1		1						1			1								1											1	1																									
