TCGA-VQ-A8PM-01	1						1																												1																													1																									1																											1																																																																																																																																																																																																																																																																																																																																																						1																																										
TCGA-IN-A6RS-01	1						1																													1																															1																																																																																																																																																																																																																																																		1																							1																																																																																																																																																																								
TCGA-EQ-8122-01	1						1																																		1										1																																																																																																																														1																																																																																	1															1																											1																																																1																																																1																																																																																																								
TCGA-HU-A4HD-01	1						1																																					1					1			1												1																							1																			1			1																															1					1																																																					1																													1																																																																					1	1									1																																															1																					1																																										1																																									1																																											
TCGA-VQ-A8E7-01	1						1																																										1																																																				1																																			1																																																																																											1														1																																																																																													1																																																																																									1																																																																													
TCGA-D7-6820-01	1						1																																																					1																																									1																																																																																																																			1																								1																																																																										1																																																						1																																		1																																																																																																		
TCGA-D7-A6F2-01	1						1																																																								1																									1																		1																																																												1								1				1																																																																																																																																																																																													1						1																											1																																																																																			1																	
TCGA-BR-7715-01	1						1																																																									1			1																			1																																														1																																																																																	1				1								1																																																																																																																																																1																												1																																																																	1					1															1																		
TCGA-CG-4466-01	1						1																																																												1				1				1																																												1																																									1																																																										1																													1																																			1																																																																																																		1																																																																																																																								
TCGA-IN-A6RL-01	1							1								1																										1																									1																																	1																																																			1																																													1																																																						1																		1								1																																																																			1	1																1												1																									1			1							1	1												1																																		1						1																				1																				
TCGA-VQ-A8DU-01	1							1																						1																									1									1									1																																																						1																																	1																	1																																																											1																																																																																															1			1																				1																											1				1																																																																				1																												1																			
TCGA-BR-8297-01	1								1								1																																																		1																																							1																																																							1																																			1																																																														1																																																	1		1																																									1	1																																								1						1															1										1																																	1										1																		1									1								
TCGA-BR-8060-01	1								1									1																																	1									1				1																																																																																																									1																											1																																																																																																																																																										1																																							1		1																												1																			1																									1										1																											
TCGA-BR-A4CQ-01	1								1																																																										1																																1												1																																								1																																																																																																																																																																					1												1																						1																								1																						1																																																																																							1																	
TCGA-IN-A6RJ-01	1								1																																																																1																																								1							1																																																	1																																	1																																																																																																																																																																																											1		1																																																																										1																		1																	
TCGA-RD-A8MW-01	1								1																																																																		1																																																			1																																																																						1																																												1							1																																																																												1																																											1																									1																																																																																																													
TCGA-CD-A487-01	1									1																				1												1							1															1		1	1																			1																																									1																														1																																																													1																		1										1																								1																																																																										1																																																											1																																																																														1											1	1							
TCGA-B7-A5TN-01	1									1																																1																									1								1																																																								1																																																													1																																																							1																																																																																																	1																																																				1																																																																																																1								
TCGA-BR-8484-01	1									1																																							1																										1																																																																																																																																																																												1																																																																												1									1																																																																																																																																																																								
TCGA-BR-7723-01	1									1																																																						1			1																						1																																																										1																																																																																																														1																																																																		1																																																		1																		1																																																																																																													
TCGA-D7-A6F0-01	1									1																																																						1																																																																																																		1															1																																																													1																									1																																														1														1						1																																																																																																																																																																											
TCGA-CD-8526-01	1									1																																																																				1																																																																																										1																												1																																																																																																																																																																																													1	1																																																																																																			1															
TCGA-KB-A93J-01	1										1																														1	1							1																																		1																																																																																																																																																																					1																																																																																						1										1																																																				1			1								1																																												1																																																	
TCGA-HU-A4GP-01	1										1																																					1																									1																																																																																																																											1																						1																																																																																											1																				1	1																																																							1	1																	1																																1	1																																																																
TCGA-CD-5813-01	1											1																				1																																																																					1																																																								1																																																																																																																																																																																																																																																						1																																																																																																	
TCGA-BR-6803-01	1											1																																																																																																																																																																					1																																																																																																																																																																																																																																																																																																																																			
TCGA-D7-6518-01	1											1																																																																																																																																																																																																					1																																																																																														1																																																	1																																																																								1						1																													1																		1		1																					
TCGA-R5-A7O7-01	1												1																	1																																		1			1			1																																				1																					1																																																																																																									1				1																																																																																							1																																																																1																																																																																														1																			
TCGA-CD-8531-01	1												1																							1																1										1							1																																																		1		1											1													1					1																			1	1		1																								1		1				1																																																									1																																																																																														1																																1			1	1																																	1											1																																																																			
TCGA-HF-7131-01	1													1																																			1							1																																											1																																																																																																																																																																									1																																																																																																																																																																																																																				1																				
TCGA-BR-8080-01	1														1																			1																						1																																							1																													1																																																																																														1				1																																																																																																																																																																																																																																																																														1					1			
TCGA-IN-A7NU-01	1															1																																																																																										1																																																																																																																																																																																																																																																																										1																												1																																																																	1																		1	1																
TCGA-BR-8679-01	1																1																																																														1																						1																																																										1																																			1																																																																																																							1																																																																								1																													1																													1				1																																																				1																	
TCGA-CD-A48C-01	1																	1														1																							1		1													1					1																																																																																																						1																																																																						1																													1																																																																																																																																																														1								1																																									1													1				
TCGA-VQ-A8E2-01	1																	1																								1																						1																																						1																															1																																																																																																																																																																																																																			1																	1			1																		1																																																																								1																																														
TCGA-BR-6456-01	1																				1																	1																												1																	1																																																																																																																																																																																																																																																																																																																																																																																																																																	
TCGA-BR-4366-01	1																				1																												1															1																																																																																																																																																						1																																1																																																																						1				1		1																																																1																																																																																									1				1																																					
TCGA-CG-4436-01	1																				1																															1											1												1																							1			1																																																																																												1																						1												1														1					1	1																																																			1																									1																											1																			1												1																																																				1																													1																																						
TCGA-BR-A4IY-01	1																							1					1													1																																																																															1																																																																								1																																																																																																																																																							1																																								1																																																																																														1																						
TCGA-D7-A74B-01	1																								1			1																																				1																																																																																																																												1																																																																																												1																																																																																																																																													1																																						1																																									
TCGA-D7-6817-01	1																									1		1																1																																																																																																																1																																																																																																																								1																																																																														1										1			1					1				1																						1					1																																																																																1																	1
TCGA-BR-7716-01	1																										1																																												1			1																																																																																																																																																																						1																																																																			1																																																																																																1													1																																																													1							1																
TCGA-IN-A7NT-01	1																													1																									1				1																																																																				1																																																																		1																																											1																																																																															1																																																																																																												1																																																										1																			
TCGA-BR-A4CR-01	1																													1																											1																1																																																						1																																																																																																													1														1																																																																																												1																																																																																																																																											1																			
TCGA-HU-A4GC-01	1																															1																			1				1												1																														1									1																																																																																																																																																																																																											1																																																																																									1																																																																																																						
TCGA-BR-4363-01	1																																1																						1												1																						1								1												1										1																								1																	1																																					1								1																	1																																																																																										1									1																			1																1		1		1												1					1									1										1			1																																																											1					1	1												1																								
TCGA-VQ-A91V-01	1																																			1																											1																									1													1					1																									1																																			1												1								1											1																																																																																																																																				1																																					1							1																														1																																																																								1								1																	
TCGA-CG-4477-01	1																																			1																																																										1																																																																																			1									1								1																																	1														1																																																																																																																																																1												1																			1																																																																																				
TCGA-CG-5732-01	1																																			1																																																																																																																																																																																																																																																																																			1																																																							1																																													1											1																																																																														
TCGA-CD-8524-01	1																																					1																						1																													1												1																																																																																															1																																																																																																																															1																																																															1										1																1																																																	1																						1						1											
TCGA-BR-7901-01	1																																					1																										1		1	1																1					1	1												1																																																																		1																								1																																			1																				1																																										1																					1																																				1																		1																																								1																																																					1						1																								1														
TCGA-BR-A4PD-01	1																																					1																												1	1								1								1																																																																													1																															1																																			1																					1																	1																								1																																																																											1																													1							1									1																																																																																												
TCGA-D7-8576-01	1																																						1																																																																																																																																																													1																																																																																																																																																																																													1													1																																																																																									1													
TCGA-VQ-AA68-01	1																																									1							1																		1																						1												1																																																																																					1										1					1																																																										1																																																																								1													1																																																											1																																1																																	1																										1						
TCGA-IP-7968-01	1																																												1																																																													1								1																																																																															1																																																																									1																																																																																																																											1																																																																										1																																					
TCGA-HU-8244-01	1																																															1																			1																																																																																													1																1																																																																																																																																																																																																																	1																								1				1																									1																																																														
TCGA-VQ-A8PK-01	1																																																1															1																																					1																																																																									1																																																																																																																																																																																																																																																				1																	1																									1																							1																	
TCGA-CD-8525-01	1																																																1															1																																																																																																																																				1																																																																																																																																																																																											1		1																																													1					1																											1													1		1		1									1												
TCGA-BR-8286-01	1																																																1																																																												1																																																																																							1																																																																																																																																					1																																																																										1																																									1																																																		1						
TCGA-CD-A4MH-01	1																																																			1																																																																																																																													1																																																															1																																																																																																								1																																																									1												1																																			1																																																				
TCGA-CG-4440-01	1																																																					1													1																						1																																																																																																																																																																																			1																																												1																																						1																																																																								1																																																																														
TCGA-BR-6457-01	1																																																						1																																																																										1																																																																											1															1																																																																																										1																																						1										1																																																																																																		1																																												1	
TCGA-CD-8533-01	1																																																						1																																																																																																									1																																																																																																																																																																																																																																												1							1																																																																																																	
TCGA-HU-A4GY-01	1																																																						1																																																																																																																																													1																											1																																																																																																																																																																		1																																											1																																																																								
TCGA-RD-A8N9-01	1																																																							1																																																																																																																																																																																																																																																																																																																																																																																	1																																					1																																						
TCGA-SW-A7EB-01	1																																																										1								1																																																				1																																										1																																																																																																	1																																																									1																																																																																																																																																																																									
TCGA-IN-A6RI-01	1																																																											1				1																						1			1																													1																																																																																																																																																																																																																																																																										1																																																		1																																																																		
TCGA-KB-A6F5-01	1																																																											1				1																									1																																																																																																																																																																																																																																		1																																																																																																																																																																													1												
TCGA-D7-5579-01	1																																																															1			1																																																																			1																																																																																																																																																																																																																																																																																									1																																																																																					
TCGA-BR-8682-01	1																																																																1																				1																											1																																																			1																																																																																																																																																																																																																																																																																																																																																	
TCGA-CG-4438-01	1																																																																		1								1																																																																																																																																																																												1																																																																																		1																																																																											1												1																																																																		1																		
TCGA-RD-A8N6-01	1																																																																						1				1																																																																																																																																																																												1												1																								1																						1																							1														1																																																							1								1																							1	1																											1																																	1											
TCGA-BR-8077-01	1																																																																						1																																		1																																																							1																																				1																																																																																																																																					1	1																																					1																		1	1							1																			1																																																													1																											
TCGA-BR-8369-01	1																																																																						1																																			1																																																																																1																																																																																																																																																																																																																																																														1																1									1																		1										1							
TCGA-FP-A9TM-01	1																																																																										1																																																		1																1																																																				1																																																						1																																																														1																																																																							1				1																																															1																																																																					
TCGA-BR-8384-01	1																																																																																											1																																																																																																																																																																																																																																																																																																																																																																																												1																												
TCGA-BR-A4J8-01	1																																																																																																				1					1																																																																																																																																																						1																																																																																																																1																																																	1																																																																													1						
TCGA-IN-7806-01	1																																																																																																									1																																																																																																																																																																																																																																																																										1																					1			1	1																																																																																																							
TCGA-CD-8530-01	1																																																																																																																						1									1																																																																																																																																																																																																																																																	1																1	1										1											1																	1																									1																																		1									1								
TCGA-BR-8486-01	1																																																																																																																																																										1																																																											1																																																																																																						1				1		1																																																1																																																																																																		1																																
TCGA-BR-A4IU-01	1																																																																																																																																																																											1																																																																																																																																																																																																																																																																			1																																																																					
TCGA-BR-A4CS-01	1																																																																																																																																																																																																1																																																																																																																																																																																1																																															1																																																																																				
TCGA-BR-8296-01	1																																																																																																																																																																																																			1																																																																																																																																																																																													1	1																	1																																																																																																	
TCGA-B7-A5TJ-01	1																																																																																																																																																																																																																																																																	1																																																																							1								1																																																																		1													1																																														1																					1										1							
TCGA-RD-A8N1-01	1																																																																																																																																																																																																																																																																																																													1																																																																																																																																																																			1															1																				
TCGA-BR-8690-01	1																																																																																																																																																																																																																																																																																																																																																																																1							1																																																																													1									1														1						1																		
