TCGA-FP-7735-01	1	1				1	1						1																												1																																																																																																																																																																																																																									1																																																																																													1																																																																																					1																																																																
TCGA-HU-A4GF-01	1	1					1								1										1					1																			1											1				1																										1									1										1																		1																																																		1											1								1																																								1																							1																					1						1																		1																																											1																								1			1																																	1																																																																					1				1	1													1						
TCGA-BR-6565-01	1	1					1												1																																																1																						1																																																									1																																																										1																																																																																																																																1																																																																																1																														1																		1					1																																			
TCGA-VQ-A8DV-01	1	1												1	1																																																				1																																																	1																																																																																																																																						1																																																																																																																																																																																																																																																										
TCGA-HU-8604-01	1	1																1																																																																																										1			1																			1																	1																														1									1																		1						1																																																																																																																							1																																1																								1																																							1																																																											1																	
TCGA-D7-6528-01	1	1																		1																													1															1			1													1																																							1																													1																1																																													1																				1																														1																																												1															1																					1											1																																					1				1					1																																																																																																								
TCGA-BR-7197-01	1	1																						1					1																				1																		1																1																		1																																																																																															1																																																																																																																															1																															1																														1	1												1																							1																																																																1																
TCGA-D7-6527-01	1	1																							1											1																												1							1																										1												1																																																																															1					1																																															1					1																																			1																																																																																				1																																							1																		1																																												1																								1											
TCGA-BR-8678-01	1	1																												1																																	1																																																																1				1																													1																																																																												1																																																																																																																						1																			1																																																																																				1																								1		1																	
TCGA-BR-A452-01	1	1																													1																										1										1																																														1																																																																																			1																																																		1																																																	1																																																																																																																																																																																																													
TCGA-MX-A666-01	1	1																																				1																										1		1																	1																																																					1																																1																1							1																																			1																																																														1	1																																																				1																						1																																																																																																																													1												
TCGA-IN-A6RP-01	1	1																																																					1	1			1																																																																										1																																																																																																																																																		1																							1																																																																																								1																																																1																																																														
TCGA-F1-6875-01	1	1																																																										1																																										1																																																																																																																																																																																																																																																																																					1																														1																																																																																											
