SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
46	6	11	38	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK
47	6	11	38	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK
48	6	11	38	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK
49	6	12	36	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK,GRB2
50	7	12	40	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK,GRB2
51	7	12	40	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK,GRB2
52	7	12	40	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK,GRB2
53	7	12	40	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK,GRB2
54	7	12	40	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK,GRB2
55	7	12	40	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK,GRB2
56	7	12	40	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK,GRB2
57	7	12	40	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK,GRB2
58	7	12	40	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK,GRB2
59	7	13	38	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK,GRB2,FYN
60	7	13	38	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK,GRB2,FYN
61	7	13	38	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CRK,GRB2,FYN
62	7	15	34	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,NAV3,CRK,ATF7IP,GRB2,FYN
63	7	15	34	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,NAV3,CRK,ATF7IP,GRB2,FYN
64	7	15	34	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,NAV3,CRK,ATF7IP,GRB2,FYN
65	8	16	36	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,FYN
66	8	16	36	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,FYN
67	8	17	34	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,FYN,SMAD9
68	8	17	34	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,FYN,SMAD9
69	8	17	34	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,FYN,SMAD9
70	8	17	34	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,FYN,SMAD9
71	8	18	33	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,FYN,SMAD9,DISC1
72	8	18	33	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,FYN,SMAD9,DISC1
73	8	18	33	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,FYN,SMAD9,DISC1
74	8	18	33	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,FYN,SMAD9,DISC1
75	8	18	33	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,FYN,SMAD9,DISC1
76	8	20	31	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,ERBB3,FYN,SMAD9,DISC1,NCK1
77	8	20	31	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,ERBB3,FYN,SMAD9,DISC1,NCK1
78	9	20	33	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,ERBB3,FYN,SMAD9,DISC1,NCK1
79	10	20	35	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,ERBB3,FYN,SMAD9,DISC1,NCK1
80	10	20	35	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,ERBB3,FYN,SMAD9,DISC1,NCK1
81	10	21	34	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,CRK,ATF7IP,GRB2,ERBB3,FYN,TTN,SMAD9,DISC1,NCK1
82	10	22	33	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,ATF7IP,GRB2,ERBB3,FYN,TTN,SMAD9,DISC1,NCK1
83	10	22	33	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,ATF7IP,GRB2,ERBB3,FYN,TTN,SMAD9,DISC1,NCK1
84	10	23	32	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,CDH2,ATF7IP,GRB2,ERBB3,FYN,TTN,SMAD9,DISC1,NCK1
85	10	24	31	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,CDH2,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,NCK1
86	10	24	31	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,CDH2,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,NCK1
