protein1	protein2	biogrid_id	interaction_type	pmid
ABCC4	UBC	BIOGRID:1030615;BIOGRID:609388;BIOGRID:620759;BIOGRID:625399;BIOGRID:629990;BIOGRID:845566	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:25147182
ABCC5	UBC	BIOGRID:1030829;BIOGRID:626721;BIOGRID:630824;BIOGRID:845798;BIOGRID:849472	physical association	pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965;pubmed:25147182
ABCD1	PEX19	BIOGRID:277985;BIOGRID:287057;BIOGRID:287060	direct interaction	pubmed:10777694;pubmed:11883941
ABCD1	UBC	BIOGRID:608939;BIOGRID:626770;BIOGRID:847644	physical association	pubmed:21890473;pubmed:21963094;pubmed:21987572
ABCD2	PEX19	BIOGRID:277988;BIOGRID:287058;BIOGRID:287061	direct interaction	pubmed:10777694;pubmed:11883941
ABCD2	UBC	BIOGRID:845736;BIOGRID:848758	physical association	pubmed:21963094;pubmed:21987572
ABCD3	PEX19	BIOGRID:277987;BIOGRID:287059;BIOGRID:287062;BIOGRID:287364;BIOGRID:302357;BIOGRID:890770	direct interaction;physical association	pubmed:10704444;pubmed:10777694;pubmed:11453642;pubmed:11883941;pubmed:14709540
ABCD3	UBC	BIOGRID:1030432;BIOGRID:608940;BIOGRID:622912;BIOGRID:626899;BIOGRID:632002;BIOGRID:731891;BIOGRID:845589;BIOGRID:849251;BIOGRID:945089	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22505724;pubmed:23000965;pubmed:24816145;pubmed:25147182
ABCD4	UBC	BIOGRID:622911;BIOGRID:632001	physical association	pubmed:21139048;pubmed:21906983
ABCE1	UBC	BIOGRID:1030926;BIOGRID:560569;BIOGRID:609389;BIOGRID:618526;BIOGRID:624338;BIOGRID:627922;BIOGRID:729453;BIOGRID:731940;BIOGRID:847612;BIOGRID:942915;BIOGRID:986031	physical association	pubmed:16196087;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22053931;pubmed:22505724;pubmed:24816145;pubmed:25015289;pubmed:25147182
