protein1	protein2	biogrid_id	interaction_type	pmid
CHMP1B	VPS4A	BIOGRID:672144;BIOGRID:715015;BIOGRID:715018	direct interaction	pubmed:14505570;pubmed:16730941
CHMP2A	CHMP3	BIOGRID:426943;BIOGRID:715020	direct interaction;physical association	pubmed:16730941;pubmed:17159328
CHMP2A	STAMBP	BIOGRID:426942;BIOGRID:437597;BIOGRID:437601	direct interaction;physical association	pubmed:16760479;pubmed:17159328
CHMP2A	UBC	BIOGRID:610326;BIOGRID:620081;BIOGRID:624281;BIOGRID:629372;BIOGRID:731071;BIOGRID:850584;BIOGRID:944804	physical association	pubmed:20972266;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:22505724;pubmed:23000965;pubmed:24816145
CHMP2A	VPS4A	BIOGRID:672145;BIOGRID:715004	direct interaction	pubmed:14505570;pubmed:16730941
CHMP2B	UBC	BIOGRID:621698;BIOGRID:944362	physical association	pubmed:21139048;pubmed:24816145
CHMP3	CHMP3	BIOGRID:679835;BIOGRID:715022	direct interaction	pubmed:16730941;pubmed:17146056
CHMP3	STAMBP	BIOGRID:1045620;BIOGRID:424041;BIOGRID:426939;BIOGRID:426940;BIOGRID:426941;BIOGRID:437598;BIOGRID:437602;BIOGRID:479098;BIOGRID:479102;BIOGRID:557288;BIOGRID:557290;BIOGRID:674970;BIOGRID:679836;BIOGRID:715043;BIOGRID:715071;BIOGRID:715085	direct interaction;physical association	pubmed:16431367;pubmed:16730941;pubmed:16760479;pubmed:17146056;pubmed:17159328;pubmed:17261583;pubmed:17711858;pubmed:19615732;pubmed:25416956
CHMP4A	PDCD6IP	BIOGRID:606244;BIOGRID:672133;BIOGRID:672437;BIOGRID:672441;BIOGRID:672606	direct interaction;physical association	pubmed:14505569;pubmed:14505570;pubmed:18641129;pubmed:21191027
CHMP4A	STAMBP	BIOGRID:479099;BIOGRID:715082	direct interaction	pubmed:16730941;pubmed:17711858
CHMP4A	SYT17	BIOGRID:1047085;BIOGRID:120704;BIOGRID:715053	direct interaction	pubmed:16189514;pubmed:16730941;pubmed:25416956
CHMP4A	VPS4A	BIOGRID:672135;BIOGRID:672438;BIOGRID:715016	direct interaction	pubmed:14505569;pubmed:14505570;pubmed:16730941
CHMP4B	CHMP4C	BIOGRID:672138;BIOGRID:715025	direct interaction	pubmed:14505570;pubmed:16730941
CHMP4B	CHMP6	BIOGRID:672146;BIOGRID:715013;BIOGRID:935545;BIOGRID:935547	direct interaction;physical association	pubmed:14505570;pubmed:15511219;pubmed:16730941
CHMP4B	PDCD6IP	BIOGRID:670575;BIOGRID:670581;BIOGRID:672147;BIOGRID:672572;BIOGRID:882771	direct interaction;physical association	pubmed:14505570;pubmed:17174262;pubmed:20929444;pubmed:23895345
CHMP4B	STAMBP	BIOGRID:479100;BIOGRID:715079;BIOGRID:715081	direct interaction	pubmed:16730941;pubmed:17711858
CHMP4B	UBC	BIOGRID:1031289;BIOGRID:621965;BIOGRID:624688;BIOGRID:631128;BIOGRID:730631;BIOGRID:850785;BIOGRID:943134	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:22505724;pubmed:23000965;pubmed:24816145;pubmed:25147182
CHMP4B	UBE2I	BIOGRID:121138;BIOGRID:715049	direct interaction	pubmed:16189514;pubmed:16730941
CHMP4C	PDCD6IP	BIOGRID:672136;BIOGRID:895133	direct interaction	pubmed:14505570;pubmed:21988832
CHMP4C	USP8	BIOGRID:479105;BIOGRID:683260	direct interaction	pubmed:17711858;pubmed:19302785
CHMP5	ISG15	BIOGRID:590962;BIOGRID:678238	physical association	pubmed:16009940;pubmed:20164219
CHMP5	UBC	BIOGRID:619212;BIOGRID:626933;BIOGRID:628537;BIOGRID:851562;BIOGRID:943582	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:23000965;pubmed:24816145
CHMP5	VTA1	BIOGRID:557094;BIOGRID:557289;BIOGRID:715063	direct interaction;physical association	pubmed:16730941;pubmed:17261583;pubmed:21543490
CHMP6	SNF8	BIOGRID:445746;BIOGRID:672120	direct interaction	pubmed:14505570;pubmed:16371348
CHMP6	UBC	BIOGRID:850699;BIOGRID:944919	physical association	pubmed:23000965;pubmed:24816145
CHMP6	VPS25	BIOGRID:445741;BIOGRID:445748;BIOGRID:672102;BIOGRID:672114;BIOGRID:672115;BIOGRID:672117;BIOGRID:672141;BIOGRID:715064;BIOGRID:935546;BIOGRID:935548	direct interaction;physical association	pubmed:14505570;pubmed:15511219;pubmed:16371348;pubmed:16730941;pubmed:16973552
CHMP7	UBC	BIOGRID:620129;BIOGRID:944095;BIOGRID:986125	physical association	pubmed:21139048;pubmed:24816145;pubmed:25015289
CHORDC1	HSP90AA1	BIOGRID:818854;BIOGRID:818879;BIOGRID:818880;BIOGRID:949176;BIOGRID:949811	direct interaction;physical association	pubmed:19875381;pubmed:25036637
CHORDC1	UBC	BIOGRID:614637;BIOGRID:619390;BIOGRID:623293;BIOGRID:628706;BIOGRID:851496	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965
CHP	SLC9A1	BIOGRID:268982;BIOGRID:268987;BIOGRID:303196;BIOGRID:303197;BIOGRID:315435;BIOGRID:315436;BIOGRID:315437	direct interaction;physical association	pubmed:11350981;pubmed:12576672;pubmed:8901634
CHP	UBC	BIOGRID:618551;BIOGRID:627944;BIOGRID:850154	physical association	pubmed:21139048;pubmed:21906983;pubmed:23000965
CHPF	UBC	BIOGRID:1031200;BIOGRID:620582;BIOGRID:629820;BIOGRID:847921	physical association	pubmed:21139048;pubmed:21906983;pubmed:21963094;pubmed:25147182
CHRAC1	POLE3	BIOGRID:1047520;BIOGRID:261561;BIOGRID:261563	direct interaction;physical association	pubmed:10880450;pubmed:25416956
CHRAC1	SMARCA5	BIOGRID:261558;BIOGRID:518242	direct interaction;physical association	pubmed:10880450;pubmed:14759371
CHRAC1	UBC	BIOGRID:619417;BIOGRID:944235	physical association	pubmed:21139048;pubmed:24816145
CHRNA5	UBC	BIOGRID:624744;BIOGRID:628172;BIOGRID:846321;BIOGRID:850046	physical association	pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965
CHTF18	DSCC1	BIOGRID:255556;BIOGRID:255561;BIOGRID:258690;BIOGRID:258691	direct interaction;physical association	pubmed:12766176;pubmed:12930902
CHTF18	PCNA	BIOGRID:304780;BIOGRID:304799;BIOGRID:984277	physical association	pubmed:12171929;pubmed:24958773
CHTF18	RFC2	BIOGRID:255552;BIOGRID:255557;BIOGRID:258695;BIOGRID:258697	direct interaction;physical association	pubmed:12766176;pubmed:12930902
CHTF18	RFC3	BIOGRID:255553;BIOGRID:255558;BIOGRID:258699	direct interaction;physical association	pubmed:12766176;pubmed:12930902
CHTF18	UBC	BIOGRID:622908;BIOGRID:631998;BIOGRID:732014;BIOGRID:848149	physical association	pubmed:21139048;pubmed:21906983;pubmed:21963094;pubmed:22505724
CHTF8	UBC	BIOGRID:621425;BIOGRID:945769	physical association	pubmed:21139048;pubmed:24816145
CHTOP	UBC	BIOGRID:560850;BIOGRID:617857;BIOGRID:624821;BIOGRID:627300;BIOGRID:845829;BIOGRID:849509;BIOGRID:944315	physical association	pubmed:16196087;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965;pubmed:24816145
CHUK	CHUK	BIOGRID:283271;BIOGRID:316918;BIOGRID:318340;BIOGRID:718584	direct interaction;physical association	pubmed:10755617;pubmed:11585904;pubmed:9346485;pubmed:9721103
CHUK	CNTN2	BIOGRID:331392;BIOGRID:331393;BIOGRID:445628	physical association	pubmed:16424386;pubmed:17891179
CHUK	COPS5	BIOGRID:568965;BIOGRID:872035	direct interaction;physical association	pubmed:19656241;pubmed:23636414
CHUK	CREBBP	BIOGRID:1054731;BIOGRID:1054738;BIOGRID:1054739;BIOGRID:721670;BIOGRID:721674;BIOGRID:721678	direct interaction;physical association	pubmed:14597638;pubmed:17434128
CHUK	CTNNB1	BIOGRID:286903;BIOGRID:286905;BIOGRID:716052	direct interaction;physical association	pubmed:11527961;pubmed:12589056
CHUK	EIF2AK2	BIOGRID:303236;BIOGRID:697678	physical association	pubmed:10723127;pubmed:10848580
CHUK	FANCA	BIOGRID:245680;BIOGRID:301748	direct interaction;physical association	pubmed:12210728;pubmed:14499622
CHUK	HSP90AA1	BIOGRID:669900;BIOGRID:818833	physical association	pubmed:19875381;pubmed:22384180
CHUK	IKBKAP	BIOGRID:314672;BIOGRID:317360	physical association	pubmed:10094049;pubmed:9751059
CHUK	IKBKB	BIOGRID:280169;BIOGRID:316060;BIOGRID:316061;BIOGRID:316915;BIOGRID:316919;BIOGRID:318341;BIOGRID:547321;BIOGRID:547322;BIOGRID:553954;BIOGRID:570477;BIOGRID:593950;BIOGRID:593956;BIOGRID:675047;BIOGRID:679397;BIOGRID:695939;BIOGRID:697665;BIOGRID:719817;BIOGRID:811145;BIOGRID:811147;BIOGRID:827100;BIOGRID:830805	direct interaction;physical association	pubmed:10733566;pubmed:10968790;pubmed:11585904;pubmed:12244103;pubmed:12486103;pubmed:16286467;pubmed:17693255;pubmed:20932476;pubmed:21575199;pubmed:21784860;pubmed:21903422;pubmed:9346241;pubmed:9346484;pubmed:9346485;pubmed:9751060;pubmed:9914500
CHUK	IKBKG	BIOGRID:1033160;BIOGRID:1056869;BIOGRID:1059734;BIOGRID:275622;BIOGRID:281391;BIOGRID:330557;BIOGRID:438696;BIOGRID:553955;BIOGRID:553957;BIOGRID:569145;BIOGRID:592823;BIOGRID:593951;BIOGRID:594113;BIOGRID:609035;BIOGRID:675046;BIOGRID:676601;BIOGRID:676604;BIOGRID:677341;BIOGRID:677575;BIOGRID:677576;BIOGRID:684878;BIOGRID:696330;BIOGRID:697216;BIOGRID:697441;BIOGRID:697476;BIOGRID:697666;BIOGRID:715834;BIOGRID:722525;BIOGRID:722569;BIOGRID:722585;BIOGRID:724029;BIOGRID:724030;BIOGRID:725710;BIOGRID:725712;BIOGRID:728430;BIOGRID:817071;BIOGRID:825979;BIOGRID:827105;BIOGRID:827143;BIOGRID:829488;BIOGRID:836842;BIOGRID:858501;BIOGRID:858503;BIOGRID:904322;BIOGRID:937263;BIOGRID:948572	direct interaction;physical association	pubmed:10733566;pubmed:10980203;pubmed:11485410;pubmed:11864612;pubmed:11877453;pubmed:12138192;pubmed:12244103;pubmed:12459277;pubmed:12486103;pubmed:12612076;pubmed:15184390;pubmed:15749833;pubmed:16497931;pubmed:16583354;pubmed:16611882;pubmed:17000764;pubmed:17244613;pubmed:17363973;pubmed:17568778;pubmed:17728323;pubmed:17977820;pubmed:18079694;pubmed:18207244;pubmed:18266467;pubmed:18949366;pubmed:19815509;pubmed:19959994;pubmed:20098747;pubmed:20368414;pubmed:21455180;pubmed:21703539;pubmed:21903422;pubmed:22547678;pubmed:22990857;pubmed:23131831;pubmed:23986494;pubmed:24469399;pubmed:25304104;pubmed:9751060
CHUK	IRAK1	BIOGRID:289193;BIOGRID:330724	physical association	pubmed:11096118;pubmed:18180283
CHUK	MAP3K1	BIOGRID:685140;BIOGRID:697674;BIOGRID:697676;BIOGRID:830806	direct interaction;physical association	pubmed:16286467;pubmed:9689078;pubmed:9819420
CHUK	MAP3K14	BIOGRID:275607;BIOGRID:275608;BIOGRID:286632;BIOGRID:315842;BIOGRID:317359;BIOGRID:317366;BIOGRID:678316;BIOGRID:679002;BIOGRID:717303;BIOGRID:720357;BIOGRID:830808	direct interaction;physical association	pubmed:10094049;pubmed:10887201;pubmed:11278268;pubmed:15084608;pubmed:15208311;pubmed:16286467;pubmed:17563756;pubmed:20348096;pubmed:9244310
CHUK	MAP3K7	BIOGRID:278574;BIOGRID:317358;BIOGRID:554881;BIOGRID:554882;BIOGRID:676240;BIOGRID:797259	physical association	pubmed:10094049;pubmed:10187861;pubmed:16893890;pubmed:20200282;pubmed:9742107
CHUK	MTOR	BIOGRID:1023789;BIOGRID:1023792	physical association	pubmed:18490760;pubmed:18519641
CHUK	NCOA3	BIOGRID:314429;BIOGRID:314445;BIOGRID:314452;BIOGRID:571780;BIOGRID:608628	direct interaction;physical association	pubmed:11971985;pubmed:15383283;pubmed:16051665
CHUK	NCOR2	BIOGRID:481012;BIOGRID:506527	direct interaction	pubmed:15494311;pubmed:16382138
CHUK	NFKB1	BIOGRID:279765;BIOGRID:718431;BIOGRID:718433;BIOGRID:718436	direct interaction;physical association	pubmed:10469655;pubmed:11976329
CHUK	NFKB2	BIOGRID:1055161;BIOGRID:462868;BIOGRID:479845;BIOGRID:656364;BIOGRID:668458;BIOGRID:678318	direct interaction;physical association	pubmed:15140882;pubmed:16303288;pubmed:16651533;pubmed:17563756;pubmed:17962807;pubmed:21131783
CHUK	NFKBIA	BIOGRID:1023800;BIOGRID:1059731;BIOGRID:277223;BIOGRID:314667;BIOGRID:316905;BIOGRID:317365;BIOGRID:486274;BIOGRID:570473;BIOGRID:657756;BIOGRID:677000;BIOGRID:679394;BIOGRID:684877;BIOGRID:685136;BIOGRID:691848;BIOGRID:697761;BIOGRID:715852;BIOGRID:717437;BIOGRID:718581;BIOGRID:718639;BIOGRID:720210;BIOGRID:721665;BIOGRID:723745;BIOGRID:724044;BIOGRID:724379;BIOGRID:725055;BIOGRID:728436;BIOGRID:827099;BIOGRID:828827;BIOGRID:829505;BIOGRID:830802;BIOGRID:832382;BIOGRID:858502;BIOGRID:859914;BIOGRID:931822	direct interaction;physical association	pubmed:10094049;pubmed:11080499;pubmed:11113112;pubmed:12054687;pubmed:12138192;pubmed:12190313;pubmed:12411322;pubmed:12486103;pubmed:15590691;pubmed:15670770;pubmed:16286467;pubmed:16319058;pubmed:16354686;pubmed:17053167;pubmed:17363905;pubmed:17379600;pubmed:17384642;pubmed:18003900;pubmed:18074035;pubmed:18501560;pubmed:18519641;pubmed:18949366;pubmed:19959994;pubmed:20133937;pubmed:20434986;pubmed:20449947;pubmed:20932476;pubmed:24270572;pubmed:9252186;pubmed:9346485;pubmed:9689078;pubmed:9721103;pubmed:9751059;pubmed:9914500
CHUK	NFKBIB	BIOGRID:316911;BIOGRID:677577;BIOGRID:685137	direct interaction;physical association	pubmed:11485410;pubmed:9346485;pubmed:9689078
CHUK	PIAS1	BIOGRID:678303;BIOGRID:868441;BIOGRID:868442	physical association	pubmed:17540171;pubmed:23032264
CHUK	PRKCQ	BIOGRID:468534;BIOGRID:590875;BIOGRID:828836	physical association	pubmed:15802604;pubmed:17363905;pubmed:20164171
CHUK	RELA	BIOGRID:1023803;BIOGRID:1054734;BIOGRID:481011;BIOGRID:506531;BIOGRID:593952	direct interaction;physical association	pubmed:15489227;pubmed:16382138;pubmed:17434128;pubmed:18519641;pubmed:21903422
CHUK	SRC	BIOGRID:697629;BIOGRID:728427	physical association	pubmed:12707358;pubmed:15749833
CHUK	TNFRSF1A	BIOGRID:716926;BIOGRID:716928;BIOGRID:858498	direct interaction;physical association	pubmed:18949366;pubmed:21724995
CHUK	TP73	BIOGRID:425424;BIOGRID:425426;BIOGRID:715458;BIOGRID:715460	direct interaction;physical association	pubmed:17452332;pubmed:21482671
CHUK	TRAF1	BIOGRID:717845;BIOGRID:719057	physical association	pubmed:12709429;pubmed:19287455
CHUK	TRAF2	BIOGRID:275609;BIOGRID:286269;BIOGRID:320199;BIOGRID:723671;BIOGRID:724040	direct interaction;physical association	pubmed:11359906;pubmed:19150425;pubmed:20449947;pubmed:23007157;pubmed:9244310
CHUK	UBC	BIOGRID:618779;BIOGRID:628152;BIOGRID:730585;BIOGRID:811615;BIOGRID:940949;BIOGRID:944747	physical association	pubmed:21139048;pubmed:21906983;pubmed:22505724;pubmed:23322406;pubmed:24720748;pubmed:24816145
CHURC1-FNTB	UBC	BIOGRID:623264;BIOGRID:627101;BIOGRID:850499	physical association	pubmed:21890473;pubmed:21906983;pubmed:23000965
CIAO1	FAM96A	BIOGRID:1044405;BIOGRID:122053;BIOGRID:950862;BIOGRID:950864;BIOGRID:950885;BIOGRID:950985	direct interaction;physical association	pubmed:16189514;pubmed:23891004;pubmed:25416956
CIAO1	FAM96B	BIOGRID:1044403;BIOGRID:1054287;BIOGRID:119867;BIOGRID:950861;BIOGRID:950863;BIOGRID:950943;BIOGRID:950997	direct interaction;physical association	pubmed:16189514;pubmed:22678361;pubmed:23891004;pubmed:25416956
CIAO1	MMS19	BIOGRID:1044404;BIOGRID:1054267;BIOGRID:1054279;BIOGRID:1054288;BIOGRID:856198;BIOGRID:856241;BIOGRID:904832;BIOGRID:950873;BIOGRID:951000	direct interaction;physical association	pubmed:22678361;pubmed:22678362;pubmed:23891004;pubmed:24130505;pubmed:25416956
CIAO1	NARFL	BIOGRID:1054286;BIOGRID:950992	physical association	pubmed:22678361;pubmed:23891004
CIAO1	SF1	BIOGRID:1043285;BIOGRID:950983	direct interaction;physical association	pubmed:23891004;pubmed:25416956
CIAO1	UBC	BIOGRID:621003;BIOGRID:624192;BIOGRID:732690;BIOGRID:845511;BIOGRID:849174;BIOGRID:939732;BIOGRID:943835	physical association	pubmed:21139048;pubmed:21890473;pubmed:21963094;pubmed:22505724;pubmed:23000965;pubmed:24654937;pubmed:24816145
CIAPIN1	GLRX3	BIOGRID:1045515;BIOGRID:121442	direct interaction	pubmed:16189514;pubmed:25416956
CIAPIN1	UBC	BIOGRID:618434;BIOGRID:625538;BIOGRID:627843;BIOGRID:845796;BIOGRID:849470;BIOGRID:943008	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965;pubmed:24816145
CIB1	PRKDC	BIOGRID:305075;BIOGRID:305076;BIOGRID:868684;BIOGRID:868685	direct interaction;physical association	pubmed:15190070;pubmed:9372844
CIB1	TERT	BIOGRID:682945;BIOGRID:868636;BIOGRID:868637;BIOGRID:868683	direct interaction;physical association	pubmed:15190070;pubmed:20959453
CIB1	UBC	BIOGRID:623636;BIOGRID:628925;BIOGRID:730452;BIOGRID:847911	physical association	pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22505724
CIITA	HDAC2	BIOGRID:467853;BIOGRID:467854;BIOGRID:482566;BIOGRID:519691	direct interaction;physical association	pubmed:12697811;pubmed:17991736;pubmed:19041327
CIITA	PSMC5	BIOGRID:1032573;BIOGRID:592943;BIOGRID:592944;BIOGRID:669582	direct interaction;physical association	pubmed:18215421;pubmed:20351748
CIITA	RFX5	BIOGRID:297449;BIOGRID:301129;BIOGRID:301130;BIOGRID:482567	direct interaction;physical association	pubmed:11003667;pubmed:12697811;pubmed:9177217
CIITA	RFXANK	BIOGRID:287205;BIOGRID:287206;BIOGRID:297450	direct interaction;physical association	pubmed:11003667;pubmed:11463838
CIITA	XPO1	BIOGRID:301128;BIOGRID:330489	direct interaction;physical association	pubmed:12517958;pubmed:18245089
CIRBP	HNRNPK	BIOGRID:1037564;BIOGRID:828224;BIOGRID:828269	direct interaction	pubmed:22365833;pubmed:25416956
CIRBP	RBMX	BIOGRID:1037567;BIOGRID:121486	direct interaction	pubmed:16189514;pubmed:25416956
CIRBP	UBC	BIOGRID:618760;BIOGRID:628134	physical association	pubmed:21139048;pubmed:21906983
CIRH1A	UBC	BIOGRID:1031170;BIOGRID:608261;BIOGRID:614966;BIOGRID:618843;BIOGRID:626125;BIOGRID:628215;BIOGRID:850293;BIOGRID:939569	physical association	pubmed:18781797;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965;pubmed:24654937;pubmed:25147182
CISD1	PARK2	BIOGRID:735599;BIOGRID:855894	physical association	pubmed:23068103;pubmed:23503661
CISD1	UBC	BIOGRID:608326;BIOGRID:945787	physical association	pubmed:18781797;pubmed:24816145
CISD2	UBC	BIOGRID:621250;BIOGRID:626958;BIOGRID:845432;BIOGRID:945324	physical association	pubmed:21139048;pubmed:21890473;pubmed:21963094;pubmed:24816145
CISH	CUL5	BIOGRID:511231;BIOGRID:697335	physical association	pubmed:16961462;pubmed:18508766
CISH	EPOR	BIOGRID:314583;BIOGRID:511224;BIOGRID:511227;BIOGRID:514087	direct interaction;physical association	pubmed:15644415;pubmed:16961462;pubmed:7796808
CIT	RHOA	BIOGRID:258653;BIOGRID:258654;BIOGRID:276030;BIOGRID:276032	direct interaction	pubmed:12773565;pubmed:8543060
CIT	UBC	BIOGRID:618994;BIOGRID:628353;BIOGRID:944828	physical association	pubmed:21139048;pubmed:21906983;pubmed:24816145
CITED2	EP300	BIOGRID:25158;BIOGRID:25159;BIOGRID:260518;BIOGRID:262764;BIOGRID:263512;BIOGRID:280775;BIOGRID:513482;BIOGRID:607477	direct interaction;physical association	pubmed:10593900;pubmed:11744733;pubmed:12586840;pubmed:12778114;pubmed:15154850;pubmed:9887100
CITED2	TFAP2A	BIOGRID:1156;BIOGRID:260519;BIOGRID:262766	direct interaction	pubmed:11744733;pubmed:12586840
CITED2	TFAP2C	BIOGRID:22709;BIOGRID:262769	direct interaction	pubmed:11744733;pubmed:12586840
CKAP2	UBC	BIOGRID:620993;BIOGRID:625685;BIOGRID:630226;BIOGRID:683537;BIOGRID:943665	physical association	pubmed:17339342;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:24816145
CKAP2L	UBC	BIOGRID:617833;BIOGRID:851804	physical association	pubmed:21139048;pubmed:23000965
CKAP4	UBC	BIOGRID:1030713;BIOGRID:608129;BIOGRID:617919;BIOGRID:624969;BIOGRID:627352;BIOGRID:850808;BIOGRID:939719;BIOGRID:943666	physical association	pubmed:18781797;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:23000965;pubmed:24654937;pubmed:24816145;pubmed:25147182
CKAP5	TACC1	BIOGRID:253206;BIOGRID:253208;BIOGRID:253209;BIOGRID:253210;BIOGRID:261725	direct interaction;physical association	pubmed:11903063;pubmed:14603251
CKAP5	UBC	BIOGRID:619389;BIOGRID:625659;BIOGRID:628705;BIOGRID:849108;BIOGRID:944320	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:23000965;pubmed:24816145
CKB	UBC	BIOGRID:560625;BIOGRID:592481;BIOGRID:607851;BIOGRID:609575;BIOGRID:614579;BIOGRID:618761;BIOGRID:624718;BIOGRID:628135;BIOGRID:729610	direct interaction;physical association	pubmed:16196087;pubmed:18781797;pubmed:20302626;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22053931
CKLF	UBC	BIOGRID:625141;BIOGRID:731486	physical association	pubmed:21890473;pubmed:22505724
CKM	TRIM63	BIOGRID:1022942;BIOGRID:330504;BIOGRID:330506;BIOGRID:465412	direct interaction;physical association	pubmed:15967462;pubmed:18157088;pubmed:18222470
CKM	UBC	BIOGRID:330507;BIOGRID:618757	physical association	pubmed:18222470;pubmed:21139048
CKMT1A	UBC	BIOGRID:592480;BIOGRID:944284	direct interaction;physical association	pubmed:20302626;pubmed:24816145
CKMT1B	UBC	BIOGRID:592479;BIOGRID:946042	direct interaction;physical association	pubmed:20302626;pubmed:24816145
CKS1B	COPS6	BIOGRID:422978;BIOGRID:689991	physical association	pubmed:19615732;pubmed:21145461
CKS1B	CUL1	BIOGRID:688807;BIOGRID:918389	direct interaction;physical association	pubmed:19786724;pubmed:21145461
CKS1B	SKP1	BIOGRID:680680;BIOGRID:859392;BIOGRID:859394;BIOGRID:918388	direct interaction;physical association	pubmed:16979657;pubmed:19786724;pubmed:23589337
CKS1B	SKP2	BIOGRID:256704;BIOGRID:256705;BIOGRID:276449;BIOGRID:276450;BIOGRID:279314;BIOGRID:329937;BIOGRID:425851;BIOGRID:633025;BIOGRID:645118;BIOGRID:680679;BIOGRID:695966;BIOGRID:824743;BIOGRID:859393;BIOGRID:859395;BIOGRID:859396;BIOGRID:918387	direct interaction;physical association	pubmed:11231585;pubmed:11463388;pubmed:12140288;pubmed:12813041;pubmed:15980415;pubmed:16338391;pubmed:16979657;pubmed:17409098;pubmed:18239684;pubmed:18519678;pubmed:19786724;pubmed:23589337
CKS1B	UBC	BIOGRID:624691;BIOGRID:682922;BIOGRID:730594;BIOGRID:849399;BIOGRID:945801	physical association	pubmed:14622140;pubmed:21890473;pubmed:22505724;pubmed:23000965;pubmed:24816145
CKS1BP7	SKP2	BIOGRID:477786;BIOGRID:567772	direct interaction;physical association	pubmed:15452136;pubmed:19686743
CKS2	UBC	BIOGRID:618737;BIOGRID:628117;BIOGRID:682923;BIOGRID:730595;BIOGRID:850052;BIOGRID:944853	physical association	pubmed:14622140;pubmed:21139048;pubmed:21906983;pubmed:22505724;pubmed:23000965;pubmed:24816145
CLASP1	UBC	BIOGRID:618164;BIOGRID:625275;BIOGRID:627595;BIOGRID:852011;BIOGRID:945156	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:23000965;pubmed:24816145
CLASP1	YWHAG	BIOGRID:241621;BIOGRID:574760	physical association	pubmed:15324660;pubmed:17353931
CLASP2	UBC	BIOGRID:618932;BIOGRID:626611;BIOGRID:851797;BIOGRID:944119	physical association	pubmed:21139048;pubmed:21890473;pubmed:23000965;pubmed:24816145
CLCC1	UBC	BIOGRID:1031450;BIOGRID:609576;BIOGRID:614892;BIOGRID:626539;BIOGRID:848455	physical association	pubmed:21890473;pubmed:21963094;pubmed:21987572;pubmed:22053931;pubmed:25147182
CLCN5	UBC	BIOGRID:618698;BIOGRID:624647;BIOGRID:628079	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983
CLCN6	UBC	BIOGRID:1030732;BIOGRID:624644;BIOGRID:850427	physical association	pubmed:21890473;pubmed:23000965;pubmed:25147182
CLCN7	UBC	BIOGRID:1031596;BIOGRID:618697;BIOGRID:624642;BIOGRID:846056	physical association	pubmed:21139048;pubmed:21890473;pubmed:21963094;pubmed:25147182
CLDN12	UBC	BIOGRID:622494;BIOGRID:631593;BIOGRID:847235	physical association	pubmed:21139048;pubmed:21906983;pubmed:21963094
CLDND1	UBC	BIOGRID:1030412;BIOGRID:618151;BIOGRID:625084;BIOGRID:627583	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:25147182
CLEC16A	UBC	BIOGRID:618473;BIOGRID:625780;BIOGRID:627876;BIOGRID:847423;BIOGRID:851293;BIOGRID:945732	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965;pubmed:24816145
CLIC1	UBC	BIOGRID:1031479;BIOGRID:618689;BIOGRID:624613;BIOGRID:628071;BIOGRID:730604;BIOGRID:845623;BIOGRID:849286;BIOGRID:939619;BIOGRID:943422	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:23000965;pubmed:24654937;pubmed:24816145;pubmed:25147182
CLIC2	UBC	BIOGRID:628070;BIOGRID:851347	physical association	pubmed:21906983;pubmed:23000965
CLIC4	UBC	BIOGRID:1031062;BIOGRID:621784;BIOGRID:626825;BIOGRID:731010;BIOGRID:850976;BIOGRID:945417;BIOGRID:985872	physical association	pubmed:21139048;pubmed:21890473;pubmed:22505724;pubmed:23000965;pubmed:24816145;pubmed:25015289;pubmed:25147182
CLINT1	CLTC	BIOGRID:287291;BIOGRID:721710	direct interaction	pubmed:12429846;pubmed:12538641
CLINT1	GGA2	BIOGRID:277704;BIOGRID:287295	direct interaction	pubmed:12213833;pubmed:12429846
CLINT1	UBC	BIOGRID:1030118;BIOGRID:560852;BIOGRID:605825;BIOGRID:609577;BIOGRID:614738;BIOGRID:619757;BIOGRID:626367;BIOGRID:629073;BIOGRID:732731;BIOGRID:850576;BIOGRID:943760	physical association	pubmed:16196087;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22118674;pubmed:22505724;pubmed:23000965;pubmed:24816145;pubmed:25147182
