SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
47	9	12	45	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,RELN
48	10	12	47	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,RELN
49	10	13	45	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,RELN,DST
50	10	14	44	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,PDZD2,RELN,DST
51	10	14	44	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,PDZD2,RELN,DST
52	10	14	44	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,PDZD2,RELN,DST
53	10	14	44	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,PDZD2,RELN,DST
54	10	14	44	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,PDZD2,RELN,DST
55	10	14	44	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,PDZD2,RELN,DST
56	10	14	44	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,PDZD2,RELN,DST
57	10	14	44	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,PDZD2,RELN,DST
58	10	15	42	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,ATF7IP,PDZD2,RELN,DST
59	10	15	42	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,ATF7IP,PDZD2,RELN,DST
60	10	15	42	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,ATF7IP,PDZD2,RELN,DST
61	10	16	40	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,ATF7IP,PDZD2,RELN,DST,MAGI3
62	10	18	37	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,ATF7IP,PDZD2,RELN,DST,CACNA1A,MAGI3,SMAD9
63	11	18	40	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,ATF7IP,PDZD2,RELN,DST,CACNA1A,MAGI3,SMAD9
64	11	18	40	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,ATF7IP,PDZD2,RELN,DST,CACNA1A,MAGI3,SMAD9
65	12	18	41	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,ATF7IP,PDZD2,RELN,DST,CACNA1A,MAGI3,SMAD9
66	12	22	37	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,SMAD9
67	12	22	37	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,SMAD9
68	12	22	37	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,SMAD9
69	12	22	37	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,SMAD9
70	12	23	36	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,NRCAM,SMAD9
