#VALUE = Log10 normalized expression of ORF																																
ORF	ORF_BNAME	P	A384	A744	A1224	A1824	A2496	B384	B744	B1224	B1824	B2496	C384	C744	C1224	C1824	C2496	D384	D744	D1224	D1824	D2496	E384	E744	E1224	E1824	E2496	F384	F744	F1224	F1824	F2496
folA	b0048	2.264852	2.398823	2.549804	2.5628	2.489412	2.547511	2.458451	2.51311	2.474696	2.495145	2.574649	2.311675	2.303648	2.55592	2.48903	2.356014	2.398823	2.466478	2.571782	2.560507	2.674793	2.35372	2.326582	2.53203	2.48062	2.612108	2.347605	2.356014	2.519035	2.5628	2.631792
apaH	b0049	2.290843	2.283008	2.299061	2.268292	2.296577	2.357734	2.324862	2.401499	2.376081	2.310146	2.32964	2.325053	2.331933	2.3434	2.306706	2.433606	2.34168	2.371112	2.4445	2.51311	2.514448	2.353911	2.314924	2.395766	2.371494	2.357734	2.340151	2.415068	2.366143	2.319128	2.360027
apaG	b0050	2.714354	2.719514	2.728688	2.655108	2.674793	2.743786	2.710914	2.756399	2.77876	2.734995	2.760604	2.72391	2.715501	2.790227	2.814498	2.751431	2.73595	2.73595	2.745697	2.849281	2.830361	2.722572	2.688936	2.764044	2.757355	2.755062	2.745697	2.765573	2.741493	2.6811	2.700212
ksgA	ksgA	2.779524	2.792329	2.750666	2.780862	2.777231	2.795005	2.783538	2.816027	2.843166	2.811823	2.870877	2.769204	2.778378	2.856353	2.889415	2.928212	2.780862	2.780862	2.83877	2.892473	2.900691	2.771688	2.761559	2.809147	2.816027	2.84393	2.773026	2.857881	2.833419	2.765573	2.83877
pdxA	b0052	2.687789	2.710914	2.629881	2.684731	2.680145	2.707474	2.657211	2.757355	2.806089	2.752386	2.766528	2.730026	2.701932	2.72391	2.820614	2.818512	2.701167	2.72047	2.712061	2.816027	2.820232	2.705372	2.723527	2.738052	2.79768	2.738817	2.700212	2.817556	2.775893	2.729452	2.733848
surA	b0053	3.174368	3.133278	3.10098	3.132705	3.139585	3.108051	3.107095	3.129838	3.140732	3.088557	3.129838	3.07881	3.108051	3.150861	3.111491	3.175514	3.148567	3.135954	3.140732	3.128118	3.133278	3.155638	3.12506	3.149905	3.186599	3.112447	3.090468	3.112447	3.140732	3.105948	3.112447
imp	imp	3.026827	3.034472	2.963186	2.984591	2.977519	3.036191	2.987648	2.978475	3.048996	3.028929	3.030267	3.00848	2.999306	2.984591	2.960701	3.052628	3.047467	2.980959	3.033325	3.046703	2.986884	3.038294	2.986502	2.976182	3.002747	2.985164	2.97255	2.992617	2.982488	2.979239	2.983826
yabQ	b0057	2.577707	2.597009	2.477563	2.448131	2.45654	2.412201	2.499541	2.69314	2.826539	2.668678	2.559169	2.596436	2.601405	2.484443	2.688936	2.533177	2.490559	2.493043	2.435135	2.212104	2.30747	2.438766	2.513875	2.532604	2.440678	2.48903	2.760604	2.607521	2.499541	2.497247	2.475652
hepA	b0059	2.100302	2.13604	2.17541	2.254914	2.192801	2.247843	2.07775	2.414113	2.198917	2.238478	2.202166	2.051759	2.108711	2.148272	2.040865	2.046598	2.164134	2.174837	2.345885	2.486354	2.44278	2.131454	2.125338	2.148272	2.215926	2.234464	2.080044	2.152667	2.140436	2.143685	2.214015
thiP	b0067	2.282625	2.328875	2.322951	2.407423	2.392134	2.420419	2.340724	2.420228	2.430548	2.483869	2.476225	2.371112	2.342444	2.416406	2.420228	2.446029	2.361938	2.388312	2.512155	2.567387	2.515594	2.373214	2.336329	2.443544	2.468198	2.412201	2.363658	2.425197	2.457496	2.415068	2.405704
tbpA	b0068	2.826539	2.877566	2.879477	2.989751	2.943883	2.968919	2.916554	2.89706	2.993764	2.99816	3.08913	2.921905	2.904514	2.985164	2.915789	2.990706	2.882153	2.929167	3.018227	3.062374	2.987648	2.890944	2.905278	3.010773	3.01192	2.964906	2.909673	2.926683	2.993764	2.985164	2.952101
leuD	b0071	2.788316	2.819467	2.891135	2.957261	2.945412	3.037529	2.99816	3.176661	3.001409	3.013831	3.186599	2.89534	2.982488	2.999306	2.796725	2.803222	2.801311	2.91426	2.820614	2.801885	2.835712	2.836859	2.86457	2.854441	2.892473	3.114357	2.910629	2.792329	2.89018	2.955923	3.01536
leuC	b0072	3.043836	3.124104	3.101744	3.124104	3.148567	3.260561	3.135954	3.355162	3.193479	3.247947	3.355162	3.107095	3.157358	3.119135	3.054539	3.062374	3.060654	3.10098	3.043836	3.00848	2.976755	3.132705	3.164047	3.084926	3.096584	3.227115	3.098304	3.077281	3.066961	3.142643	3.149905
leuB	b0073	3.027209	3.220044	3.155638	3.083779	3.149905	3.297637	3.168634	3.439253	3.216031	3.262089	3.345416	3.185452	3.205137	3.119709	3.07881	3.036191	3.117798	3.0941	3.019373	2.994338	2.943883	3.210297	3.186026	3.086455	3.057979	3.245271	3.091233	3.07021	3.050334	3.122576	3.10098
leuA	b0074	2.798827	3.000071	2.916554	2.911776	2.946177	3.01536	2.999306	3.177425	2.924772	3.01536	3.109771	2.960701	2.964906	2.893811	2.830361	2.755444	2.935665	2.908336	2.845841	2.67078	2.717985	2.988413	2.964906	2.843166	2.817174	2.965861	2.89706	2.774937	2.856353	2.933945	2.908336
ilvI	b0077	2.920758	3.047467	3.024725	2.907189	2.961848	2.910629	3.021667	3.057979	2.959172	2.971404	2.924772	2.965861	3.068299	3.000071	2.850428	2.995293	2.988413	3.004658	2.982488	2.859028	2.890944	2.997204	3.065241	3.01192	2.986502	2.99816	2.979239	2.993	2.946177	2.926301	2.953057
ilvH	b0078	2.938723	3.013831	2.985164	2.912922	2.949425	2.926301	2.957261	3.002747	2.941208	2.999306	2.885975	2.953057	3.033325	2.935665	2.851383	3.005613	2.989751	2.995293	2.97255	2.839534	2.847561	2.980959	3.007524	2.976755	2.951145	2.942736	2.967199	3.028929	2.983826	2.873935	2.954395
fruR	fruR	2.377419	2.283772	2.32964	2.201402	2.249563	2.401499	2.325053	2.263896	2.273452	2.301928	2.306706	2.260265	2.314924	2.28167	2.316071	2.307279	2.32964	2.328875	2.346267	2.283772	2.33824	2.280141	2.305942	2.322377	2.321995	2.300017	2.294666	2.290843	2.328875	2.198917	2.256252
mraZ	b0081	2.836668	2.780862	2.777231	2.630837	2.716839	2.79596	2.835712	2.625103	2.605036	2.535853	2.549231	2.738817	2.770924	2.742448	2.682056	2.644788	2.701932	2.743404	2.75315	2.683584	2.777804	2.754297	2.733848	2.752386	2.632748	2.685687	2.721616	2.618223	2.777231	2.696389	2.750666
mraW	mraW	2.64173	2.597583	2.574649	2.563564	2.57656	2.67078	2.595098	2.554009	2.571018	2.519799	2.476798	2.604463	2.568724	2.514448	2.570636	2.588027	2.630837	2.569298	2.554009	2.587454	2.557066	2.580382	2.577898	2.563564	2.535853	2.524577	2.608476	2.528399	2.57312	2.59376	2.549231
ftsL	b0083	2.629881	2.560507	2.48559	2.484443	2.53203	2.561653	2.558404	2.513875	2.605419	2.466287	2.386592	2.537382	2.526106	2.458833	2.50279	2.551524	2.631028	2.538719	2.545599	2.513875	2.500496	2.60389	2.482341	2.533177	2.493043	2.429019	2.526106	2.471256	2.547511	2.516359	2.50107
ftsI	b0084	2.265807	2.20962	2.192037	2.201593	2.240007	2.303648	2.201402	2.137951	2.244976	2.206753	2.165281	2.223953	2.213633	2.148463	2.211913	2.241153	2.238096	2.143111	2.164325	2.19433	2.197388	2.215926	2.192801	2.154387	2.242109	2.132982	2.295239	2.172352	2.193566	2.24402	2.17369
murE	b0085	2.630837	2.582103	2.550378	2.521519	2.564329	2.629881	2.587454	2.580765	2.527635	2.503554	2.51139	2.617077	2.613636	2.582676	2.495145	2.57656	2.58344	2.551524	2.601405	2.56108	2.589174	2.585734	2.608476	2.573884	2.536235	2.495718	2.543497	2.587454	2.60045	2.541777	2.577133
murF	b0086	2.688936	2.612108	2.581147	2.583822	2.623192	2.728688	2.587645	2.595098	2.623192	2.589747	2.596436	2.605036	2.61421	2.61077	2.551524	2.672882	2.631601	2.605801	2.652815	2.662944	2.654153	2.592232	2.579045	2.627014	2.587454	2.51311	2.63485	2.642495	2.621663	2.60905	2.619179
mraY	b0087	2.445264	2.371112	2.329831	2.357351	2.39309	2.44278	2.39309	2.414304	2.384681	2.35372	2.307279	2.38277	2.360027	2.363658	2.316835	2.395192	2.380667	2.396912	2.435709	2.433606	2.394428	2.408379	2.377419	2.351618	2.371685	2.324097	2.356014	2.386592	2.426726	2.366716	2.405895
murD	b0088	2.450998	2.465331	2.366716	2.414113	2.401499	2.48559	2.436473	2.401881	2.376845	2.328875	2.329831	2.469918	2.433606	2.35372	2.334609	2.371685	2.50451	2.421566	2.473167	2.451189	2.405704	2.508906	2.447558	2.419464	2.407806	2.319128	2.420228	2.47202	2.438766	2.416406	2.431313
ftsW	b0089	2.274216	2.201593	2.076795	2.095524	2.088453	2.184392	2.172352	2.115209	2.172352	2.148272	2.020798	2.224718	2.151712	2.103742	2.115209	2.171396	2.224718	2.100302	2.20962	2.181334	2.213633	2.216882	2.151712	2.119604	2.142538	2.084821	2.166428	2.188215	2.230642	2.101257	2.21478
