#VALUE = Log10 normalized expression of ORF																																
ORF	ORF_BNAME	P	A384	A744	A1224	A1824	A2496	B384	B744	B1224	B1824	B2496	C384	C744	C1224	C1824	C2496	D384	D744	D1224	D1824	D2496	E384	E744	E1224	E1824	E2496	F384	F744	F1224	F1824	F2496
ymdB	b1045	2.678042	2.52687	2.534132	2.486354	2.473358	2.384681	2.535853	2.422713	2.519035	2.427108	2.524386	2.541777	2.56108	2.549804	2.335564	2.272496	2.48062	2.495336	2.321613	2.367863	2.407806	2.47202	2.540822	2.533559	2.482914	2.477563	2.566049	2.552098	2.470683	2.487883	2.465905
mdoG	b1048	3.323819	3.343504	3.37867	3.322673	3.309677	3.362043	3.342167	3.322673	3.330891	3.252342	3.294006	3.327642	3.330891	3.294006	3.149905	3.115122	3.276805	3.337198	3.300313	3.30165	3.325157	3.311779	3.350194	3.338344	3.270499	3.307002	3.348282	3.289801	3.30165	3.315602	3.307002
mdoH	b1049	2.961848	2.992617	2.994338	2.968919	2.965861	3.039632	2.961083	3.080148	3.01708	3.016507	2.974462	2.982488	3.016507	2.969684	2.82329	2.821952	2.968919	3.018227	2.965861	3.041925	3.048996	2.982488	2.988413	2.977519	2.993	2.986884	3.000835	3.050334	2.986502	2.97083	2.97083
msyB	b1051	2.884064	2.809147	2.685305	2.436473	2.473358	2.3348	2.920949	2.289505	2.546173	2.553435	2.561653	2.83877	2.744932	2.61249	2.627588	2.319319	2.727541	2.532604	2.094568	2.119987	2.21478	2.801885	2.624721	2.472976	2.562036	2.419464	2.878713	2.619179	2.539293	2.43762	2.342444
lpxL	b1054	2.221469	2.254149	2.387357	2.384681	2.349324	2.307279	2.280141	2.376081	2.335564	2.312248	2.314924	2.205415	2.246123	2.24918	2.214015	2.288932	2.316071	2.3606	2.400352	2.44106	2.446984	2.272114	2.330213	2.398823	2.324862	2.309764	2.263132	2.293901	2.350853	2.357734	2.377419
yceA	b1055	2.454247	2.43246	2.472976	2.844886	2.709767	2.533177	2.4445	2.769204	2.872406	2.853295	2.828259	2.499541	2.460553	2.52687	2.471256	2.448704	2.506421	2.495718	2.577898	2.589747	2.487883	2.498012	2.50279	2.519799	2.538337	2.706901	2.403792	2.503554	2.566049	2.783538	2.735377
yceI	b1056	3.063903	3.01708	2.986502	2.887313	2.867819	2.823098	3.000835	2.928785	3.034472	2.721234	2.695243	3.148567	3.024725	2.845841	2.664855	2.344929	3.041925	3.036191	2.824627	2.638481	2.57656	2.939487	2.937768	2.959555	2.743404	2.700212	3.158314	3.214502	2.898015	2.971404	2.960701
solA	b1059	2.884829	2.929167	2.968919	2.945412	2.878713	2.848517	2.889415	3.005613	3.004658	2.947705	2.894384	2.915789	3.034472	2.846223	2.61077	2.582676	2.985164	2.982488	2.855015	2.755062	2.688936	2.920758	2.989751	2.937768	2.917509	2.897251	2.879477	2.920758	2.869157	2.959555	2.870877
dinI	b1061	2.60389	2.810485	2.894384	2.882726	2.796725	2.710914	2.858646	2.915789	2.926683	3.039058	2.962612	2.773982	2.843166	2.86113	2.714927	2.706901	2.620326	2.851383	2.789653	2.775129	2.832081	2.736523	2.765764	2.829214	2.831316	3.01536	2.86285	2.915789	2.79596	2.888077	2.898015
pyrC	b1062	3.309677	3.457218	3.488178	3.454542	3.38555	3.418804	3.490854	3.485312	3.525828	3.531753	3.550291	3.457218	3.525828	3.501365	3.285979	3.342167	3.45244	3.496588	3.454542	3.391092	3.343504	3.493912	3.478049	3.49869	3.49869	3.531753	3.424919	3.424919	3.504997	3.490854	3.418804
yceB	b1063	2.437046	2.33136	2.331933	2.301737	2.235802	2.235802	2.327155	2.327155	2.336329	2.262941	2.28511	2.327155	2.385063	2.343973	2.21478	2.164325	2.331169	2.319319	2.286639	2.215162	2.308999	2.356014	2.35372	2.3606	2.340724	2.256252	2.3262	2.310146	2.282625	2.329831	2.267145
grxB	b1064	3.597878	3.326686	3.286934	3.212017	3.166723	2.959555	3.384021	3.101744	3.209533	3.204373	3.326686	3.350194	3.363763	3.289801	3.10098	3.053201	3.311779	3.235333	3.186599	2.919803	2.990706	3.290375	3.294006	3.330891	3.271836	3.230556	3.4662	3.314646	3.247947	3.251387	3.155638
rimJ	b1066	2.841828	2.755444	2.742448	2.721234	2.710532	2.759266	2.730026	2.652815	2.60905	2.627588	2.678042	2.759266	2.804178	2.694096	2.60045	2.553053	2.753342	2.689891	2.670971	2.580765	2.562036	2.726777	2.786213	2.707474	2.692185	2.570062	2.836668	2.766528	2.667722	2.730217	2.659504
yceH	b1067	2.61077	2.636379	2.619561	2.573884	2.590512	2.59376	2.607521	2.60905	2.5628	2.497247	2.479092	2.627588	2.654344	2.587454	2.482341	2.399014	2.621663	2.610196	2.597009	2.530884	2.447366	2.61249	2.650713	2.584778	2.5628	2.469918	2.664855	2.667722	2.552098	2.577133	2.552098
mviM	mviM	2.331933	2.244976	2.235802	2.271541	2.288359	2.236185	2.234464	2.246696	2.187259	2.139863	2.139863	2.313586	2.344356	2.205033	2.108711	2.058639	2.267527	2.283772	2.21478	2.167956	2.134702	2.263323	2.3176	2.242682	2.21994	2.076795	2.308999	2.311101	2.276319	2.258927	2.187832
rne	b1084	2.941208	2.967964	2.945412	2.908336	2.91426	2.928785	3.001409	2.926301	2.89018	2.924772	2.912922	2.993764	2.941208	2.987648	2.94847	2.879477	2.939487	2.920949	2.856353	2.961848	2.968919	2.973124	2.926683	2.942736	2.954395	2.933945	2.968919	2.905278	2.949425	2.9091	2.898971
rluC	b1086	2.103742	2.192037	2.236185	2.283772	2.280141	2.273261	2.24918	2.361938	2.303648	2.244976	2.308999	2.131454	2.137951	2.240198	2.109093	2.039527	2.200446	2.302119	2.367863	2.338622	2.447558	2.132982	2.169103	2.303648	2.286639	2.366716	2.102978	2.119987	2.301737	2.26963	2.352574
yceF	b1087	2.455202	2.457496	2.412201	2.34168	2.35028	2.282625	2.395001	2.300972	2.304795	2.33824	2.255296	2.447558	2.448131	2.373405	2.227776	2.137569	2.448131	2.361938	2.309764	2.306706	2.309573	2.44106	2.395001	2.376845	2.34168	2.293901	2.364423	2.376845	2.363085	2.368627	2.334609
sraB	sraB	2.901264	3.062374	2.969684	2.946177	2.993764	2.871259	2.859028	3.063903	3.018227	3.023769	2.943883	3.066961	3.01708	2.916745	3.033325	2.959555	2.999306	2.910629	2.961083	2.969684	2.905278	3.057979	2.876802	2.960701	3.022431	2.976755	2.984591	3.039058	2.969684	2.960701	2.899927
yceD	b1088	3.870982	3.886462	3.860088	3.799887	3.914556	3.822438	3.901178	3.86563	3.860088	3.881875	3.901178	3.920098	3.914556	3.86563	3.974184	3.832568	3.847666	3.799887	3.86563	3.881875	3.860088	3.86563	3.836772	3.860088	3.901178	3.881875	3.938445	3.914556	3.847666	3.860088	3.876524
rpmF	b1089	3.810398	3.759944	3.742743	3.805238	3.786127	3.641261	3.759944	3.805238	3.815749	3.799887	3.74733	3.759944	3.791287	3.69764	3.770073	3.676809	3.886462	3.827025	3.827025	3.799887	3.759944	3.810398	3.770073	3.782304	3.827025	3.791287	3.730512	3.815749	3.786127	3.776189	3.810398
plsX	b1090	2.666958	2.644788	2.583822	2.547511	2.605801	2.646508	2.644788	2.664091	2.644788	2.545599	2.513875	2.638099	2.570062	2.570636	2.673073	2.47202	2.644215	2.570636	2.612108	2.664091	2.734612	2.660842	2.594525	2.594525	2.545599	2.605801	2.646508	2.645553	2.657211	2.550569	2.660269
fabH	b1091	2.962612	3.018227	2.976755	2.976755	2.951145	2.960701	3.013831	2.939296	2.941972	2.94847	2.929167	3.034472	3.02568	2.97083	2.917509	2.759075	3.021667	2.983826	2.976182	2.997204	3.010773	3.031987	3.009818	2.94847	2.955159	2.950572	3.001409	3.012876	2.950572	2.961083	2.961083
fabD	b1092	3.280054	3.350194	3.305855	3.286934	3.321717	3.321717	3.327642	3.271836	3.272983	3.285979	3.234187	3.329362	3.319424	3.295917	3.230556	3.139585	3.278717	3.296681	3.252342	3.270499	3.26897	3.319424	3.295917	3.29305	3.286934	3.246418	3.350194	3.290375	3.264574	3.286934	3.26897
fabG	b1093	3.424919	3.536148	3.54666	3.427022	3.450529	3.472507	3.573033	3.407337	3.37867	3.408866	3.391092	3.565771	3.584309	3.570358	3.513597	3.297637	3.478049	3.483401	3.475183	3.435813	3.560038	3.506716	3.522961	3.536148	3.424919	3.496588	3.525828	3.510348	3.490854	3.435813	3.550291
acpP	b1094	4.120387	4.096879	4.127458	4.109684	4.177148	4.147525	4.115417	4.041838	4.070123	4.115417	4.177148	4.115417	4.168165	4.109684	4.022918	4.035532	4.115417	4.064008	4.041838	4.058083	4.064008	4.103186	4.109684	4.096879	4.133765	4.155743	4.051585	4.064008	4.064008	4.051585	4.133765
fabF	b1095	2.982488	3.088557	3.069446	3.088557	3.15239	3.286934	3.047467	3.08741	3.036191	3.039632	3.124104	3.043836	3.059125	3.033325	2.986502	3.043836	3.142643	3.059125	3.08741	3.065241	3.072886	3.059125	3.068299	3.02568	3.030267	3.036191	3.036191	3.063903	3.039058	3.04441	3.053201
tmk	b1098	2.534132	2.447366	2.432077	2.497439	2.581147	2.690847	2.423095	2.537382	2.53031	2.530884	2.536617	2.438766	2.44106	2.374169	2.372258	2.472976	2.481003	2.449469	2.466287	2.590512	2.457496	2.498394	2.473358	2.489985	2.521519	2.430548	2.473932	2.473167	2.482914	2.527635	2.458451
holB	b1099	2.181334	2.17369	2.086542	2.109666	2.218411	2.327155	2.143685	2.202739	2.088453	2.140436	2.140436	2.145978	2.172352	2.156299	2.07775	2.104888	2.135276	2.153049	2.190508	2.246123	2.247078	2.125147	2.17713	2.122089	2.159548	2.10508	2.143111	2.166428	2.160885	2.126485	2.188215
ycfH	b1100	2.322377	2.371685	2.350853	2.376845	2.483487	2.479092	2.371112	2.495145	2.386592	2.346267	2.421566	2.357734	2.368627	2.356396	2.253576	2.336711	2.390605	2.390605	2.446029	2.464567	2.416597	2.343973	2.395192	2.377419	2.416597	2.392134	2.377419	2.377419	2.385063	2.39309	2.390605
ptsG	b1101	3.157167	3.019373	3.037529	3.157167	3.154301	3.158314	3.048996	3.166723	3.162328	3.198448	3.181057	3.01536	3.036191	3.052628	2.9091	2.960701	3.022431	3.107095	3.142643	3.121047	3.083779	3.08913	3.111491	3.15239	3.126398	3.168634	3.037529	3.147803	3.109771	3.127544	3.12506
hinT	b1103	2.921905	2.721425	2.853295	2.795005	2.836859	2.745697	2.859984	2.834756	2.827494	2.798827	2.85253	2.695434	2.816027	2.798254	2.651668	2.58344	2.754297	2.870304	2.82501	2.749328	2.789271	2.817556	2.869157	2.830361	2.84221	2.806472	2.863424	2.79596	2.834756	2.739772	2.798827
ycfL	b1104	3.108051	2.947705	3.050334	2.94675	2.939296	2.855015	3.040778	2.984591	2.961083	2.965861	2.996058	2.969684	2.993	3.00848	2.824627	2.770924	2.919038	3.019373	2.995293	2.912922	2.914643	2.960701	3.031987	3.033325	2.97083	2.951145	3.002747	2.997204	2.986884	2.919038	2.935665
ycfM	ycfM	2.877566	2.777804	2.765	2.79596	2.757928	2.739772	2.757928	2.749328	2.790609	2.770159	2.859028	2.784875	2.804943	2.755444	2.601405	2.621663	2.773026	2.764044	2.796725	2.738052	2.6897	2.803222	2.819467	2.721234	2.773026	2.676322	2.836859	2.832654	2.743786	2.766528	2.723527
ycfN	ycfN	2.417935	2.447558	2.432077	2.385063	2.3434	2.252811	2.371494	2.516359	2.425197	2.468198	2.414304	2.473358	2.475652	2.445264	2.361938	2.148272	2.401881	2.422713	2.502025	2.517697	2.466287	2.393281	2.438193	2.406468	2.483487	2.463994	2.498012	2.56968	2.451189	2.407997	2.417553
nagZ	b1107	2.678616	2.721616	2.701167	2.657211	2.668487	2.564902	2.691803	2.743404	2.734612	2.736523	2.684731	2.760031	2.781435	2.756399	2.628352	2.519799	2.694669	2.701167	2.706901	2.728688	2.734995	2.727541	2.716839	2.730026	2.735377	2.725056	2.804178	2.850428	2.701932	2.67078	2.684731
ycfP	b1108	2.908336	2.823098	2.84221	2.796725	2.764044	2.615356	2.799209	2.882153	2.906234	2.876037	2.77876	2.814498	2.817174	2.798827	2.643068	2.677087	2.859028	2.859028	2.807045	2.817174	2.759075	2.901264	2.89706	2.856353	2.881006	2.774937	2.824627	2.906234	2.882726	2.832654	2.758693
ndh	b1109	3.037529	2.916554	3.002747	3.021667	3.060654	2.892473	2.921905	2.929167	2.942736	2.85425	2.871259	2.876037	2.869157	2.834756	2.734995	2.687789	2.900691	2.897251	2.872406	2.920758	2.926301	2.841828	2.884829	2.999306	2.790227	3.000835	2.86457	2.767293	2.850428	2.926683	2.977519
ycfS	b1113	2.587454	2.5628	2.534706	2.566049	2.595481	2.549231	2.550569	2.479092	2.49419	2.401881	2.438193	2.60905	2.517697	2.571018	2.47202	2.427108	2.585734	2.618223	2.654344	2.679189	2.601405	2.570062	2.563564	2.6811	2.644788	2.526297	2.611343	2.65186	2.646699	2.6553	2.701932
mfd	b1114	2.473932	2.535853	2.584778	2.588409	2.524577	2.451189	2.473358	2.711296	2.581147	2.618223	2.552098	2.520755	2.546746	2.538337	2.351809	2.387547	2.544453	2.602934	2.635232	2.570636	2.524577	2.516359	2.548275	2.549231	2.581147	2.570636	2.527635	2.570062	2.553053	2.557066	2.570636
lolC	b1116	2.619943	2.587454	2.65186	2.707474	2.6897	2.579045	2.591276	2.74971	2.692185	2.643068	2.668678	2.58172	2.655108	2.716265	2.535853	2.523048	2.633703	2.728688	2.841828	2.870877	2.839534	2.588027	2.709385	2.755062	2.773982	2.767293	2.566813	2.731555	2.754297	2.715501	2.82501
lolD	b1117	2.56108	2.536235	2.570062	2.658166	2.596436	2.580382	2.571782	2.664855	2.645553	2.59376	2.610196	2.53203	2.607521	2.652815	2.482723	2.482914	2.61077	2.656446	2.774937	2.765573	2.781435	2.538719	2.618223	2.661033	2.700212	2.631028	2.556684	2.679189	2.635806	2.642495	2.715501
lolE	b1118	2.561653	2.536617	2.559742	2.574649	2.597009	2.523048	2.522092	2.694669	2.613063	2.554009	2.579045	2.521519	2.561653	2.606756	2.506421	2.473167	2.597583	2.624721	2.713398	2.706327	2.744932	2.554009	2.58344	2.63485	2.645553	2.650331	2.567387	2.695434	2.648037	2.577707	2.645553
ycfX	ycfX	2.766528	2.645553	2.64173	2.665237	2.689891	2.674793	2.683967	2.665237	2.734995	2.698683	2.714354	2.667722	2.631601	2.677087	2.665237	2.622237	2.714354	2.666002	2.728688	2.738817	2.745697	2.646508	2.674793	2.707856	2.709767	2.677087	2.74971	2.702887	2.710914	2.656446	2.693331
cobB	b1120	2.766528	2.693331	2.716265	2.75315	2.738052	2.664855	2.773982	2.703652	2.835712	2.789271	2.798063	2.760604	2.755062	2.76844	2.683584	2.631028	2.704416	2.755444	2.79768	2.775893	2.789462	2.738052	2.766528	2.798063	2.798254	2.750284	2.784302	2.783729	2.796725	2.731555	2.753342
potD	b1123	3.369496	3.363763	3.259414	3.355162	3.327642	3.155638	3.318468	3.362043	3.457218	3.410586	3.423964	3.418804	3.321717	3.330891	3.205137	3.066961	3.407337	3.323819	3.423964	3.338344	3.280054	3.428933	3.340255	3.38211	3.407337	3.309677	3.410586	3.433328	3.356883	3.323819	3.270499
potC	b1124	2.783538	2.79596	2.753342	2.853295	2.89018	2.816027	2.730217	2.824627	2.900691	2.939487	2.953057	2.839534	2.765	2.817174	2.745697	2.590512	2.695243	2.775129	2.863424	3.054539	3.074032	2.774937	2.806089	2.836668	2.882153	2.861895	2.82501	2.859984	2.79768	2.824627	2.849281
potB	b1125	2.611343	2.658166	2.612681	2.758693	2.750284	2.746461	2.608476	2.784875	2.782964	2.816027	2.872406	2.638481	2.665237	2.685687	2.575222	2.427682	2.611343	2.682056	2.808192	2.986884	2.969684	2.661033	2.664855	2.6897	2.759075	2.775129	2.686642	2.722572	2.711296	2.707474	2.73595
potA	b1126	2.86285	2.82329	2.765573	2.9091	2.89534	2.920758	2.783729	2.889415	2.928212	2.905278	2.997204	2.804943	2.806089	2.817556	2.783729	2.655108	2.873935	2.829214	2.924772	3.080148	3.074797	2.818512	2.827494	2.86457	2.873171	2.884064	2.826539	2.882153	2.859028	2.841254	2.890944
ycfD	b1128	2.885975	2.955923	3.003702	3.098304	3.103273	3.040778	2.977519	3.036191	2.982488	2.983826	2.99816	2.933945	3.007524	2.976755	2.715501	2.786213	3.023769	3.046703	3.069446	3.098304	3.062374	3.033325	3.095246	3.090468	3.065241	2.997204	2.897251	2.983826	3.068299	3.083779	2.985164
phoQ	b1129	2.734995	2.666958	2.619943	2.539293	2.569298	2.633703	2.684731	2.734612	2.59873	2.546173	2.514448	2.687789	2.665811	2.633703	2.620326	2.39997	2.644788	2.63485	2.646508	2.646508	2.689891	2.662944	2.651668	2.682056	2.68282	2.615356	2.687789	2.710532	2.6811	2.595098	2.619943
phoP	b1130	3.360705	3.280054	3.251387	3.157358	3.256356	3.18851	3.288081	3.220044	3.122576	3.099068	3.162328	3.290375	3.25024	3.247947	3.171692	3.00848	3.271836	3.216031	3.177425	3.142643	3.175514	3.296681	3.296681	3.294006	3.216031	3.183923	3.289801	3.262663	3.214502	3.216604	3.157167
purB	b1131	3.668782	3.638777	3.707578	3.74733	3.764913	3.886462	3.707578	3.712547	3.685218	3.752299	3.782304	3.657888	3.721339	3.730512	3.605905	3.734526	3.641261	3.716561	3.707578	3.836772	3.810398	3.668782	3.673178	3.74733	3.74733	3.757077	3.654831	3.676809	3.742743	3.770073	3.738539
hflD	b1132	3.2382	3.2382	3.272983	3.247947	3.246418	3.367012	3.260561	3.38211	3.273556	3.253107	3.257885	3.212017	3.232849	3.302415	3.214502	3.234187	3.246418	3.274703	3.317322	3.407337	3.38555	3.251387	3.245271	3.322673	3.288081	3.290375	3.194817	3.194817	3.322673	3.307002	3.343504
trmU	trmU	3.048996	3.074797	3.122576	3.099068	3.086455	3.114357	3.110535	3.134616	3.079192	3.040778	3.054539	3.028929	3.095246	3.121047	2.97083	2.996058	3.10098	3.139585	3.162328	3.225969	3.270499	3.060654	3.101744	3.117798	3.098304	3.092571	3.038294	3.052628	3.130985	3.098304	3.150861
ymfB	ymfB	2.276319	2.408379	2.379138	2.377419	2.361938	2.366143	2.35028	2.376845	2.336711	2.294666	2.374361	2.405895	2.400734	2.357351	2.289697	2.246123	2.384681	2.344547	2.313586	2.521519	2.448131	2.384681	2.383916	2.344356	2.409143	2.33824	2.318746	2.367863	2.376081	2.384681	2.368818
ymfC	ymfC	2.380667	2.342444	2.422713	2.35028	2.327155	2.327155	2.364231	2.387165	2.319128	2.331169	2.398823	2.301928	2.353911	2.407423	2.18745	2.234464	2.277274	2.362894	2.400734	2.465331	2.49419	2.324097	2.308044	2.407423	2.39309	2.439722	2.309573	2.294092	2.416597	2.358498	2.417935
icd	b1136	4.147525	3.98049	4.035532	4.083501	4.046999	3.987753	4.029989	4.064008	4.120387	4.244994	4.273279	4.046999	4.140454	4.127458	3.870982	3.987753	3.966921	4.003424	3.951823	3.932329	3.966921	3.98049	4.070123	3.959086	4.070123	4.147525	4.103186	4.070123	4.029989	4.140454	4.115417
ymfI	b1143	2.646508	2.433606	2.500305	2.385828	2.395001	2.164134	2.438193	2.517506	2.502025	2.513875	2.479665	2.406468	2.414304	2.452718	2.228731	2.309764	2.448704	2.461127	2.347605	2.194521	2.287021	2.412392	2.450042	2.455393	2.417553	2.440104	2.548657	2.473358	2.400734	2.393281	2.3434
icdC	b4519	2.181908	2.364231	2.290843	2.466478	2.420419	2.296577	2.26963	2.538337	2.403792	2.618606	2.461127	2.327155	2.427108	2.407806	2.202166	2.273261	2.391179	2.482914	2.377801	2.339195	2.30059	2.296768	2.364996	2.230642	2.342444	2.517506	2.371112	2.473358	2.283008	2.427108	2.322377
ycgE	ycgE	2.655108	2.571018	2.560507	2.575222	2.526106	2.489412	2.572356	2.573694	2.715501	2.594525	2.580382	2.628352	2.580382	2.498012	2.448704	2.289505	2.605036	2.518461	2.387165	2.349324	2.294666	2.570636	2.528399	2.526297	2.457114	2.622237	2.568724	2.45654	2.540057	2.595481	2.595098
minE	b1174	3.0941	2.957261	2.938723	2.870877	2.869157	2.900691	2.937003	2.835712	2.928785	2.863424	2.743021	3.068299	3.037529	2.897251	2.869157	2.832654	2.941208	2.859984	2.646508	2.545599	2.542542	3.01192	2.938723	2.766528	2.774937	2.750666	2.942736	2.929741	2.814498	2.82501	2.806472
minD	b1175	3.270499	3.186026	3.096584	3.037529	3.046703	3.088557	3.171692	2.971404	3.026827	2.86457	2.89534	3.186599	3.19023	3.053201	2.996058	2.997204	3.164047	3.07881	2.84221	2.715501	2.71875	3.157167	3.16787	3.034472	2.94675	2.935665	3.110535	3.071166	3.019373	3.019373	2.989751
minC	b1176	3.362043	3.222147	3.216031	3.04441	3.090468	3.12506	3.248711	3.065241	3.037529	2.9091	2.91426	3.205137	3.262663	3.109771	3.047467	3.054539	3.214502	3.148567	2.937003	2.832081	2.866864	3.205137	3.223866	3.135954	3.005613	3.043836	3.150861	3.039632	3.100024	3.110535	3.083779
ycgL	b1179	2.322951	2.418699	2.403792	2.477563	2.441633	2.414113	2.342444	2.455202	2.371685	2.356205	2.429784	2.372258	2.427682	2.425197	2.309573	2.327155	2.392134	2.372258	2.427682	2.413157	2.309764	2.402646	2.378183	2.407806	2.375316	2.384108	2.319128	2.387357	2.368627	2.385063	2.352956
ycgM	b1180	2.412392	2.467434	2.422904	2.377801	2.384681	2.296768	2.451189	2.495336	2.363658	2.34684	2.336329	2.407423	2.461127	2.364996	2.261985	2.200446	2.499541	2.461509	2.458451	2.358498	2.295239	2.432077	2.420993	2.446029	2.361938	2.332506	2.44278	2.438766	2.401499	2.401499	2.363658
dsbB	b1185	2.324097	2.246123	2.333271	2.3348	2.306706	2.373214	2.318746	2.209811	2.260265	2.193566	2.299061	2.302501	2.307279	2.241153	2.131071	2.051185	2.39309	2.320275	2.387357	2.286639	2.367098	2.366143	2.353911	2.388312	2.325053	2.320275	2.184966	2.367863	2.329831	2.310146	2.314924
nhaB	b1186	2.395001	2.319319	2.318555	2.437046	2.44278	2.403792	2.301737	2.517697	2.448704	2.441633	2.452144	2.336329	2.355058	2.374361	2.267527	2.357351	2.344356	2.344929	2.363085	2.388312	2.435709	2.366716	2.384108	2.326582	2.34856	2.367098	2.275936	2.3176	2.330213	2.358689	2.392134
fadR	b1187	2.332506	2.3434	2.464567	2.548275	2.508906	2.472976	2.445264	2.517697	2.414113	2.433989	2.48062	2.373214	2.368818	2.438766	2.336329	2.364423	2.438766	2.487883	2.554773	2.522092	2.585734	2.385063	2.421566	2.508906	2.470683	2.540822	2.358498	2.400352	2.471256	2.472976	2.536235
ldcA	b1192	2.269247	2.287021	2.283772	2.212486	2.28167	2.22682	2.225864	2.28167	2.206753	2.21478	2.192037	2.20618	2.3348	2.249563	2.101257	2.174837	2.287595	2.2509	2.257781	2.262176	2.277083	2.272496	2.355058	2.288359	2.268292	2.279568	2.17541	2.263132	2.26963	2.259501	2.23026
emtA	b1193	2.26963	2.308044	2.423095	2.467434	2.457496	2.373405	2.3434	2.328875	2.33824	2.402646	2.443544	2.350853	2.379521	2.393281	2.300972	2.235038	2.228922	2.380094	2.331169	2.436473	2.50451	2.309573	2.379138	2.361938	2.417935	2.470683	2.336329	2.3348	2.376845	2.451189	2.458833
dhaH	dhaH	2.767293	2.553435	2.659504	2.540057	2.533559	2.540822	2.523048	2.629881	2.547511	2.605036	2.56968	2.557831	2.617077	2.571782	2.439722	2.553435	2.545599	2.587645	2.491323	2.563564	2.577133	2.539293	2.57312	2.549804	2.546173	2.588027	2.612108	2.619561	2.533177	2.536235	2.50279
dhaL	b1199	2.746461	2.587645	2.659504	2.623765	2.56968	2.580765	2.551524	2.619179	2.630837	2.68282	2.553053	2.542542	2.608476	2.592996	2.459407	2.510434	2.536617	2.595481	2.53203	2.571018	2.49419	2.554773	2.595098	2.567387	2.591276	2.579045	2.627206	2.588409	2.566813	2.564329	2.522092
dhaK	b1200	2.84221	2.617077	2.701932	2.597009	2.606756	2.594525	2.617077	2.568724	2.599876	2.605419	2.589747	2.618606	2.618223	2.612681	2.51311	2.554009	2.597583	2.618606	2.523048	2.539293	2.517697	2.588409	2.632748	2.611343	2.563564	2.606756	2.673647	2.540822	2.559169	2.543497	2.563564
ychF	b1203	2.72563	2.911776	2.899927	3.022431	3.047467	3.074032	2.83877	2.985164	2.97083	3.041925	3.065241	2.861895	2.906234	2.941208	2.817174	2.872406	2.875464	2.921905	3.001409	2.99816	2.992617	2.884829	2.916554	2.920949	2.97083	3.005613	2.804943	2.887313	2.937768	3.01192	2.978475
pth	b1204	2.30747	2.519035	2.56108	2.610196	2.547511	2.711296	2.473358	2.560507	2.682056	2.709576	2.695434	2.463994	2.506421	2.527635	2.421566	2.436473	2.430548	2.565667	2.584778	2.664855	2.566813	2.472976	2.503554	2.51999	2.592041	2.607521	2.414304	2.446029	2.540822	2.587454	2.595481
prsA	prsA	3.504997	3.587749	3.581443	3.493912	3.560038	3.565771	3.629603	3.475183	3.478049	3.634381	3.622723	3.513597	3.560038	3.542837	3.41307	3.40103	3.542837	3.536148	3.40103	3.462569	3.478049	3.618519	3.587749	3.565771	3.605905	3.638777	3.562522	3.480151	3.525828	3.553158	3.51589
ispE	b1208	3.177425	3.135954	3.109771	3.044601	3.124104	3.126398	3.132705	3.121047	3.155638	3.176661	3.135954	3.142261	3.207813	3.13538	3.068299	3.009818	3.165767	3.130985	3.063139	3.099068	3.12506	3.149905	3.140732	3.127544	3.179146	3.177425	3.15927	3.148567	3.132705	3.099068	3.071166
lolB	b1209	3.050334	2.981724	3.043836	2.992617	2.994338	3.054539	3.02568	2.97255	2.961848	3.000835	3.055303	3.029311	3.074032	3.04613	2.909673	2.856353	2.960701	3.027209	3.02568	3.027209	3.050334	2.974462	3.023769	3.036191	3.054539	3.0941	3.04441	3.053201	3.02052	3.034472	3.066197
prfA	b1211	2.276319	2.385828	2.424433	2.21306	2.316071	2.489985	2.385063	2.219367	2.098008	2.112533	2.14961	2.365378	2.362894	2.407997	2.352574	2.493616	2.431313	2.477563	2.52343	2.554009	2.623765	2.413157	2.450998	2.414113	2.450998	2.264852	2.396912	2.473932	2.458833	2.270012	2.369009
ychQ	b1213	2.118267	2.154578	2.06743	2.062843	2.176366	2.283008	2.090937	2.219749	2.148463	2.19433	2.106609	2.132027	2.125911	2.13604	2.109666	2.21478	2.229878	2.092657	2.187259	2.255296	2.215162	2.16165	2.155725	2.143111	2.201593	2.125911	2.197388	2.091893	2.204459	2.105844	2.037234
ychA	b1214	2.716839	2.702887	2.620326	2.624721	2.643068	2.675558	2.692185	2.644215	2.631028	2.635806	2.590512	2.707474	2.677087	2.653579	2.611343	2.688936	2.761559	2.618988	2.6811	2.639819	2.633703	2.728114	2.665237	2.605036	2.652815	2.597009	2.646508	2.560507	2.636379	2.631792	2.646508
kdsA	b1215	2.886166	2.939487	2.946177	2.952101	2.971404	3.030267	2.961848	2.89018	2.884829	2.886166	2.89706	2.916554	2.919803	2.917509	2.85425	2.929741	2.952101	2.898015	2.937768	2.91426	2.884064	2.950572	2.945412	2.929167	2.919038	2.891135	2.912922	2.851383	2.938723	2.919803	2.910629
rdlA	b4420	2.43762	2.747608	2.679189	2.505466	2.780862	2.901264	2.704416	2.619561	2.631601	2.658166	2.678616	2.793858	2.639819	2.579045	2.728114	2.745697	2.68282	2.619179	2.627588	2.729452	2.746461	2.828259	2.775129	2.662944	2.69314	2.597583	2.756399	2.619943	2.658166	2.801885	2.596436
