substrate	kinase
IRAK1	AKT1
BTK	LYN
BTK	PRKCB
BTK	ITK
BTK	ABL1
BTK	BTK
BTK	SYK
BTK	TEC
WAS	BTK
WAS	CSNK2A1
WAS	CSNK2A2
WAS	HCK
GJB1	PRKCA
GJB1	PRKACA
GATA1	AKT1
L1CAM	RPS6KA1
L1CAM	RPS6KA2
L1CAM	CSNK2A1
MSN	PRKCQ
MSN	ROCK1
ELK1	MAPK1
ELK1	MAPK14
ELK1	MAPK9
ELK1	TAOK2
CDK16	PRKACA
CDK16	CDK5
CDK16	CDK16
PHKA1	PHKA1
PHKA1	PRKACA
PDHA1	PDK1
PDHA1	PDK2
PDHA1	PDK3
PDHA1	PDK4
RPL10	PRKCA
UBE2A	CDK1
UBE2A	CDK2
SHOX	CSNK2A1
SAT1	CSNK2A1
SAT1	CSNK2A2
SYN1	PRKACA
SYN1	CAMK2G
SYN1	CAMK1
