TP53,MYC,any
MYC,TERT,any
LIF,TP53,any
>LIF,7.510099017788199
RB1,MYC,any
LIF,TP53,any
TP53,RB1,any
>LIF,7.601293540205927
MYC,TP53,any
TAF4B,MYC,any
TP53,LIF,any
>LIF,7.579189795258106
RNF144B,TP53,any
TP53,LIF,any
TP53,RB1,any
>LIF,7.528771834490577
TP53,MYC,any
RNF144B,TP53,any
TP53,LIF,any
>TRAF2,6.7602643732197265
TNFRSF10A,TRAF2,any
TP53,RB1,any
TNFRSF10A,TP53,any
>TRAF2,7.036544474407186
TNFRSF10A,TRAF2,any
TP53,MYC,any
TNFRSF10A,TP53,any
>TRAF2,6.789579068447652
TNFRSF10A,TRAF2,any
TP53,RNF144B,any
TNFRSF10A,TP53,any
>TRAF2,6.787762090319908
TP53,MYC,any
MAP4K4,TP53,any
MAP4K4,TRAF2,any
>TRAF2,6.823266013970906
TNFRSF10A,TRAF2,any
TP53,MCL1,any
TNFRSF10A,TP53,any
>SCAMP1,7.197141035743101
TP53,MYC,any
SCAMP1,TP53,any
SCAMP1,UBE3A,any
>SCAMP1,7.201016896213799
TP53,RNF144B,any
SCAMP1,TP53,any
TP53,SCN3B,any
>SCAMP1,7.3092739455874804
RB1,MYC,any
SCAMP1,TP53,any
TP53,RB1,any
>SCAMP1,7.263967265692824
TP53,MYC,any
SCAMP1,TP53,any
MYC,MTA1,any
>SCAMP1,7.184280427281514
MCL1,AKT1,any
SCAMP1,TP53,any
TP53,MCL1,any
>BCAT1,8.130963771577797
MYC,RB1,any
RB1,CCNE1,any
BCAT1,MYC,any
>BCAT1,7.80876900500928
MYC,RB1,any
RB1,TP53,any
BCAT1,MYC,any
>BCAT1,7.846735066195235
MYC,TP53,any
TAF4B,MYC,any
MYC,BCAT1,any
>BCAT1,7.752405354196904
MYC,TP53,any
TERT,MYC,any
MYC,BCAT1,any
>BCAT1,7.686427790919404
MYC,TP53,any
MYC,STK11,any
BCAT1,MYC,any
>PRMT1,7.147642729002471
PRMT1,TP53,any
RB1,MYC,any
TP53,RB1,any
>PRMT1,7.29972820888781
TP53,PRMT1,any
RB1,CCNE1,any
RB1,TP53,any
>PRMT1,7.006116038356008
TP53,MYC,any
PRMT8,PRMT1,any
PRMT1,TP53,any
>PRMT1,7.065185912501309
TP53,MYC,any
MYC,CTBP1,any
PRMT1,TP53,any
>PRMT1,6.9981084778242835
PRMT1,TP53,any
TP53,RB1,any
IDH3B,PRMT1,any
>ZHX1,7.105776153038026
TP53,MYC,any
TP53,ZHX1,any
MCL1,TP53,any
>ZHX1,7.026833995222563
ZHX1,TP53,any
CSNK2A1,ZHX1,any
TP53,RB1,any
>ZHX1,7.140236199209742
TP53,MYC,any
ZHX1,TP53,any
TP53,RB1,any
>ZHX1,7.153431258308073
TP53,MYC,any
ZHX1,TP53,any
TP53,RNF144B,any
>ZHX1,7.292789114557823
ZHX1,TP53,any
RB1,CCNE1,any
TP53,RB1,any
>NLRC4,7.3927064875104165
NLRC4,TP53,any
TP53,MYC,any
MYC,RB1,any
>NLRC4,7.406517085710072
TP53,NLRC4,any
TP53,MYC,any
RNF144B,TP53,any
>NLRC4,7.272318440789981
TP53,NLRC4,any
TP53,MYC,any
SFN,TP53,any
>NLRC4,7.269884907556948
TP53,BCL2L1,any
NLRC4,TP53,any
TP53,MYC,any
>NLRC4,7.542789114557823
NLRC4,TP53,any
RB1,CCNE1,any
TP53,RB1,any
>APC,6.924726717858381
APC,TP53,any
APC,MACF1,any
CTBP1,APC,any
>APC,6.971520458611935
TP53,APC,any
MYC,TP53,any
MTA1,MYC,any
>APC,7.045690128466985
APC,TP53,any
CTBP1,MYC,any
APC,CTBP1,any
>APC,7.130340536211008
APC,TP53,any
RB1,MYC,any
TP53,RB1,any
>APC,7.270162786700902
APC,TP53,any
RB1,CCNE1,any
TP53,RB1,any
>TAF4B,7.654733545971235
TP53,MYC,any
MYC,TAF4B,any
MYC,ID2,any
>TAF4B,7.846735066195235
MYC,TP53,any
TAF4B,MYC,any
MYC,BCAT1,any
>TAF4B,7.8555844623488635
MYC,TP53,any
TAF4B,MYC,any
MYC,SMARCA2,any
>TAF4B,7.691004984625055
MYC,TP53,any
TAF4B,MYC,any
MYC,AKT1,any
>TAF4B,7.846578397173815
MYC,TP53,any
TAF4B,MYC,any
MYC,RB1,any
>RCHY1,7.147642729002471
TP53,MYC,any
RCHY1,TP53,any
TP53,RB1,any
>RCHY1,7.195211431382387
MYC,TP53,any
TP53,RCHY1,any
BCAT1,MYC,any
>RCHY1,7.057651405497865
TP53,MYC,any
RCHY1,TP53,any
RCHY1,GFI1B,any
>RCHY1,7.107008952221482
TP53,MYC,any
RCHY1,ADAMTSL4,any
RCHY1,TP53,any
>RCHY1,7.085504021695078
RCHY1,ADAMTSL4,any
ADAMTSL4,TCEA2,any
RCHY1,TP53,any
>ERBB2,7.303011473817756
MYC,TP53,any
MYC,ERBB2,any
CTBP1,MYC,any
>ERBB2,7.036307182890393
TP53,MYC,any
MYC,ERBB2,any
LIF,TP53,any
>ERBB2,7.385909707876582
MYC,TP53,any
ERBB2,MYC,any
TP53,RB1,any
>ERBB2,7.421937010191823
MYC,TP53,any
ERBB2,MYC,any
MYC,TERT,any
>ERBB2,7.477852580003454
MYC,TP53,any
MYC,ERBB2,any
TAF4B,MYC,any
>MTA1,7.6486409352016045
MYC,RB1,any
MTA1,MYC,any
RB1,TP53,any
>MTA1,7.274500356391194
TRIM28,TP53,any
MYC,MTA1,any
TRIM28,MYC,any
>MTA1,7.237399291069285
MYC,TP53,any
MTA1,MYC,any
MYC,DNTT,any
>MTA1,7.263967265692824
TP53,MYC,any
SCAMP1,TP53,any
MYC,MTA1,any
>MTA1,7.582837608975592
TP53,BCL2L1,any
MYC,TP53,any
MTA1,MYC,any
>NGFR,7.407133980523599
TP53,MYC,any
TP53,RNF144B,any
NGFR,TP53,any
>NGFR,7.059857076355362
TP53,MYC,any
SCAMP1,TP53,any
TP53,NGFR,any
>NGFR,7.359473472181016
TP53,MYC,any
NGFR,TP53,any
TP53,MCL1,any
>NGFR,7.393941089296438
RB1,MYC,any
NGFR,TP53,any
TP53,RB1,any
>NGFR,7.486407612641503
TP53,MYC,any
MYC,TAF4B,any
NGFR,TP53,any
>COPS5,7.000339376171329
COPS5,TP53,any
ATRN,COPS5,any
TP53,RB1,any
>COPS5,7.10456122317216
TP53,MYC,any
COPS5,TP53,any
WNK1,COPS5,any
>COPS5,6.890861092843916
TP53,RNF144B,any
COPS5,TP53,any
ATRN,COPS5,any
>COPS5,7.019477747978527
RNF144B,TP53,any
TP53,COPS5,any
TP53,MCL1,any
>COPS5,6.918014767067618
COPS5,TP53,any
ATRN,COPS5,any
TP53,MCL1,any
>XRCC6,7.1707864602082205
MYC,TP53,any
TERT,XRCC6,any
TERT,MYC,any
>XRCC6,7.206555035486166
ZNF512B,HEYL,any
XRCC6,TP53,any
ZNF512B,XRCC6,any
>XRCC6,7.359949217423864
TERT,XRCC6,any
XRCC6,TP53,any
XRCC6,ZNF512B,any
>XRCC6,7.06859712038681
XRCC6,TERT,any
TP53,XRCC6,any
COL18A1,TP53,any
>XRCC6,7.153294236428166
TP53,MYC,any
TP53,RNF144B,any
XRCC6,TP53,any
>FOXA1,6.830706810765732
FOXA1,TP53,any
SHH,FOXA1,any
TP53,MCL1,any
>FOXA1,7.160833458055891
TP53,FOXA1,any
TP53,MYC,any
RNF144B,TP53,any
>FOXA1,6.766395679068994
