Gene	TP53	MYC	RB1	CCNE1	MCL1	BRCA1	AKT1	CTNNB1	TERT	BCL2L1	TRIM28	APC	MAX	MTOR	VAV2	MACF1	PTEN	NF1	GRB2	IGF1R	CBX8	E2F5	NOTCH1
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0
GeneName	TP53	MYC	RB1	CCNE1	MCL1	BRCA1	AKT1	CTNNB1	TERT	BCL2L1	TRIM28	APC	MAX	MTOR	VAV2	MACF1	PTEN	NF1	GRB2	IGF1R	CBX8	E2F5	NOTCH1
TCGA-24-1842-01	1	1								1													
TCGA-36-1568-01	1	1									1												
TCGA-57-1582-01	1	1										1											
TCGA-25-1329-01	1	1												1									
TCGA-29-1764-01	1	1													1			1					
TCGA-61-2092-01	1	1														1							
TCGA-29-1697-01	1	1															1						
TCGA-31-1959-01	1	1															1						
TCGA-13-0720-01	1	1															1						
TCGA-36-1570-01	1	1															1						
TCGA-59-2363-01	1	1																1		1			
TCGA-61-2613-01	1	1																1		1			
TCGA-29-1705-01	1	1																1			1		
TCGA-23-2078-01	1	1																1			1		
TCGA-24-1464-01	1	1																1			1		
TCGA-24-1423-01	1	1																1					1
TCGA-61-2000-01	1	1																1					1
TCGA-13-1483-01	1	1																1					
TCGA-57-1584-01	1	1																1					
TCGA-24-1422-01	1	1																1					
TCGA-61-1910-01	1	1																		1	1		
TCGA-13-0755-01	1	1																		1			
TCGA-24-1436-01	1	1																		1			
TCGA-25-1313-01	1	1																			1		
TCGA-13-0903-01	1	1																			1		
TCGA-61-1725-01	1	1																			1		
TCGA-20-1685-01	1	1																			1		
TCGA-24-2281-01	1	1																			1		
TCGA-61-1913-01	1	1																			1		
TCGA-13-0714-01	1	1																			1		
TCGA-29-1770-01	1	1																				1	
TCGA-29-1784-01	1	1																				1	
TCGA-24-1553-01	1	1																					1
TCGA-23-2077-01	1	1																					
TCGA-25-1623-01	1	1																					
TCGA-13-0919-01	1	1																					
TCGA-23-1023-01	1	1																					
TCGA-13-0884-01	1	1																					
TCGA-23-1029-01	1	1																					
TCGA-23-1021-01	1	1																					
TCGA-24-1104-01	1	1																					
TCGA-13-2061-01	1	1																					
TCGA-30-1891-01	1	1																					
TCGA-24-2030-01	1	1																					
TCGA-24-1427-01	1	1																					
TCGA-25-2392-01	1	1																					
TCGA-13-0726-01	1	1																					
TCGA-20-1686-01	1	1																					
TCGA-25-2401-01	1	1																					
TCGA-24-1428-01	1	1																					
TCGA-61-1915-01	1	1																					
TCGA-20-1687-01	1	1																					
TCGA-23-2081-01	1	1																					
TCGA-61-2097-01	1	1																					
TCGA-29-1702-01	1	1																					
TCGA-24-1105-01	1	1																					
TCGA-13-0913-01	1	1																					
TCGA-36-2537-01	1	1																					
TCGA-20-0990-01	1	1																					
TCGA-36-1578-01	1	1																					
TCGA-36-2533-01	1	1																					
TCGA-24-1416-01	1	1																					
TCGA-13-1499-01	1	1																					
TCGA-13-1494-01	1	1																					
TCGA-04-1361-01	1	1																					
TCGA-59-2351-01	1	1																					
TCGA-24-1604-01	1	1																					
TCGA-23-2641-01	1	1																					
TCGA-36-1569-01	1	1																					
TCGA-24-1563-01	1	1																					
TCGA-13-0804-01	1		1	1		1			1														
TCGA-29-1691-01	1		1	1					1			1		1						1			
TCGA-30-1862-01	1		1	1														1					
TCGA-29-1698-01	1		1	1																			
TCGA-04-1644-01	1		1	1																			
TCGA-24-2267-01	1		1	1																			
TCGA-13-1509-01	1		1		1				1								1						
TCGA-24-1469-01	1		1		1				1														
TCGA-13-1489-01	1		1			1														1			
TCGA-29-1762-01	1		1				1																
TCGA-04-1350-01	1		1				1																
TCGA-24-1556-01	1		1											1		1				1			
TCGA-61-1737-01	1		1														1						
TCGA-24-1849-01	1		1																	1			
TCGA-13-1404-01	1		1																	1			
TCGA-13-0923-01	1		1																				
TCGA-23-1114-01	1		1																				
TCGA-24-2261-01	1		1																				
TCGA-24-1564-01	1		1																				
TCGA-61-1995-01	1		1																				
TCGA-13-2057-01	1		1																				
TCGA-29-1703-01	1		1																				
TCGA-09-1674-01	1		1																				
TCGA-61-1903-01	1		1																				
TCGA-04-1348-01	1			1	1					1													
TCGA-13-2060-01	1			1	1											1							
TCGA-04-1516-01	1			1	1																		1
TCGA-13-0807-01	1			1	1																		
TCGA-09-0366-01	1			1	1																		
TCGA-13-0730-01	1			1		1																	
TCGA-24-2019-01	1			1			1																
TCGA-04-1517-01	1			1			1																
TCGA-29-1766-01	1			1					1														
TCGA-61-1741-01	1			1						1													
TCGA-24-1434-01	1			1						1													
TCGA-57-1993-01	1			1						1													
TCGA-24-1548-01	1			1						1													
TCGA-24-0982-01	1			1							1												
TCGA-29-1699-01	1			1							1												
TCGA-04-1525-01	1			1										1									
TCGA-61-1733-01	1			1										1									
TCGA-24-0968-01	1			1													1	1					
TCGA-09-1659-01	1			1														1			1		1
TCGA-13-0751-01	1			1														1			1		
TCGA-09-2053-01	1			1														1					
TCGA-23-2072-01	1			1														1					
TCGA-24-0966-01	1			1																1			
TCGA-29-1763-01	1			1																1			
TCGA-24-1544-01	1			1																	1		
TCGA-24-1424-01	1			1																	1		
TCGA-13-1410-01	1			1																			1
TCGA-13-1491-01	1			1																			
TCGA-23-1024-01	1			1																			
TCGA-24-1843-01	1			1																			
TCGA-04-1649-01	1			1																			
TCGA-61-2111-01	1			1																			
TCGA-24-1552-01	1			1																			
TCGA-04-1332-01	1			1																			
TCGA-24-1558-01	1			1																			
TCGA-25-1631-01	1			1																			
TCGA-24-1426-01	1			1																			
TCGA-61-2003-01	1			1																			
TCGA-36-2551-01	1			1																			
TCGA-13-1484-01	1			1																			
TCGA-04-1346-01	1			1																			
TCGA-24-1614-01	1			1																			
TCGA-25-2396-01	1			1																			
