Gene	TP53	SKP2	RB1	TRIP13	PTEN	EGFR	FOXM1	BCL2L1	CCNE1	PLK3	FADD	BID	TK1	CREB3	CDKN2A	GRB2	PIK3CA	PIK3R1	TFDP1	UFD1L	MDM2	REL	SETDB1	AKT1	APC	CDK6	PRKAA1	S100A8	UBE2I	FOXA1	EXOC3	SMN1	ANG	MAX	GHR	MYC	CCNB1	YY1	WNK1	SOX2	RICTOR	NEDD8	CDKN1A	CHGB	MTOR	HSP90AA1	RAP1B	TTC5	DYRK2	PPP1CA	CASP10	CDC42	CTNNB1	ARNT	CCNK	PRKAB2	CTNNA1	HIF1A	CTTN	BAK1	TNFRSF10B	CEP72	ALX4	RIPK1	TP73	CRKL	MAP4K1	USP7	TAF9	FDXR	MCM10	LAMA4	SELENBP1	LZTR1	BARD1	UBE3A	RAD1	SP1	HOMEZ	CHD3	SUMO1	PDGFRB	EXOC7	TAP1	JUN	HDAC2	ATM	PRMT1	COMT	CCNA2	KAT2B	ARIH2	XRCC6	SH2D1A	COPS5	SFN	CDC5L	ATF2	TARS	TARSL2	TSC2
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
GeneName	TP53	SKP2	RB1	TRIP13	PTEN	EGFR	FOXM1	BCL2L1	CCNE1	PLK3	FADD	BID	TK1	CREB3	CDKN2A	GRB2	PIK3CA	PIK3R1	TFDP1	UFD1L	MDM2	REL	SETDB1	AKT1	APC	CDK6	PRKAA1	S100A8	UBE2I	FOXA1	EXOC3	SMN1	ANG	MAX	GHR	MYC	CCNB1	YY1	WNK1	SOX2	RICTOR	NEDD8	CDKN1A	CHGB	MTOR	HSP90AA1	RAP1B	TTC5	DYRK2	PPP1CA	CASP10	CDC42	CTNNB1	ARNT	CCNK	PRKAB2	CTNNA1	HIF1A	CTTN	BAK1	TNFRSF10B	CEP72	ALX4	RIPK1	TP73	CRKL	MAP4K1	USP7	TAF9	FDXR	MCM10	LAMA4	SELENBP1	LZTR1	BARD1	UBE3A	RAD1	SP1	HOMEZ	CHD3	SUMO1	PDGFRB	EXOC7	TAP1	JUN	HDAC2	ATM	PRMT1	COMT	CCNA2	KAT2B	ARIH2	XRCC6	SH2D1A	COPS5	SFN	CDC5L	ATF2	TARS	TARSL2	TSC2
TCGA-63-A5MI-01		1													1												1								1						1																																				1																						1		
TCGA-63-A5MP-01		1																									1								1					1	1																																				1																						1		
TCGA-56-7222-01		1																									1														1																																				1																						1		
TCGA-22-5483-01		1																																																																											1																						1		
TCGA-43-7658-01			1	1																			1			1					1									1														1		1						1											1																												
TCGA-21-1081-01			1		1														1				1																	1		1	1																																																										
TCGA-60-2706-01			1		1																			1														1		1						1									1																																														
TCGA-85-A4CN-01			1		1																																			1																																																													
TCGA-43-2578-01			1		1																																																																					1																	1										
TCGA-77-8130-01			1		1																																																																																																
TCGA-58-A46M-01			1			1						1			1					1																				1																										1								1															1												
TCGA-52-7809-01			1					1							1																																																																																						
TCGA-22-5481-01			1						1											1																												1																		1	1							1															1												
TCGA-77-7465-01			1								1																																																1																																										
TCGA-94-7557-01			1												1																																																													1																									
TCGA-85-8479-01			1																		1																			1							1		1																																																				
TCGA-43-7657-01			1																																					1																											1																																		
TCGA-56-8307-01			1																																					1																																																													
TCGA-21-1082-01			1																																					1																																																													
TCGA-85-7844-01			1																																																																																																		
TCGA-39-5011-01				1	1			1										1								1					1	1					1																									1							1																																
TCGA-39-5031-01				1	1																	1									1									1																						1																																							
TCGA-85-A4JB-01				1	1																			1							1							1								1									1							1			1																																				
TCGA-21-A5DI-01				1		1	1																								1								1																							1																																							
TCGA-O2-A52N-01				1		1			1												1										1									1		1					1		1													1																	1																						
TCGA-85-8287-01				1		1					1		1									1				1					1																												1			1														1																									
TCGA-70-6722-01				1		1									1		1													1	1																											1				1														1	1																						1		
TCGA-77-7138-01				1		1																									1																															1																																							
TCGA-21-1070-01				1			1		1														1								1								1	1																						1													1	1																						1			
TCGA-37-3792-01				1			1																								1								1																							1																																							
TCGA-O2-A52W-01				1			1																								1								1																							1																																							
TCGA-XC-AA0X-01				1					1		1				1															1	1									1																			1			1					1																																		
TCGA-43-7656-01				1					1						1																1																															1																																							
TCGA-52-7812-01				1							1		1		1	1							1					1			1																							1		1			1			1								1			1										1																		
TCGA-85-8352-01				1							1			1					1												1																												1			1														1																									
TCGA-96-A4JK-01				1							1				1									1							1							1		1						1									1				1			1														1																									
TCGA-66-2790-01				1							1																				1									1																			1			1																																							
TCGA-90-A4EE-01				1							1																				1																												1			1																																							
TCGA-43-2581-01				1									1			1							1					1			1																							1		1						1								1			1										1																		
TCGA-85-7698-01				1										1																	1									1																						1																																							
TCGA-LA-A446-01				1											1							1					1				1				1					1	1																					1																																							
TCGA-94-8491-01				1											1																1									1																						1																										1													
TCGA-77-6842-01				1											1																1																															1																																							
TCGA-22-4594-01				1															1												1																															1																																							
TCGA-34-5241-01				1																	1										1									1							1		1													1					1																																		
TCGA-77-8154-01				1																				1							1							1		1						1									1							1																																							
TCGA-21-1080-01				1																											1									1																						1																																							
TCGA-43-A56U-01				1																											1									1																						1																																							
TCGA-56-8628-01				1																											1									1																						1																																							
TCGA-33-A4WN-01				1																											1									1																						1																																							
TCGA-77-8136-01				1																											1									1																						1																																							
