Gene	PIK3CA	TP53	PIK3R1	CTNNB1	PTEN	MYC	ERBB2	VCAN	APC	MAX	NRXN1	BCL2L1	MACF1	MYO16	CRK	CDH1	PDGFRB	ABL1	SIPA1L1	MCL1	LEF1	CTNND1	ERBB3	GRB2	PLCG1	VAV2	GABRA3	NCK1	PDZD2	DDX5	E2F1	BCL9	CCND1	SRC	SALL4	FYN	MED12	CCNE1	AR	AXIN2	RHOA	TNIK	ITGA2B	AGAP2	TRRAP	EGFR	SOS1	RB1	TRIM28	MTOR	IGF2BP1	CHD3	STEAP3	BRCA1	EP300	ESR1	GCN1L1	TP63	CHD8	TCF7L2	CACNA1G	AXIN1	PTPRB	BMP1	PPP2R1A	SUPT6H	RAC1	PTPRJ	CBL	PTPRG	BTRC	TLE1	TEK	TNS3	CREB1	ATXN1	CDC42	SMARCA4	TAF1	KRAS	CSDE1	CREBBP	ARID3A	TP73	FAM123B	AKT1	IRS4	CHD4	FGFR3	TIAM1	ATM	FLNA	TTN	TJP2	FBXW7	CELSR3	VIM	ABL2	HUWE1	PTPN12	IGSF21	SMAD9	PPP1R13L	HTT	CUL1	AP4M1	USP47	DST	NF1	RANBP2	DYRK2	CDX1	CTNNA1	MAPK14	SIN3A	MET	DVL3	FLNC	RELN	GSK3B	ATF7IP	NEB	BRD1	PXN	TULP4	CACNA1A	ALK	PAK1	SPTBN2	DOCK3	FOXA2	ZNF512B	ESR2	AKAP6	DOCK7	SMAD2	MEGF10	AIFM2	GIGYF2	SKIL	RASA1	KRT1	KIAA1549	MBD5	LRP6	PLEKHA7	PMS2	DOCK1	RIF1	DISC1	LZTR1	INSR	SMG7	MYO6	SYNE1	USP7	EPX	MLL4	POLR1B	ITGB2	ARHGEF11	TSC2	MYLK	CAD	CBX3	HIPK2	SPEN	PRKDC	SPTBN1	PIK3CB	CASP1	TPR	SHB	TJP1	PTPRK	SMAD4	DKK1	CNTNAP2	PVRL1	KIAA1543	LRP1	MAPK8	NLRP1	SF3B1	SMAD3	PRPF40A	MGA	UBE2I	SIK1	UBQLN4	CSMD2	KAT5	PCDHA4	EMX1	YLPM1	ATR	FGFR1	FLNB	KLK3	LRP5
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0	101.0	102.0	103.0	104.0	105.0	106.0	107.0	108.0	109.0	110.0	111.0	112.0	113.0	114.0	115.0	116.0	117.0	118.0	119.0	120.0	121.0	122.0	123.0	124.0	125.0	126.0	127.0	128.0	129.0	130.0	131.0	132.0	133.0	134.0	135.0	136.0	137.0	138.0	139.0	140.0	141.0	142.0	143.0	144.0	145.0	146.0	147.0	148.0	149.0	150.0	151.0	152.0	153.0	154.0	155.0	156.0	157.0	158.0	159.0	160.0	161.0	162.0	163.0	164.0	165.0	166.0	167.0	168.0	169.0	170.0	171.0	172.0	173.0	174.0	175.0	176.0	177.0	178.0	179.0	180.0	181.0	182.0	183.0	184.0	185.0	186.0	187.0	188.0	189.0	190.0	191.0	192.0	193.0	194.0	195.0	196.0	197.0	198.0	199.0
GeneName	PIK3CA	TP53	PIK3R1	CTNNB1	PTEN	MYC	ERBB2	VCAN	APC	MAX	NRXN1	BCL2L1	MACF1	MYO16	CRK	CDH1	PDGFRB	ABL1	SIPA1L1	MCL1	LEF1	CTNND1	ERBB3	GRB2	PLCG1	VAV2	GABRA3	NCK1	PDZD2	DDX5	E2F1	BCL9	CCND1	SRC	SALL4	FYN	MED12	CCNE1	AR	AXIN2	RHOA	TNIK	ITGA2B	AGAP2	TRRAP	EGFR	SOS1	RB1	TRIM28	MTOR	IGF2BP1	CHD3	STEAP3	BRCA1	EP300	ESR1	GCN1L1	TP63	CHD8	TCF7L2	CACNA1G	AXIN1	PTPRB	BMP1	PPP2R1A	SUPT6H	RAC1	PTPRJ	CBL	PTPRG	BTRC	TLE1	TEK	TNS3	CREB1	ATXN1	CDC42	SMARCA4	TAF1	KRAS	CSDE1	CREBBP	ARID3A	TP73	FAM123B	AKT1	IRS4	CHD4	FGFR3	TIAM1	ATM	FLNA	TTN	TJP2	FBXW7	CELSR3	VIM	ABL2	HUWE1	PTPN12	IGSF21	SMAD9	PPP1R13L	HTT	CUL1	AP4M1	USP47	DST	NF1	RANBP2	DYRK2	CDX1	CTNNA1	MAPK14	SIN3A	MET	DVL3	FLNC	RELN	GSK3B	ATF7IP	NEB	BRD1	PXN	TULP4	CACNA1A	ALK	PAK1	SPTBN2	DOCK3	FOXA2	ZNF512B	ESR2	AKAP6	DOCK7	SMAD2	MEGF10	AIFM2	GIGYF2	SKIL	RASA1	KRT1	KIAA1549	MBD5	LRP6	PLEKHA7	PMS2	DOCK1	RIF1	DISC1	LZTR1	INSR	SMG7	MYO6	SYNE1	USP7	EPX	MLL4	POLR1B	ITGB2	ARHGEF11	TSC2	MYLK	CAD	CBX3	HIPK2	SPEN	PRKDC	SPTBN1	PIK3CB	CASP1	TPR	SHB	TJP1	PTPRK	SMAD4	DKK1	CNTNAP2	PVRL1	KIAA1543	LRP1	MAPK8	NLRP1	SF3B1	SMAD3	PRPF40A	MGA	UBE2I	SIK1	UBQLN4	CSMD2	KAT5	PCDHA4	EMX1	YLPM1	ATR	FGFR1	FLNB	KLK3	LRP5
MutualExclScore	19.613631234830574	11.046751348067133	10.655513827417849	14.080084681400466	28.031255451858822	16.93535353535354	9.689493050808839	0.6254329004329005	0.9832900432900431	0.7492424242424242	1.0109848484848485	7.674675324675324	1.817996374335047	0.7321751777634131	0.2	0.6966544566544566	0.41275062656641603	0.6636904761904762	0.42769442459844936	13.882936507936506	0.125	0.972161172161172	0.8333855472013365	0.0	0.28799019607843135	0.0	0.5686868686868687	0.043478260869565216	0.7157203907203906	0.3109848484848485	0.3646520146520147	0.3647186147186147	1.5170306001188354	0.047619047619047616	0.5427830940988836	0.0	2.0155695611577964	14.915945165945164	0.5074965954761351	0.374570282658518	0.1	0.38568376068376065	0.6942982456140351	0.5176470588235295	0.8096282802165156	0.2625	0.8083333333333332	0.779004329004329	2.759920634920635	1.458634243517808	0.3865601503759398	1.0575590044630292	0.4261294261294261	0.9983333333333333	1.5997804227599624	1.072161172161172	0.3392857142857143	0.19476190476190475	0.42605401844532276	0.05555555555555555	0.6379851143009038	0.259017094017094	0.8246753246753248	0.5727564102564102	3.5257864357864364	0.2926587301587301	0.08333333333333333	0.308187134502924	0.34616119174942706	0.30361305361305363	0.45995670995670995	0.6238095238095238	0.33306595365418895	0.17976190476190476	0.0	0.19047619047619047	0.0	0.5390928515928516	1.3738672876830773	7.681753231288836	0.7465066652137591	0.9946751777634131	0.3935897435897436	0.28608058608058606	0.2658730158730158	0.43977591036414565	0.40595238095238095	3.9087662337662348	7.2361471861471856	0.8679047116118053	0.9717839023721376	1.071579939668175	4.911659887240383	0.5121304134462029	3.3701589331384736	0.5813492063492063	0.45694444444444443	0.4572209509280447	0.8372744360902256	0.12040133779264214	0.5680555555555555	0.0	0.33234126984126977	0.48990683229813664	0.28525641025641024	0.3657628920786815	0.319146539734775	0.9392747448629803	5.8130417529330565	0.6075757575757575	0.6190476190476191	0.0	0.08333333333333333	0.25263157894736843	0.9242946381104273	0.3242424242424242	0.5826465201465201	1.135958485958486	0.5266131815044859	0.09090909090909091	0.45233766233766237	1.334533638240732	13.986309523809522	0.05263157894736842	0.861111111111111	0.35235597735597735	0.6603230103230102	0.05263157894736842	0.9454365079365078	0.9328263841421736	1.4736730660643704	0.125	0.07142857142857142	1.0050897631779985	0.4523809523809524	0.31490683229813665	0.4920634920634921	0.23449883449883452	1.0120421245421245	0.0	0.7927206851119895	0.4117948717948718	0.24082573772976248	0.8717948717948718	0.8468614718614718	0.0	0.20783216783216785	0.2417027417027417	0.2970760233918128	0.058823529411764705	0.7374060150375941	0.40093438725017666	1.1372222222222224	0.261236802413273	1.185548193636429	0.25263157894736843	0.5476190476190476	1.534621022252601	0.34014221073044604	0.4928571428571429	0.4592564298446652	0.5304093567251462	0.2799847211611917	0.5176419770460018	0.15555555555555556	0.45995670995670995	0.6517328861369109	0.4096968666008914	0.6209627790510144	0.6833333333333333	0.0	0.4623015873015873	0.7254901960784313	0.5769230769230769	1.037155388471178	0.0	0.0	0.7949707155589507	0.4871553884711779	0.5385281385281385	0.9994668044896877	0.3351449275362319	0.4083333333333333	0.4380952380952381	0.3649068322981366	0.05555555555555555	0.9123376623376622	0.0	0.41428571428571426	0.0	1.3411703492585847	0.07142857142857142	0.760014005602241	0.0	0.1669172932330827	0.5856349206349205	0.09090909090909091	0.4710839598997494	0.0	0.3214285714285714
MutQty	111	62	66	64	147	50	41	5	9	5	8	26	16	7	1	7	5	4	5	43	1	8	7	0	4	0	4	1	7	4	4	4	9	1	6	0	12	45	6	5	1	4	4	4	8	2	6	5	13	10	4	10	4	4	11	7	4	4	4	1	7	5	7	5	19	4	1	4	4	4	4	5	4	3	0	2	0	6	15	50	8	7	4	3	4	3	4	23	21	8	10	11	49	6	22	7	4	4	9	2	4	0	4	7	3	4	5	10	24	4	4	0	1	2	9	3	6	10	5	1	5	15	29	1	7	4	7	1	9	8	11	1	1	8	5	3	5	3	10	0	6	3	4	6	7	0	3	4	4	1	7	6	6	4	12	2	4	14	4	4	4	4	4	7	2	4	6	6	7	5	0	6	3	4	7	0	0	8	4	6	13	4	4	4	3	1	9	0	3	0	13	1	8	0	3	7	1	6	0	4
TCGA-AJ-A23M-01	1	1	1			1	1				1	1																										1																																																			1																																					1																																																													1													
TCGA-AP-A0LH-01	1	1	1			1	1													1																		1																																																																		1																																																																																												1				
TCGA-BG-A0M8-01	1	1	1			1																																																																										1																																																						1																	1																																																	
TCGA-B5-A0K3-01	1	1	1				1					1																																					1																															1													1																																																																																																											
TCGA-D1-A17K-01	1	1			1		1																																																																									1																																																			1																												1																																									
