Gene	PIK3CA	PIK3R1	TP53	PTEN	MYC	BCL2L1	CTNNB1	ERBB2	CDH1	DNM2	PDGFRB	ERBB3	VAV2	APC	CTNND1	MAX	UBQLN4	ESR1	TRRAP	SYK	CRK	CHGB	VCAN	SETDB1	RHOA	COPS6	TFDP1	ARNT	MTOR	CTBP1	IRS2	RAC1	CCND1	AR	PAK1	SRC	EPB41L1	TLE1	AKT1	EP300	DAB1	EXOC3	CACNA1G	TNFRSF10B	AGAP2	EGFR	JAK1
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0
GeneName	PIK3CA	PIK3R1	TP53	PTEN	MYC	BCL2L1	CTNNB1	ERBB2	CDH1	DNM2	PDGFRB	ERBB3	VAV2	APC	CTNND1	MAX	UBQLN4	ESR1	TRRAP	SYK	CRK	CHGB	VCAN	SETDB1	RHOA	COPS6	TFDP1	ARNT	MTOR	CTBP1	IRS2	RAC1	CCND1	AR	PAK1	SRC	EPB41L1	TLE1	AKT1	EP300	DAB1	EXOC3	CACNA1G	TNFRSF10B	AGAP2	EGFR	JAK1
TCGA-BK-A0C9-01	1			1																									1					1						1							
TCGA-BG-A0MC-01	1			1																									1									1									
TCGA-BG-A0MQ-01	1			1																													1														
TCGA-D1-A16D-01	1			1																													1														
TCGA-D1-A0ZV-01	1			1																																		1									
TCGA-AP-A0LQ-01	1			1																																				1							
TCGA-BG-A0RY-01	1			1																																				1							
TCGA-AP-A0LD-01	1			1																																							1				
TCGA-D1-A17A-01	1			1																																							1				
TCGA-D1-A16O-01	1			1																																											
TCGA-BK-A0CA-01	1			1																																											
TCGA-BS-A0V6-01	1			1																																											
TCGA-AP-A0LP-01	1			1																																											
TCGA-B5-A11S-01	1			1																																											
TCGA-A5-A0RA-01	1			1																																											
TCGA-BG-A18A-01	1			1																																											
TCGA-BG-A0M0-01	1			1																																											
TCGA-BG-A0MT-01	1			1																																											
TCGA-D1-A16E-01	1			1																																											
TCGA-D1-A16F-01	1			1																																											
TCGA-B5-A11M-01	1			1																																											
TCGA-BS-A0UM-01	1			1																																											
TCGA-B5-A0JS-01	1			1																																											
TCGA-BG-A2AE-01	1				1																																										
TCGA-A5-A0GI-01	1						1									1																															
TCGA-A5-A0GN-01	1						1											1																													
TCGA-BG-A0VX-01	1						1																						1														1				
TCGA-AX-A062-01	1						1																										1														
TCGA-BS-A0TG-01	1						1																																								
TCGA-BS-A0UT-01	1						1																																								
TCGA-B5-A0K0-01	1						1																																								
TCGA-B5-A11G-01	1							1	1	1				1												1														1							
TCGA-D1-A0ZP-01	1									1																																					
TCGA-BS-A0UL-01	1									1																																					
TCGA-D1-A168-01	1																																														
TCGA-A5-A0GW-01		1	1	1			1												1									1									1										
TCGA-BK-A139-01		1	1	1				1															1																								
TCGA-B5-A11J-01		1	1	1																																											1
TCGA-D1-A169-01		1	1	1																																											
TCGA-A5-A0R7-01		1	1	1																																											
TCGA-B5-A0JN-01		1	1		1			1									1							1		1	1	1			1																
TCGA-BS-A0U9-01		1	1																																												
TCGA-A5-A0GE-01		1		1	1																																										
TCGA-AP-A05N-01		1		1			1	1																														1									
TCGA-A5-A0VO-01		1		1			1		1																																						
TCGA-B5-A11V-01		1		1			1					1																																			
TCGA-D1-A165-01		1		1			1								1																																
TCGA-BG-A0MU-01		1		1			1											1																						1							
TCGA-AX-A0IS-01		1		1			1											1																													
TCGA-BG-A0M3-01		1		1			1																1																								
TCGA-BG-A0MG-01		1		1			1																																	1							
TCGA-A5-A0R9-01		1		1			1																																								
TCGA-BG-A0MI-01		1		1			1																																								
TCGA-A5-A0GU-01		1		1			1																																								
TCGA-B5-A11Z-01		1		1			1																																								
TCGA-AX-A05U-01		1		1			1																																								
TCGA-A5-A0GV-01		1		1			1																																								
TCGA-D1-A17R-01		1		1			1																																								
TCGA-D1-A16Q-01		1		1			1																																								
TCGA-D1-A0ZN-01		1		1			1																																								
TCGA-D1-A17C-01		1		1			1																																								
TCGA-AX-A05Y-01		1		1					1										1																												
TCGA-AX-A06L-01		1		1					1																																	1					
TCGA-AX-A05S-01		1		1											1																																
TCGA-BS-A0UA-01		1		1											1																																
TCGA-AP-A0LO-01		1		1													1							1				1																			
TCGA-BS-A0TA-01		1		1														1	1																					1							
TCGA-B5-A0JR-01		1		1																			1																				1				
TCGA-D1-A176-01		1		1																				1				1																			
TCGA-D1-A17D-01		1		1																										1			1														
TCGA-D1-A160-01		1		1																														1					1	1					1		
TCGA-BG-A0LX-01		1		1																																				1				1			
TCGA-A5-A0G9-01		1		1																																					1						
TCGA-B5-A0JZ-01		1		1																																								1		1	
TCGA-D1-A15W-01		1		1																																									1	1	
TCGA-D1-A17U-01		1		1																																											1
TCGA-D1-A101-01		1		1																																											
TCGA-BG-A0MS-01		1		1																																											
TCGA-AX-A06H-01		1		1																																											
TCGA-D1-A17B-01		1		1																																											
TCGA-D1-A0ZS-01		1		1																																											
TCGA-B5-A11W-01		1		1																																											
TCGA-B5-A0K1-01		1		1																																											
TCGA-BS-A0TD-01		1		1																																											
TCGA-B5-A0K9-01		1		1																																											
TCGA-BS-A0T9-01		1					1									1																															
TCGA-D1-A0ZQ-01		1					1																																								
TCGA-BG-A0VV-01		1															1							1				1																			
TCGA-BS-A0U5-01		1																															1														
TCGA-BS-A0V8-01			1	1		1	1																																								
TCGA-AP-A05J-01			1	1		1				1																				1																	
TCGA-BG-A0YV-01			1	1						1																																					
TCGA-BS-A0TI-01			1	1							1																										1										
TCGA-A5-A0GJ-01			1	1																																											
TCGA-D1-A16I-01			1		1	1		1		1							1																														
TCGA-AP-A0LI-01			1		1	1																		1				1		1												1					
TCGA-DI-A1NN-01			1		1					1					1																																
TCGA-AX-A2H5-01			1		1					1							1					1		1			1	1		1	1											1					
TCGA-FI-A2EX-01			1		1												1			1				1				1														1					
TCGA-EY-A1GS-01			1		1														1													1										1					
TCGA-D1-A0ZZ-01			1		1																																										
TCGA-AP-A05H-01			1			1		1		1		1					1							1				1																			
TCGA-FI-A2F8-01			1			1		1		1							1							1				1														1					
TCGA-AP-A05A-01			1			1		1									1						1	1				1																			
TCGA-EY-A212-01			1					1		1							1											1																			
TCGA-AX-A1C8-01			1						1			1												1				1																			
TCGA-FI-A2EW-01			1									1												1				1																			
TCGA-AP-A0LF-01			1														1							1				1																			
TCGA-AP-A0L8-01			1																								1				1																
TCGA-A5-A0G5-01			1																																							1					
TCGA-EO-A1Y5-01			1																																									1			
TCGA-AX-A0IW-01			1																																									1			
TCGA-BK-A0CC-01			1																																												
TCGA-AX-A0IU-01			1																																												
TCGA-A5-A0G3-01			1																																												
TCGA-A5-A7WK-01				1	1			1					1				1										1																				
TCGA-AJ-A3EM-01				1	1												1							1				1																			
TCGA-B5-A0KB-01				1	1												1																														
TCGA-EY-A3L3-01				1	1																			1				1																			
TCGA-BS-A0TE-01				1	1																																										
TCGA-D1-A15Z-01				1			1																																								
TCGA-D1-A17N-01				1			1																																								
TCGA-BS-A0U8-01				1				1	1					1			1																														
TCGA-D1-A3DG-01				1						1							1																														
TCGA-AP-A5FX-01				1						1																																					
TCGA-AJ-A3IA-01				1									1							1																											
TCGA-BG-A0VW-01				1										1					1																												
TCGA-A5-A0GH-01				1										1																										1							
TCGA-A5-A0R8-01				1											1																			1													
TCGA-BK-A13C-01				1													1							1				1																			
TCGA-AX-A3G1-01				1													1							1				1																			
TCGA-D1-A1O0-01				1													1													1																	
TCGA-A5-A0GQ-01				1														1																													
TCGA-BS-A0U7-01				1															1																												
TCGA-BG-A0M2-01				1																1																											
TCGA-D1-A0ZR-01				1																																				1							
TCGA-EO-A3B1-01				1																																						1					
TCGA-B5-A0K4-01				1																																											
TCGA-AJ-A2QK-01				1																																											
TCGA-BG-A3PP-01				1																																											
TCGA-B5-A11Q-01				1																																											
TCGA-EY-A3QX-01					1	1		1				1																														1					
TCGA-D1-A179-01					1	1			1								1																									1					
TCGA-EY-A1GJ-01					1	1				1		1																														1					
TCGA-AX-A3G7-01					1	1				1										1																											
TCGA-AJ-A3I9-01					1	1						1																																			
TCGA-JU-AAVI-01					1	1						1																																			
TCGA-A5-A1OG-01					1	1																																									
TCGA-FI-A2EY-01					1			1									1							1				1		1														1			
TCGA-DI-A2QT-01					1			1																																							
TCGA-BK-A4ZD-01					1				1																																						
TCGA-H5-A2HR-01					1					1		1					1			1				1				1														1					
TCGA-FI-A2EU-01					1					1														1				1																			
TCGA-EY-A4KR-01					1					1														1				1																			
TCGA-EY-A1GC-01					1					1														1				1																			
TCGA-AJ-A3NF-01					1					1																																					
TCGA-D1-A1NW-01					1					1																																					
TCGA-AX-A2H4-01					1							1					1													1																	
TCGA-AX-A3FX-01					1							1					1																														
TCGA-BG-A0YU-01					1							1																											1					1			
TCGA-B5-A3FB-01					1												1																											1			
TCGA-A5-A2K4-01					1												1																														
TCGA-AJ-A3BF-01					1																			1				1																			
TCGA-D1-A2G7-01					1																			1				1																			
TCGA-PG-A914-01					1																						1																				
TCGA-B5-A1MR-01					1																																							1			
TCGA-EY-A2OQ-01					1																																							1			
TCGA-AX-A3GI-01					1																																										
TCGA-KP-A3W1-01					1																																										
TCGA-EO-A3AS-01					1																																										
TCGA-A5-A2K2-01					1																																										
TCGA-AX-A2HK-01					1																																										
TCGA-BG-A221-01					1																																										
TCGA-AJ-A3BD-01					1																																										
TCGA-AX-A1CF-01					1																																										
TCGA-B5-A3S1-01						1		1		1							1													1														1			
TCGA-E6-A8L9-01						1		1		1							1																														
TCGA-AJ-A3TW-01						1		1																																				1			
TCGA-AX-A1C7-01						1				1																																	1				
TCGA-AX-A3FW-01						1						1																																			
TCGA-AX-A3G6-01						1											1							1				1																			
TCGA-PG-A7D5-01						1																					1																				
TCGA-AX-A3G4-01						1																																				1		1			
TCGA-5B-A90C-01						1																																						1			
TCGA-EY-A1GM-01						1																																									
TCGA-EY-A210-01						1																																									
TCGA-KP-A3W3-01						1																																									
TCGA-B5-A11U-01							1																		1																						
TCGA-AP-A0LL-01							1																						1																		
TCGA-BG-A0MO-01							1																						1																		
TCGA-BG-A0LW-01							1																																								
TCGA-BG-A0VT-01							1																																								
TCGA-B5-A121-01							1																																								
TCGA-FI-A2F9-01								1		1		1					1																														
TCGA-2E-A9G8-01								1		1																																					
TCGA-D1-A3JP-01								1		1																																					
TCGA-AJ-A6NU-01								1									1							1				1																			
TCGA-AJ-A3NH-01								1									1																									1					
TCGA-BK-A26L-01								1									1																														
TCGA-KP-A3W4-01								1												1										1														1			
TCGA-EY-A54A-01								1																1				1																			
TCGA-B5-A1MY-01								1																																		1					
TCGA-AJ-A3QS-01								1																																				1			
TCGA-KP-A3VZ-01									1	1							1																									1		1			
TCGA-QS-A8F1-01									1				1																															1			
TCGA-EY-A1GK-01									1																																						
TCGA-B5-A0K8-01										1		1															1				1																
TCGA-AJ-A2QM-01										1							1							1				1		1																	
TCGA-B5-A1MS-01										1							1							1				1																1			
TCGA-EO-A3KU-01										1														1				1																			
TCGA-A5-A3LP-01										1														1				1																			
TCGA-AX-A2H8-01										1																		1														1					
TCGA-EO-A2CG-01										1																																1		1			
TCGA-D1-A3JQ-01										1																																		1			
TCGA-B5-A3FD-01										1																																					
TCGA-FI-A2CY-01										1																																					
TCGA-AX-A2IO-01										1																																					
TCGA-DI-A0WH-01											1				1				1																	1			1								
TCGA-AX-A2H2-01												1															1				1																
TCGA-AX-A1CC-01												1																																			
TCGA-EO-A1Y7-01												1																																			
TCGA-B5-A11H-01													1							1										1																	
TCGA-AX-A1CA-01																	1							1			1	1			1													1			
TCGA-AJ-A23N-01																	1							1				1																1			
TCGA-AP-A05O-01																	1							1				1																			
TCGA-B5-A11P-01																	1							1				1																			
TCGA-EY-A2OO-01																	1							1				1																			
TCGA-EY-A1GV-01																	1							1				1																			
TCGA-FI-A3PX-01																	1							1				1																			
TCGA-AX-A1C9-01																	1																														
TCGA-EO-A3KW-01																								1				1																			
TCGA-A5-A1OH-01																											1				1																
TCGA-AP-A1DV-01																											1				1																
TCGA-AP-A05P-01																											1																				
TCGA-AX-A1CN-01																														1																	
TCGA-AX-A2HC-01																															1																
TCGA-DI-A2QU-01																																										1					
TCGA-E6-A1M0-01																																										1					
TCGA-AX-A3FZ-01																																										1					
TCGA-DF-A2KR-01																																												1			
TCGA-B5-A5OD-01																																												1			
TCGA-KP-A3W0-01																																												1			
TCGA-EO-A22X-01																																												1			
TCGA-EY-A72D-01																																												1			
TCGA-D1-A1NY-01																																															
TCGA-E6-A2P9-01																																															
TCGA-DF-A2KS-01																																															
TCGA-B5-A1N2-01																																															
TCGA-AJ-A23O-01																																															
TCGA-AJ-A3BH-01																																															
TCGA-AX-A2HG-01																																															
TCGA-AX-A2HD-01																																															
TCGA-AX-A3G8-01																																															
TCGA-EY-A1GW-01																																															
TCGA-K6-A3WQ-01																																															
TCGA-DI-A1NO-01																																															
TCGA-PG-A5BC-01																																															
TCGA-AX-A1C5-01																																															
TCGA-EY-A2ON-01																																															
TCGA-AX-A1CR-01																																															
TCGA-AX-A3FV-01																																															
TCGA-B5-A11E-01																																															
TCGA-B5-A3F9-01																																															
TCGA-FI-A2CX-01																																															
TCGA-DF-A2KU-01																																															
TCGA-AX-A3G3-01																																															
TCGA-BG-A2AD-01																																															
TCGA-A5-AB3J-01																																						
