>ITGA2B,5.608344856769725
ITGA2B,PIK3R1,any
PIK3R1,PIK3CA,any
PIK3R1,ERBB3,any
>CDH1,6.419583646916525
CDH1,PIK3CA,any
CDH1,PIK3R1,any
DNM2,CDH1,any
>CDH1,6.068957547395772
CDH1,PIK3CA,any
CDH1,ERBB2,any
CDH1,PIK3R1,any
>CDH1,6.008838080176818
CDH1,PIK3CA,any
EXOC3,CDH1,any
CDH1,PIK3R1,any
>CDH1,6.233698707536863
BCL2L1,PIK3R1,any
CDH1,PIK3CA,any
PIK3R1,CDH1,any
>CDH1,6.120229970500186
CDH1,PIK3CA,any
CDH1,CTNNB1,any
CTNNB1,MYC,any
>KDR,5.640330046280874
PTK2B,KDR,any
PIK3R1,PIK3CA,any
KDR,PIK3R1,any
>KDR,5.66711724367503
PIK3CA,KDR,any
BCL2L1,PIK3CA,any
KDR,PIK3R1,any
>KDR,5.636762334813817
KDR,PIK3CA,any
KDR,ARNT,any
KDR,CTNNB1,any
>KDR,5.859639980717694
KDR,PIK3CA,any
KDR,ARNT,any
KDR,PIK3R1,any
>KDR,5.434052609651724
CTNNB1,MYC,any
KDR,CTNNB1,any
KDR,PIK3R1,any
>GRB2,5.21448582610928
GRB2,PIK3R1,any
PIK3R1,PIK3CA,any
FH,GRB2,any
>GRB2,5.027441125826181
GRB2,PIK3R1,any
RPUSD2,GRB2,any
PIK3R1,PIK3CA,any
>GRB2,5.158563284859761
SNX8,PIK3R1,any
SNX8,GRB2,any
PIK3R1,PIK3CA,any
>GRB2,5.02834637725327
TP53,PTEN,any
TP53,MYC,any
APOH,GRB2,any
APOH,TP53,any
>GRB2,5.02959893890267
GRB2,PIK3R1,any
PIK3R1,BCL2L1,any
RPUSD2,GRB2,any
BCL2L1,PIK3CA,any
>UBQLN4,5.7431785056915095
CACNA1G,UBQLN4,any
CACNA1G,CTNNB1,any
CTNNB1,MYC,any
>UBQLN4,5.480326117003678
CACNA1G,UBQLN4,any
CTNNB1,DNM2,any
CACNA1G,CTNNB1,any
>UBQLN4,5.8384820698445985
TP53,PTEN,any
SERPINE1,TP53,any
SERPINE1,UBQLN4,any
>UBQLN4,5.624142751606225
UBQLN4,ATPIF1,any
PIK3CA,PTEN,any
ATPIF1,PIK3CA,any
>UBQLN4,5.591636805672456
MYC,TP53,any
CACNA1G,UBQLN4,any
CACNA1G,CTNNB1,any
CTNNB1,MYC,any
>DNM2,6.419583646916525
CDH1,PIK3CA,any
CDH1,PIK3R1,any
DNM2,CDH1,any
>DNM2,6.180900247024499
PTEN,TP53,any
PDGFRB,DNM2,any
PDGFRB,PTEN,any
>DNM2,6.190670697680658
PDGFRB,PIK3R1,any
PDGFRB,PIK3CA,any
DNM2,PDGFRB,any
>DNM2,6.166991300123799
CTNND1,DNM2,any
CTNND1,PIK3R1,any
CTNND1,PIK3CA,any
>DNM2,6.295984862110436
PDGFRB,MYC,any
DNM2,PDGFRB,any
PDGFRB,PTEN,any
>CTNNA1,5.500392286103723
CTNNA1,EXOC3,any
CTNNA1,PIK3R1,any
CTNNA1,PIK3CA,any
>CTNNA1,6.105797517038619
CTNNA1,PIK3R1,any
CTNNA1,DNM2,any
CTNNA1,PIK3CA,any
>CTNNA1,5.510697202476539
CTNNA1,CTNNB1,any
DNM2,CTNNA1,any
CTNNA1,PIK3CA,any
>CTNNA1,5.671106452685289
FGFR1,CTNNA1,any
CTNNA1,PIK3R1,any
CTNNA1,PIK3CA,any
>CTNNA1,5.92564219597144
BCL2L1,PIK3R1,any
BCL2L1,PIK3CA,any
PIK3CA,CTNNA1,any
>PIK3R1,6.419583646916525
CDH1,PIK3CA,any
CDH1,PIK3R1,any
DNM2,CDH1,any
>PIK3R1,6.467392116590537
BCL2L1,TP53,any
BCL2L1,PIK3CA,any
PIK3CA,PIK3R1,any
>PIK3R1,6.4055742578530666
BRCA1,PIK3R1,any
BRCA1,MYC,any
PIK3R1,PIK3CA,any
>PIK3R1,6.451368541986945
PIK3R1,BCL2L1,any
BCL2L1,PIK3CA,any
ERBB2,PIK3R1,any
>PIK3R1,6.976904717017355
ERBB2,MYC,any
PIK3R1,ERBB2,any
PIK3CA,PIK3R1,any
>TRRAP,6.052450413407604
TRRAP,TP53,any
TRRAP,CTNNB1,any
TRRAP,MYC,any
>TRRAP,6.254212928350437
TP53,PTEN,any
TRRAP,TP53,any
TRRAP,MYC,any
>TRRAP,5.953707291882492
TP53,BCL2L1,any
PTEN,TP53,any
TP53,TRRAP,any
>TRRAP,5.870253892724912
CTNNB1,DNM2,any
TRRAP,CTNNB1,any
TRRAP,MYC,any
>TRRAP,5.837841547971333
TRRAP,TP53,any
CTNNB1,DNM2,any
TRRAP,CTNNB1,any
>FES,5.663424000884724
FES,PIK3CA,any
PIK3CA,BCL2L1,any
FES,PIK3R1,any
>FES,5.495753856102983
FES,PIK3CA,any
FES,PIK3R1,any
PIK3R1,ERBB2,any
>FES,5.373909806131158
FES,PIK3CA,any
PIK3CA,PIK3R1,any
PIK3R1,ERBB3,any
>FES,5.100449863941393
PTEN,TP53,any
TP53,MYC,any
PIK3R1,PTEN,any
PIK3R1,FES,any
>FES,5.095309436336624
PTEN,TP53,any
FES,PIK3CA,any
PIK3CA,PTEN,any
>CCND3,5.388367245444309
CCND3,PIK3CA,any
