GeneA	GeneB	MEScore
PIK3CA	PIK3R1	8.846274830569069
CBL	EGFR	1.8660254037844386
KDR	RHOA	0.0
PIK3R1	AKT1	4.815025962475294
VLDLR	CRKL	0.0
TLE1	MYC	4.96640225816553
CRK	RAC1	0.0
MYC	TRRAP	5.13912966881093
MAX	TP53	5.0550379257558005
IL2RB	JAK3	0.0
ITGB1	KDR	1.4142135623730951
SOS1	AKT1	2.0907702751760278
MYC	BCL2	5.27234459514254
ERBB3	DAPP1	3.6046381913102694
CRK	PIK3R1	0.0
FLT1	PTPN11	0.0
EGFR	ERBB2	4.106395752988369
EPB41L1	PIK3CA	6.0456459072022035
FYN	CTNND1	0.0
RELN	VLDLR	0.0
EPHA2	RHOA	0.0
ITGB1	SRC	0.0
PAK1	PIK3R1	0.0
IL2RB	BCL2L1	0.0
ITGB3	KDR	1.5731321849709863
JAK1	PIK3CA	6.022179687553873
IL2	IL2RB	0.0
IL2	MTOR	0.0
JAK1	CBL	2.0
TEK	PIK3R1	4.9587017897206636
JAK1	PIK3R1	4.799783167122773
CDH1	ENAH	4.1159411448740455
CTNNA1	SRC	0.0
AR	PIK3R1	4.9587017897206636
APC	RAC1	0.0
PIK3CA	RELN	5.974933657612917
EGFR	JAK2	1.5731321849709863
DNM2	CTNNA1	4.0982717727491815
JAK3	BCL2L1	0.0
IL2RG	MYC	4.60768279055838
VAV2	RAC1	0.0
ERBB2	SYK	4.543900337213577
ESR1	PIK3R1	4.928044606102419
PDGFRB	PIK3R1	5.347850497009249
DOCK1	PIK3R1	5.347850497009249
CTNNB1	EP300	5.4686269665968865
JAK2	CRKL	1.5731321849709863
CTNNB1	EGFR	4.866025403784438
PIK3CA	PXN	0.0
FYN	RELN	0.0
FYN	PIK3CA	0.0
RELA	MYC	0.0
LCK	AKT1	0.0
ERBB2	ERBB3	5.500334173154074
DOCK1	SRC	0.0
ANGPT2	PIK3CA	0.0
PIK3R1	TRPV1	0.0
SYK	RELA	0.0
ERBB2	GRB2	0.0
EGFR	ERBB3	3.4228019039866013
AKT1	PDPK1	1.5731321849709863
CTBP1	TLE1	3.0275205091235833
EGFR	SRC	0.0
CRK	IRS2	0.0
ERBB3	VAV2	3.940439994191643
ERBB2	JAK1	4.24037034920393
PIK3R1	VLDLR	0.0
KDR	FES	1.5731321849709863
FES	PIK3CA	5.303300858899107
CRK	RHOA	0.0
JAK2	PIK3R1	4.092676385936225
ABL1	PIK3R1	4.9587017897206636
LCK	STAT3	0.0
DAB1	ERBB2	0.0
MTOR	BCL2	3.3839144678161843
ESR1	MYC	5.064533042306237
PIK3CA	RHOA	0.0
PDGFRB	PTEN	6.694755846681933
NFKBIA	PIK3R1	4.8302124068042085
RHOA	PTPN11	0.0
LCK	PTPN11	0.0
JAK2	PXN	0.0
FYN	PIK3R1	0.0
ITGB1	RAC1	0.0
PTEN	COPS6	6.952104779584946
FES	JAK3	0.0
JAK1	SYK	2.414213562373095
PDGFRB	SHB	2.0907702751760278
PAK1	AKT1	0.0
PIK3CA	BCL2L1	7.841012378925574
CRK	PIK3CA	0.0
MTOR	STAT3	2.4471642338686284
CRK	ERBB2	0.0
EP300	GRB2	0.0
CDH1	CTNNA1	2.643598454290256
ITGB3	RHOA	0.0
IL2RG	BCL2L1	3.6046381913102694
NFKBIA	PIK3CA	6.0456459072022035
IL2	LCK	0.0
CTNNB1	SRC	0.0
FYN	PTPN11	0.0
CTNNA1	PIK3CA	5.826818938165629
TP53	APC	5.405124837953327
EGFR	PAK1	0.0
PIK3R1	PTEN	7.388905057061258
ERBB2	STAT3	3.7015621187164243
CTNNB1	MYC	7.741657386773941
IRS1	SOS1	1.8797107211424051
CTNNA1	PIK3R1	4.8302124068042085
AGAP2	PIK3CA	6.033925719352177
MAX	MYC	4.859691375523836
PIK3R1	BCL2L1	6.738427697000816
IRS2	JAK3	0.0
JAK2	IL2	0.0
JAK1	PTPN11	1.7071067811865475
CTNNA1	EPHA2	0.0
SRC	NFKBIA	0.0
RELN	ABL1	2.3693063937629155
CDH2	CTNNA1	1.4142135623730951
RAC1	CTNNB1	0.0
IRS1	JAK3	0.0
DOCK1	PIK3CA	5.998609403315729
IRS1	PIK3CA	6.033925719352177
IRS1	PIK3R1	4.815025962475294
JAK3	PIK3CA	0.0
CTBP1	CTNNA1	2.5098824189185422
EGFR	ITGB4	0.0
STAT3	SYK	2.2802389661575337
CBL	FLT1	0.0
CBL	ITGB3	1.8660254037844386
SHB	PIK3CA	6.033925719352177
PXN	RHOA	0.0
KDR	SHB	1.5731321849709863
DOCK1	PXN	0.0
IL2	SOS1	0.0
PIK3CA	VAV2	6.303300858899107
IL12RB1	LCK	0.0
LCK	PIK3R1	0.0
CRK	DNM2	0.0
ANGPT2	TEK	0.0
FYN	IL2	0.0
JAK2	IRS2	2.3654191763642474
CTNNB1	RHOA	0.0
EGFR	SOS1	2.0907702751760278
CTNND1	SRC	0.0
PIK3CA	CCND3	0.0
CRK	PXN	0.0
FES	PIK3R1	4.989131029402099
CACNA1G	UBQLN4	4.878315177510849
DAB1	ITGB1	0.0
ANGPT2	FES	0.0
PIK3CA	CCND1	5.963055791593708
TFDP1	CCND3	0.0
PIK3CA	MTOR	5.951151022037306
CRKL	PIK3CA	5.815072906367325
ANGPT2	PIK3R1	0.0
FYN	CDH1	0.0
BRCA1	TP53	4.787122189123969
IL2RB	PIK3R1	0.0
IL2	JAK3	0.0
CBL	RAC1	0.0
PIK3CA	PTEN	8.46125211231881
PAK1	RAC1	0.0
IRS1	PXN	0.0
LCK	CCND3	0.0
IL2RB	RHOA	0.0
CTNND1	ENAH	3.5936630341434324
EP300	MYC	5.399969781951642
PIK3CA	SOS1	6.169326262683545
IL2RG	RHOA	0.0
ERBB3	AKT1	3.4228019039866013
EGFR	IRS1	1.7320508075688772
CTNNA1	EXOC3	2.8717082451262845
EGFR	MTOR	2.4471642338686284
CTNND1	PIK3CA	6.539817777758914
ITGB1	PXN	0.0
DOCK1	FYN	0.0
TP53	EGFR	4.803029340790344
CTNNA1	ENAH	2.8865562529568844
SYK	VAV2	2.4409096442821903
PDGFRB	PIK3CA	5.998609403315729
CDH1	PIK3CA	6.8608168505699085
RELN	ITGB1	2.121320343559643
MYC	TP53	6.892767883774774
CD19	SYK	0.0
PIK3R1	DAPP1	4.815025962475294
CDH2	RAC1	0.0
SYK	PIK3R1	5.5373191879907555
ITGB1	EGFR	1.5731321849709863
LCK	PIK3CA	0.0
IL2RB	PIK3CA	0.0
CRKL	DAB1	0.0
SOS1	MTOR	2.8058837014757785
PDPK1	PIK3R1	4.607919181288746
IL2	IL2RG	0.0
AKT1	MYC	4.432022887624383
JAK1	BCL2L1	3.7386127875258306
ERBB3	SRC	0.0
SRC	RELA	0.0
APC	SETDB1	5.012414361427385
AR	BRCA1	2.118033988749895
STAT3	SYK	2.2802389661575337
PIK3CA	STAT3	6.033925719352177
AGAP2	PIK3R1	4.592676385936225
CDH1	SRC	0.0
ITGA6	ITGB4	0.0
JAK3	SOS1	0.0
ARNT	MCL1	3.4399329390311886
TFDP1	TP53	5.7276408485223484
ITGB4	AKT1	0.0
TP53	BCL2	5.470226126610201
CRK	SOS1	0.0
CTNND1	RHOA	0.0
ITGA6	PIK3CA	6.033925719352177
CTNND1	EXOC3	3.8121293240294545
DAPP1	RAC1	0.0
ITGB1	PIK3R1	4.8302124068042085
CTNNB1	CTNND1	5.193371837988475
MYC	PDGFRB	4.96640225816553
DAB1	ERBB3	0.0
DOCK1	GRB2	0.0
IL2RB	MYC	0.0
TRIM28	MYC	5.157184709581948
TP53	TNFRSF10B	6.372983346207417
CRK	CRKL	0.0
AR	GSN	1.8251407699364424
KDR	RAC1	0.0
BRCA1	MAX	2.118033988749895
ERBB2	JAK2	3.9474771303904777
PXN	RAC1	0.0
PIK3CA	DAPP1	5.815072906367325
SOS1	SRC	0.0
CDH1	ITGB4	0.0
IL2RG	JAK3	0.0
FYN	JAK3	0.0
PIK3CA	TRPV1	0.0
PTPN11	SRC	0.0
ERBB2	IRS1	4.106395752988369
