SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
68	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
69	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
70	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
71	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
72	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
73	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
74	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
75	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
76	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
77	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
78	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
79	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
80	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
81	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
82	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
83	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
84	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
85	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
86	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
87	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
88	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
89	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
90	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
91	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
92	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
93	6	5	58	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1
94	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
95	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
96	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
97	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
98	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
99	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
100	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
101	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
102	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
103	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
