	TP53	PIK3CA	MYC	CCND1	ERBB2	PIK3R1	MAX	ITIH1	RB1	CDH1	EGFR	MCL1	MYST1	NLRC4	BRCA1	CTNNB1	PTEN	TYRP1	RNASEN	ERBB3	FOXA1	ATXN1	CDKN1B	APC	VAV2	GCN1L1	VCAN	TERT	SP1	SUPT6H	E2F1	ANKS1B	CRK	AKT1	MYB	ATM	IKBKB	CDC42	ONECUT1	CTNNA1	IREB2	MAPK14	CCNE1	ABL1	AGAP2	PDGFRB	SMAD4	RHOA	SETDB1	PRDM1	AR	MAP3K1	IGF1R	TTN	HDAC1	ESR1	GRB2	SMAD3	SOS1	MTOR	TNIK	PLCG1	GATA3	NCOR1	FYN	ITGB4	MACF1	TAF4B	SMAD2	RAC1	ERBB4	JAK1	ITGB3	SRC	NRXN1	MAPK6	NFKB1	RELN	MET	CACNA1A	MYO16	TRRAP	TNS3	DISC1	NFYC	CHD3	JUN	ITGA6	NCK1	RIF1	PAK1	JAK2	OMA1	NRCAM	IRS4	RANBP2	SIPA1L1	COL18A1	ITGB2	MAGI3	INTS4	PMS2	APOB	HSPA12A	PTPN12	HUWE1	DAB1	ITGAM	CDKN1A	PDZD2	SMAD9	CDC5L	SYNE1	MLL3	SETD7	CHGB	HGS	EPB41L1	ATN1	DST	MAP2K4	ESR2	TSC22D1	NOTCH1	TK1	DLG1	CREBBP	PTPRB	STAT3	ATXN7	PPP1CA	DSCAML1	TAF1	TSC2	HTT	NEB	PLXNB3	LPA	BCAR1	BARD1	PTPRJ	USP7	CDKN2A	UBQLN4	TBC1D4	GRIN2B	JAK3	AKAP13	TLN1	TRAF6	UBE2I	CELSR3	GFI1B	LRP1	ATR	PLK3	DMD	STAT6	CRMP1	WNK1	SPEN	KDR	MAGI2	PTPRG	ITGAV	MRE11A	ITGB1	BCAR3	CTNND1	SMAD5	SF3B1	LYN	SKIL	NBN	DNTT	ZFP36L1	PPARG	ABL2	CREB1	SYNGAP1	GSK3B	PRKDC	REL	NOTCH3	ZHX1	ATF7IP	AXIN1	GRIN2A	MEGF8	SIN3A	GOLGA2	TRIM28	TGFA	EGF	ARNT	RANBP10	PLXND1	NEDD9	PRPF40A	TOPBP1
651	24	33	38	-1	161	84	124	-1	154	6	14	-1	-1	-1	-1	91	-1	-1	-1	45	-1	109	-1	159	71	-1	-1	129	88	-1	-1	-1	60	-1	103	-1	-1	146	-1	26	-1	-1	-1	40	-1	-1	-1	47	193	-1	142	-1	-1	-1	-1	-1	53	-1	75	-1	-1	22	-1	-1	114	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	9	52	-1	68	116	-1	-1	-1	74	-1	8	-1	-1	106	-1	-1	86	-1	62	-1	-1	-1	-1	85	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	184	76	-1	-1	-1	135	-1	-1	150	-1	-1	19	-1	-1	44	-1	-1	-1	-1	46	90	56	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	173	166	119	-1	-1	-1	-1	-1	49	-1	-1	-1	-1	-1	-1	101	-1	-1	-1	-1	-1	122	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	31	-1	-1	199	-1	16	183	-1	196	59	-1	-1	-1	134	-1
652	136	165	-1	-1	-1	82	64	-1	-1	130	153	-1	-1	-1	-1	170	-1	-1	-1	-1	-1	74	-1	10	-1	-1	-1	120	61	-1	-1	-1	169	-1	-1	125	-1	-1	-1	-1	-1	-1	-1	99	-1	-1	60	145	-1	-1	-1	-1	-1	-1	-1	-1	19	133	-1	-1	-1	-1	-1	-1	51	-1	-1	-1	27	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	94	-1	-1	-1	62	-1	-1	-1	-1	4	63	76	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	-1	28	-1	44	-1	-1	-1	-1	-1	-1	-1	18	77	-1	83	134	-1	41	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	180	-1	124	86	-1	-1	-1	-1	121	141	199	-1	-1	-1	-1	-1	111	38	193	-1	-1	-1	-1	-1	-1	-1	-1	97	-1	-1	-1	197	-1	-1	-1	-1	-1	89	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	179	-1	-1	-1	11	-1	-1	-1	30	-1
653	112	-1	69	-1	-1	144	16	-1	158	-1	-1	-1	-1	-1	-1	177	-1	-1	-1	-1	-1	3	-1	40	70	-1	-1	-1	134	-1	-1	-1	114	28	113	-1	102	126	-1	-1	-1	30	-1	196	-1	-1	-1	169	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	49	-1	-1	149	162	-1	-1	-1	-1	187	-1	-1	-1	-1	-1	-1	-1	57	-1	-1	-1	-1	-1	168	1	-1	-1	-1	-1	-1	197	-1	-1	-1	-1	-1	-1	-1	-1	123	-1	-1	-1	-1	45	-1	-1	-1	24	-1	175	-1	-1	-1	-1	85	-1	-1	87	-1	-1	19	-1	-1	159	-1	-1	-1	-1	171	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	124	-1	14	164	-1	-1	-1	-1	-1	119	62	-1	-1	-1	-1	-1	135	-1	-1	-1	-1	-1	118	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	74	-1	31	-1	-1	-1	32	-1	46	-1	89	-1	-1	-1	121	-1	-1	-1	-1	-1	-1	-1	184	-1
654	194	-1	-1	-1	27	156	11	-1	-1	-1	56	-1	-1	-1	-1	-1	-1	-1	-1	142	90	128	41	29	94	-1	-1	-1	-1	-1	-1	-1	36	-1	-1	-1	-1	162	-1	-1	-1	-1	-1	199	-1	-1	129	26	-1	-1	190	-1	-1	-1	-1	-1	38	31	-1	-1	-1	30	-1	-1	-1	-1	22	-1	5	170	175	-1	121	-1	-1	102	-1	-1	-1	151	-1	-1	-1	48	-1	-1	88	176	60	-1	138	106	-1	-1	-1	130	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	131	167	-1	-1	-1	141	-1	59	13	-1	28	-1	-1	95	-1	-1	-1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	183	-1	-1	-1	-1	149	-1	-1	-1	118	-1	-1	-1	-1	82	-1	-1	-1	-1	123	-1	166	-1	-1	-1	-1	64	-1	-1	-1	-1	-1	-1	87	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	150	80	-1	-1	-1	-1	108	-1	-1	-1	23	57	-1	-1	61	-1
655	63	-1	188	-1	55	152	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84	-1	30	93	-1	-1	92	-1	-1	-1	-1	8	-1	173	-1	-1	165	-1	-1	-1	77	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	102	66	20	78	-1	12	80	-1	-1	61	-1	34	-1	82	119	-1	-1	-1	75	48	87	-1	162	-1	181	58	-1	-1	62	-1	-1	31	-1	189	-1	32	105	-1	-1	-1	-1	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	153	29	-1	190	-1	-1	-1	-1	-1	-1	-1	192	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	81	-1	-1	-1	-1	-1	-1	183	-1	-1	-1	-1	-1	-1	56	-1	-1	-1	-1	-1	-1	-1	-1	130	-1	-1	-1	-1	-1	157	-1	-1	-1	-1	-1	147	-1	-1	-1	-1	-1	-1	139	-1	-1	-1	-1	91	-1	-1	-1	-1	-1	-1	86	68	-1
656	16	-1	-1	-1	-1	-1	-1	-1	-1	114	163	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	-1	32	115	-1	-1	152	-1	-1	-1	-1	199	-1	105	-1	-1	-1	-1	-1	-1	72	-1	80	-1	-1	77	172	-1	-1	111	-1	-1	-1	107	-1	60	19	64	-1	-1	-1	-1	-1	63	-1	171	-1	5	182	-1	56	-1	-1	59	-1	-1	-1	-1	88	124	-1	-1	104	-1	-1	-1	-1	-1	-1	185	51	-1	-1	-1	-1	119	-1	-1	-1	-1	-1	-1	-1	-1	-1	187	-1	-1	41	52	-1	-1	-1	-1	-1	102	-1	4	-1	-1	39	-1	-1	166	-1	-1	-1	-1	157	49	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	36	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	-1	-1	-1	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	91	160	-1	-1	-1	-1	-1
657	20	-1	95	-1	-1	116	129	-1	137	-1	37	-1	-1	-1	85	181	-1	-1	-1	-1	-1	10	-1	56	-1	-1	-1	-1	84	-1	-1	-1	49	157	-1	127	-1	65	-1	-1	-1	34	-1	79	-1	-1	-1	4	12	-1	193	-1	-1	-1	149	-1	40	-1	-1	-1	82	21	-1	-1	59	-1	43	-1	41	47	-1	54	-1	-1	124	83	-1	-1	131	121	196	-1	-1	15	-1	155	-1	-1	143	-1	11	-1	-1	-1	-1	-1	198	-1	-1	-1	-1	-1	-1	-1	88	-1	61	-1	14	-1	46	13	-1	-1	-1	113	-1	-1	-1	-1	-1	9	-1	90	57	-1	-1	-1	-1	-1	101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	-1	-1	152	-1	130	158	-1	-1	-1	-1	38	-1	-1	-1	78	-1	-1	-1	-1	-1	-1	52	76	-1	133	135	-1	-1	-1	-1	-1	104	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	112	-1	-1	-1	-1	125	-1	-1	71	-1
658	190	-1	26	-1	71	23	25	-1	-1	-1	160	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	-1	85	147	-1	-1	-1	-1	-1	-1	-1	100	141	156	-1	-1	157	-1	175	-1	49	-1	32	-1	-1	58	30	133	-1	-1	-1	118	-1	-1	66	37	46	172	171	146	98	-1	-1	74	-1	150	178	122	116	-1	-1	57	76	-1	-1	-1	-1	75	48	-1	-1	-1	28	-1	-1	-1	121	117	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84	-1	-1	-1	143	90	-1	-1	-1	-1	-1	-1	63	50	-1	114	120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	158	153	-1	113	-1	-1	-1	44	87	-1	31	-1	-1	-1	-1	-1	-1	-1	8	167	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	-1	-1	142	-1	-1	43	-1	-1	-1	-1	-1	132	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	51	-1	-1	-1	99	33	-1	-1	54	-1
659	6	-1	116	-1	-1	120	37	-1	-1	-1	-1	-1	-1	-1	138	12	-1	-1	-1	-1	98	8	-1	21	81	-1	-1	-1	70	-1	-1	-1	130	-1	-1	-1	-1	97	-1	113	-1	-1	-1	14	-1	-1	68	181	28	83	-1	-1	-1	-1	-1	-1	13	127	-1	-1	82	-1	-1	-1	38	144	-1	-1	36	-1	-1	-1	-1	131	-1	187	-1	-1	-1	49	-1	-1	-1	175	-1	-1	-1	172	146	-1	166	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	129	-1	-1	-1	124	-1	-1	-1	-1	-1	-1	18	-1	59	55	189	-1	-1	34	115	-1	-1	-1	-1	-1	-1	94	-1	-1	-1	-1	-1	-1	198	-1	-1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	53	32	-1	74	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	179	-1	-1	-1	164	-1	-1	-1	-1	-1
660	110	34	128	-1	37	125	30	-1	-1	-1	140	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58	-1	1	11	-1	-1	150	138	-1	-1	-1	109	-1	168	-1	-1	7	-1	-1	-1	41	-1	186	-1	-1	155	21	-1	-1	-1	35	-1	-1	-1	-1	80	96	-1	-1	-1	-1	-1	-1	169	-1	-1	-1	12	2	-1	193	18	126	-1	-1	-1	-1	-1	195	-1	-1	-1	148	47	149	-1	-1	100	-1	0	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	122	-1	56	-1	70	-1	16	-1	139	-1	-1	-1	-1	-1	-1	-1	-1	187	-1	-1	36	-1	-1	-1	-1	-1	-1	-1	160	127	-1	103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	134	-1	-1	-1	-1	-1	-1	74	-1	105	-1	33	-1	-1	81	-1	-1	-1	-1	-1	-1	-1	-1	145	-1	-1	-1	-1	177	-1	-1	-1	-1	10	-1	152	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1
