TCGA-B6-A0IE-01	1	1															1																																																																																							1																																																	
TCGA-AO-A03O-01	1	1																			1																																																																																																																																		1		
TCGA-AO-A03N-01	1	1																							1								1																																																															1																																																									
TCGA-AR-A1AS-01	1	1																																					1											1																																																																																																		1					
TCGA-B6-A0RH-01	1	1																																					1																																																																												1																										1												
TCGA-BH-A0GY-01	1	1																																					1																																																																																																																		
TCGA-E2-A14Y-01	1	1																																											1																																																																																																												
TCGA-AO-A03L-01	1	1																																											1																																																																																																												
TCGA-A2-A0EQ-01	1	1																																																									1																																																																																														
TCGA-B6-A0IK-01	1	1																																																												1																																																												1																															
TCGA-A2-A0YH-01	1	1																																																																			1																																																																					1															
TCGA-A8-A092-01	1	1																																																																												1																																																																											
TCGA-A2-A04P-01	1	1																																																																														1								1																																		1																															
TCGA-A2-A0CW-01	1	1																																																																																	1		1																																																															1					
TCGA-AO-A0JE-01	1	1																																																																																			1																					1																																															
TCGA-E2-A15E-06	1	1																																																																																					1																																																																		
TCGA-E2-A15E-01	1	1																																																																																					1																																																																		
TCGA-C8-A12L-01	1	1																																																																																								1						1																																																									
TCGA-C8-A131-01	1	1																																																																																																				1																																																1			
TCGA-AN-A0AJ-01	1	1																																																																																																													1																															1						1					
TCGA-BH-A0BF-01	1	1																																																																																																															1																																								
TCGA-A8-A081-01	1	1																																																																																																																	1																																		1				
TCGA-A2-A0EY-01	1	1																																																																																																																																1													1										
TCGA-A2-A04W-01	1	1																																																																																																																																																		1					
TCGA-BH-A0BT-01	1	1																																																																																																																																																		1					
TCGA-AR-A1AW-01	1	1																																																																																																																																																							
TCGA-A8-A075-01	1	1																																																																																																																																																							
TCGA-A7-A0CJ-01	1	1																																																																																																																																																							
TCGA-C8-A1HF-01	1	1																																																																																																																																																							
TCGA-A8-A06U-01	1	1																																																																																																																																																							
TCGA-A8-A084-01	1	1																																																																																																																																																							
TCGA-AN-A04C-01	1	1																																																																																																																																																							
TCGA-BH-A0DL-01	1	1																																																																																																																																																							
TCGA-BH-A0BC-01	1	1																																																																																																																																																							
TCGA-BH-A18H-01	1	1																																																																																																																																																							
TCGA-C8-A130-01	1	1																																																																																																																																																							
TCGA-A2-A0D1-01	1	1																																																																																																																																																							
TCGA-A8-A08P-01	1	1																																																																																																																																																							
TCGA-D8-A147-01	1		1														1																																																																																																																																								
TCGA-C8-A135-01	1			1					1																																																																																																																																																
TCGA-BH-A0BP-01	1				1																																																																																	1																																																																1			
TCGA-A2-A0CX-01	1					1																																								1																																																																																																											
TCGA-C8-A1HM-01	1					1																																																																															1																												1																																								
TCGA-A8-A094-01	1						1												1																																																	1							1																	1		1		1																																																									
TCGA-BH-A0BR-01	1						1																																																																																																																																	1																	
TCGA-A2-A0SW-01	1								1								1																																																																																																																																								
TCGA-C8-A12Z-01	1								1																																																																																																																1																																
TCGA-BH-A0DI-01	1								1																																																																																																																																																
TCGA-AR-A0U0-01	1								1																																																																																																																																																
TCGA-AR-A1AQ-01	1												1		1																																																																																																																																										
TCGA-AN-A0FY-01	1														1																																																																												1																																																														
TCGA-E2-A159-01	1														1																																																																																																																					1																					
TCGA-BH-A0B7-01	1																1		1																																																																																																																																						
TCGA-AR-A0TX-01	1																1																													1																																		1					1																			1		1																																															
TCGA-AO-A12D-01	1																1																																																																										1																								1																																						
TCGA-E2-A14R-01	1																1																																																																															1																																													1												
TCGA-A2-A0YG-01	1																1																																																																																							1																																						1											
TCGA-AO-A12G-01	1																		1	1																																															1																																																																																						
TCGA-AR-A0TV-01	1																		1																												1																																																																																																										
TCGA-C8-A1HG-01	1																		1																																																																																																																																						
TCGA-A2-A0SV-01	1																			1																																									1																																																																																								1				
TCGA-D8-A13Z-01	1																			1																																																																			1																																																																		
TCGA-E2-A14Z-01	1																			1																																																																												1																																																									
TCGA-A8-A06O-01	1																			1																																																																																						1																																															
TCGA-AR-A1AJ-01	1																			1																																																																																																																																					
TCGA-BH-A0C3-01	1																				1													1																																																																																																																							
TCGA-C8-A12O-01	1																				1																																																																																																				1																																
TCGA-AR-A1AN-01	1																				1																																																																																																																																				
TCGA-BH-A1EV-01	1																				1																																																																																																																																				
TCGA-E2-A158-01	1																					1																																																																																																			1																				1												
TCGA-A1-A0SO-01	1																						1		1		1																		1																																		1																																										1																																
TCGA-AR-A0U4-01	1																						1																																																																														1	1																																																			
TCGA-AN-A0XU-01	1																						1																																																																															1																																																			1
TCGA-BH-A0WA-01	1																						1																																																																																				1																																														
TCGA-B6-A0X1-01	1																						1																																																																																																																																		
TCGA-A8-A09X-01	1																							1																																																																																																																																	
TCGA-A8-A07R-01	1																								1																				1																												1										1																																				1							1																											
TCGA-BH-A0DZ-01	1																																			1													1																		1																												1														1															1																		1							1				
TCGA-B6-A0I9-01	1																																				1																																										1																																																																										
TCGA-A8-A09N-01	1																																				1																																															1																																																																					
TCGA-D8-A142-01	1																																							1																																																																																																																	
TCGA-B6-A0RE-01	1																																							1																																																																																																																	
TCGA-BH-A18T-01	1																																									1																																																																																																												1			1
TCGA-A8-A07O-01	1																																										1							1																																																																																																							
TCGA-AO-A129-01	1																																										1																																																																								1																																			1			
TCGA-E2-A152-01	1																																											1																		1																																																																																											
TCGA-A7-A0CE-01	1																																												1																																																											1																																																	
TCGA-AN-A0AS-01	1																																																1																																																																											1																													
TCGA-BH-A0B3-01	1																																																	1																		1																																																																																					
TCGA-BH-A0B9-01	1																																																											1																																				1																																																									
TCGA-BH-A0E6-01	1																																																																		1										1																																																																												
TCGA-AR-A1AY-01	1																																																																					1																										1																																																									
TCGA-BH-A0E0-01	1																																																																						1																																																																																		
TCGA-BH-A0AW-01	1																																																																								1																																																																														1		
TCGA-AO-A0J4-01	1																																																																									1											1																																																																				
TCGA-E2-A155-01	1																																																																														1							1																																																		1												1					
TCGA-A2-A0SX-01	1																																																																															1																																																																									
TCGA-E2-A14P-01	1																																																																																		1		1																																																																				
TCGA-BH-A0BG-01	1																																																																																		1																												1																																							1			
TCGA-AR-A1AH-01	1																																																																																				1																																																																				
TCGA-A1-A0SK-01	1																																																																																				1																																																																				
TCGA-BH-A18V-01	1																																																																																				1																																																																				
TCGA-AR-A0U1-01	1																																																																																				1																																																																				
TCGA-B6-A0RS-01	1																																																																																				1																																																																				
TCGA-A2-A0YM-01	1																																																																																					1																																																																			
TCGA-AO-A124-01	1																																																																																							1								1																												1																								1					
TCGA-AO-A0JD-01	1																																																																																								1																																																																
TCGA-BH-A18U-01	1																																																																																										1																																										1					1															
TCGA-AN-A0FT-01	1																																																																																															1																											1												1																		
TCGA-AO-A0JB-01	1																																																																																															1																																																									
TCGA-BH-A18Q-01	1																																																																																															1																																																									
TCGA-A2-A0T3-01	1																																																																																															1																																																									
TCGA-AN-A0XN-01	1																																																																																																1												1															1																		1											
TCGA-AN-A0FJ-01	1																																																																																																		1						1			1																																													
TCGA-A7-A13D-01	1																																																																																																		1																																																						
TCGA-AN-A0FX-01	1																																																																																																					1																				1																															
TCGA-C8-A12P-01	1																																																																																																							1																																																	
TCGA-AN-A0AR-01	1																																																																																																											1																																													
TCGA-E2-A109-01	1																																																																																																												1																																												
TCGA-C8-A12Q-01	1																																																																																																												1																																												
TCGA-AO-A0J6-01	1																																																																																																													1																																											
TCGA-A8-A079-01	1																																																																																																																		1																																						
TCGA-AN-A0FV-01	1																																																																																																																					1				1																										1					
TCGA-AN-A0FL-01	1																																																																																																																					1																																			
TCGA-A8-A08I-01	1																																																																																																																					1																																			
TCGA-A2-A0YJ-01	1																																																																																																																													1																											
TCGA-AQ-A04H-01	1																																																																																																																																							1							1					1					
TCGA-AR-A0U2-01	1																																																																																																																																							1																	
TCGA-AR-A1AP-01	1																																																																																																																																							1																	
TCGA-A7-A0DA-01	1																																																																																																																																									1															
TCGA-A2-A0D2-01	1																																																																																																																																													1											
TCGA-D8-A13Y-01	1																																																																																																																																													1											
TCGA-AO-A03V-01	1																																																																																																																																														1										
TCGA-E2-A1B6-01	1																																																																																																																																																			1					
TCGA-BH-A0BL-01	1																																																																																																																																																			1					
TCGA-E2-A14X-01	1																																																																																																																																																								
TCGA-AO-A0J2-01	1																																																																																																																																																								
TCGA-AN-A0AL-01	1																																																																																																																																																								
TCGA-BH-A0C0-01	1																																																																																																																																																								
TCGA-AO-A0JL-01	1																																																																																																																																																								
TCGA-AR-A0U3-01	1																																																																																																																																																								
TCGA-A8-A09Q-01	1																																																																																																																																																								
TCGA-B6-A0IJ-01	1																																																																																																																																																								
TCGA-C8-A12K-01	1																																																																																																																																																								
TCGA-AR-A0TS-01	1																																																																																																																																																								
TCGA-B6-A0RU-01	1																																																																																																																																																								
TCGA-A2-A04U-01	1																																																																																																																																																								
TCGA-A2-A0T1-01	1																																																																																																																																																								
TCGA-A8-A097-01	1																																																																																																																																																								
TCGA-E2-A1B0-01	1																																																																																																																																																								
TCGA-E2-A150-01	1																																																																																																																																																								
TCGA-C8-A134-01	1																																																																																																																																																								
TCGA-B6-A0I2-01	1																																																																																																																																																								
TCGA-AN-A0XT-01	1																																																																																																																																																								
TCGA-AR-A0TP-01	1																																																																																																																																																								
TCGA-A2-A0CM-01	1																																																																																																																																																								
TCGA-E2-A108-01	1																																																																																																																																																								
TCGA-AN-A0G0-01	1																																																																																																																																																								
TCGA-E2-A15M-01	1																																																																																																																																																								
TCGA-BH-A0RX-01	1																																																																																																																																																								
TCGA-A8-A08X-01	1																																																																																																																																																								
TCGA-BH-A0H7-01	1																																																																																																																																																								
TCGA-AQ-A04J-01	1																																																																																																																																																								
TCGA-B6-A0IQ-01	1																																																																																																																																																								
TCGA-BH-A0HY-01	1																																																																																																																																																								
TCGA-A2-A0T2-01	1																																																																																																																																																								
TCGA-B6-A0WX-01	1																																																																																																																																																								
TCGA-BH-A0HX-01	1																																																																																																																																																								
TCGA-C8-A138-01	1																																																																																																																																																								
TCGA-C8-A12W-01	1																																																																																																																																																								
TCGA-A2-A0D0-01	1																																																																																																																																																								
TCGA-A8-A07W-01	1																																																																																																																																																								
TCGA-A8-A07U-01	1																																																																																																																																																								
TCGA-BH-A1F0-01	1																																																																																																																																																								
TCGA-AQ-A04L-01	1																																																																																																																																																								
TCGA-AR-A1AI-01	1																																																																																																																																																								
TCGA-BH-A0AV-01	1																																																																																																																																																								
TCGA-E2-A14N-01	1																																																																																																																																																								
TCGA-AO-A03R-01	1																																																																																																																																																								
TCGA.C8.A12P.01		0	0	0				0			0																															0																		0														0																																																																														0	
TCGA.BH.A18U.01		0	0	0															0																																																							0																																																																														0	
TCGA.BH.A0DI.01		0	0		0													0																																																								0																																																																														0	
TCGA.BH.A18V.01		0	0							0	0																																																	0														0																																																												0																			
TCGA.E2.A14R.01		0	0								0			0																0							0														0									0												0		0								0																													0																																						0			0	
TCGA.A2.A04T.01		0	0								0																																																	0										0				0																																																																							0							0	
TCGA.D8.A1XL.01		0	0																																																																							0																																																																														0	
TCGA.A2.A0D0.01		0	0																																																																							0																																																																															
TCGA.C8.A12L.01		0		0	0						0																																																	0														0																																																																														0	
TCGA.C8.A26W.01		0		0	0																																																																	0				0																											0																																												0							0	
TCGA.AQ.A04H.01		0		0	0																																																																					0																																																																														0	
TCGA.D8.A1XT.01		0		0				0		0								0									0											0							0																			0										0								0																																																				0																		0	
TCGA.C8.A1HF.01		0		0				0																						0									0																																			0																																					0																																						0				
TCGA.BH.A201.01		0			0	0					0							0									0						0					0							0															0				0										0																																																							1																							0	
TCGA.C8.A12Y.01		0			0	0																											0																																									0																											0																												1																							0	
TCGA.BH.A0BR.01		0			0	0																																																																				0																																																							1																							0	
TCGA.BH.A0DL.01		0			0					0									0																																																							0																																																												0																		0	
TCGA.A8.A081.01		0			0													0																																																								0																																																																														0	
TCGA.BH.A203.01		0									0			0				0																																										0												0		0														0																														0																																			
TCGA.D8.A27H.01		0																																0																																								0																																																																														0	
TCGA.A1.A0SH.01		0																																																																								0																																																																														0	
TCGA.E9.A226.01		0																																																																								0																																																																														0	
TCGA.A8.A07G.01		0																																																																								0																																																																														0	
TCGA.A2.A0SX.01		0																																																																								0																																																																														0	
TCGA.A2.A04P.01		0																																																																																																																																																							
TCGA-A8-A08Z-01		1		1																	1																												1																																																																																																							1	
TCGA-BH-A0EE-01		1							1																																																										1																				1																	1																																																	
TCGA-AN-A0XS-01		1											1																																				1																																																																																																								
TCGA-B6-A0RP-01		1											1																																																																																												1																																																
TCGA-BH-A0DE-01		1											1																																																																																																																	1																											
TCGA-AR-A0TR-01		1											1																																																																																																																																												
TCGA-A8-A095-01		1													1																									1																																											1																																	1																																					
TCGA-B6-A0X5-01		1															1																																										1																																																																																														
TCGA-BH-A0BD-01		1															1																																																																																																																																			1					
TCGA-A8-A06R-01		1																		1																	1																																																																																																																				
TCGA-AO-A0JA-01		1																		1																																																																																																			1																																		
TCGA-B6-A0WW-01		1																		1																																																																																																																																					
TCGA-BH-A0BM-01		1																			1																																																																																																																																				
TCGA-E2-A154-01		1																			1																																																																																																																																				
TCGA-C8-A12T-01		1																					1																																																																																																			1				1																											
TCGA-A8-A0A7-01		1																						1												1																																																																						1	1																																														
TCGA-A2-A0SY-01		1																						1																1		1																																																																													1							1																											
TCGA-A2-A0YK-01		1																						1																			1						1																																																																																																								
TCGA-B6-A0IP-01		1																						1																							1																																																																																																										
TCGA-E2-A10F-01		1																						1																																				1																																																																																													
TCGA-A2-A0T4-01		1																						1																																																													1	1																																																																			
TCGA-BH-A18F-01		1																						1																																																														1																																																																			
