SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
40	18	5	79	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2
41	18	6	76	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H
42	18	7	73	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,IKBKB
43	18	8	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
44	18	8	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
45	18	8	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
46	18	8	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
47	18	8	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
48	18	8	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,TERT,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
49	20	8	72	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,CDC42,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
50	20	8	72	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,CDC42,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
51	21	8	73	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,CDC42,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
52	21	8	73	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,CDC42,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
53	21	8	73	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,CDC42,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
54	21	8	73	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,CDC42,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
55	22	8	74	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,CDC42,CCNE1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
56	22	8	74	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,CDC42,CCNE1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
57	22	8	74	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,CDC42,CCNE1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
58	22	8	74	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,CDC42,CCNE1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,SUPT6H,CRK,IKBKB
59	23	9	72	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,CDC42,CCNE1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,CRK,IKBKB
60	23	10	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,CDC42,CCNE1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,CRK,IKBKB,MAPK14
61	23	10	70	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,CDC42,CCNE1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,CRK,IKBKB,MAPK14
62	25	10	72	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,CDC42,CCNE1,RHOA,MAP3K1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,CRK,IKBKB,MAPK14
63	25	10	72	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,CDC42,CCNE1,RHOA,MAP3K1,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,CRK,IKBKB,MAPK14
64	26	10	72	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,CRK,IKBKB,MAPK14
65	26	11	71	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,MAPK14
66	26	11	71	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,MAPK14
