Gene	TP53	PIK3CA	MYC	CCND1	ERBB2	PIK3R1	MAX	ITIH1	RB1	CDH1	EGFR	MCL1	MYST1	NLRC4	BRCA1	CTNNB1	PTEN	TYRP1	RNASEN	ERBB3	FOXA1	ATXN1	CDKN1B	APC	VAV2	GCN1L1	VCAN	TERT	SP1	SUPT6H	E2F1	ANKS1B	CRK	AKT1	MYB	ATM	IKBKB	CDC42	ONECUT1	CTNNA1	IREB2	MAPK14	CCNE1	ABL1	AGAP2	PDGFRB	SMAD4	RHOA	SETDB1	PRDM1	AR	MAP3K1	IGF1R	TTN	HDAC1	ESR1	GRB2	SMAD3	SOS1	MTOR	TNIK	PLCG1	GATA3	NCOR1	FYN	ITGB4	MACF1	TAF4B	SMAD2	RAC1	ERBB4	JAK1	ITGB3	SRC	NRXN1	MAPK6	NFKB1	RELN	MET	CACNA1A	MYO16	TRRAP	TNS3	DISC1	NFYC	CHD3	JUN	ITGA6	NCK1	RIF1	PAK1	JAK2	OMA1	NRCAM	IRS4	RANBP2	SIPA1L1	COL18A1	ITGB2	MAGI3	INTS4	PMS2	APOB	HSPA12A	PTPN12	HUWE1	DAB1	ITGAM	CDKN1A	PDZD2	SMAD9	CDC5L	SYNE1	MLL3	SETD7	CHGB	HGS	EPB41L1	ATN1	DST	MAP2K4	ESR2	TSC22D1	NOTCH1	TK1	DLG1	CREBBP	PTPRB	STAT3	ATXN7	PPP1CA	DSCAML1	TAF1	TSC2	HTT	NEB	PLXNB3	LPA	BCAR1	BARD1	PTPRJ	USP7	CDKN2A	UBQLN4	TBC1D4	GRIN2B	JAK3	AKAP13	TLN1	TRAF6	UBE2I	CELSR3	GFI1B	LRP1	ATR	PLK3	DMD	STAT6	CRMP1	WNK1	SPEN	KDR	MAGI2	PTPRG	ITGAV	MRE11A	ITGB1	BCAR3	CTNND1	SMAD5	SF3B1	LYN	SKIL	NBN	DNTT	ZFP36L1	PPARG	ABL2	CREB1	SYNGAP1	GSK3B	PRKDC	REL	NOTCH3	ZHX1	ATF7IP	AXIN1	GRIN2A	MEGF8	SIN3A	GOLGA2	TRIM28	TGFA	EGF	ARNT	RANBP10	PLXND1	NEDD9	PRPF40A	TOPBP1
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0	101.0	102.0	103.0	104.0	105.0	106.0	107.0	108.0	109.0	110.0	111.0	112.0	113.0	114.0	115.0	116.0	117.0	118.0	119.0	120.0	121.0	122.0	123.0	124.0	125.0	126.0	127.0	128.0	129.0	130.0	131.0	132.0	133.0	134.0	135.0	136.0	137.0	138.0	139.0	140.0	141.0	142.0	143.0	144.0	145.0	146.0	147.0	148.0	149.0	150.0	151.0	152.0	153.0	154.0	155.0	156.0	157.0	158.0	159.0	160.0	161.0	162.0	163.0	164.0	165.0	166.0	167.0	168.0	169.0	170.0	171.0	172.0	173.0	174.0	175.0	176.0	177.0	178.0	179.0	180.0	181.0	182.0	183.0	184.0	185.0	186.0	187.0	188.0	189.0	190.0	191.0	192.0	193.0	194.0	195.0	196.0	197.0	198.0	199.0
GeneName	TP53	PIK3CA	MYC	CCND1	ERBB2	PIK3R1	MAX	ITIH1	RB1	CDH1	EGFR	MCL1	MYST1	NLRC4	BRCA1	CTNNB1	PTEN	TYRP1	RNASEN	ERBB3	FOXA1	ATXN1	CDKN1B	APC	VAV2	GCN1L1	VCAN	TERT	SP1	SUPT6H	E2F1	ANKS1B	CRK	AKT1	MYB	ATM	IKBKB	CDC42	ONECUT1	CTNNA1	IREB2	MAPK14	CCNE1	ABL1	AGAP2	PDGFRB	SMAD4	RHOA	SETDB1	PRDM1	AR	MAP3K1	IGF1R	TTN	HDAC1	ESR1	GRB2	SMAD3	SOS1	MTOR	TNIK	PLCG1	GATA3	NCOR1	FYN	ITGB4	MACF1	TAF4B	SMAD2	RAC1	ERBB4	JAK1	ITGB3	SRC	NRXN1	MAPK6	NFKB1	RELN	MET	CACNA1A	MYO16	TRRAP	TNS3	DISC1	NFYC	CHD3	JUN	ITGA6	NCK1	RIF1	PAK1	JAK2	OMA1	NRCAM	IRS4	RANBP2	SIPA1L1	COL18A1	ITGB2	MAGI3	INTS4	PMS2	APOB	HSPA12A	PTPN12	HUWE1	DAB1	ITGAM	CDKN1A	PDZD2	SMAD9	CDC5L	SYNE1	MLL3	SETD7	CHGB	HGS	EPB41L1	ATN1	DST	MAP2K4	ESR2	TSC22D1	NOTCH1	TK1	DLG1	CREBBP	PTPRB	STAT3	ATXN7	PPP1CA	DSCAML1	TAF1	TSC2	HTT	NEB	PLXNB3	LPA	BCAR1	BARD1	PTPRJ	USP7	CDKN2A	UBQLN4	TBC1D4	GRIN2B	JAK3	AKAP13	TLN1	TRAF6	UBE2I	CELSR3	GFI1B	LRP1	ATR	PLK3	DMD	STAT6	CRMP1	WNK1	SPEN	KDR	MAGI2	PTPRG	ITGAV	MRE11A	ITGB1	BCAR3	CTNND1	SMAD5	SF3B1	LYN	SKIL	NBN	DNTT	ZFP36L1	PPARG	ABL2	CREB1	SYNGAP1	GSK3B	PRKDC	REL	NOTCH3	ZHX1	ATF7IP	AXIN1	GRIN2A	MEGF8	SIN3A	GOLGA2	TRIM28	TGFA	EGF	ARNT	RANBP10	PLXND1	NEDD9	PRPF40A	TOPBP1
MutualExclScore	75.45554168054173	105.08251470751479	59.86628094128102	49.67503607503612	39.78258685758687	3.471428571428572	0.125	0.7023809523809523	17.14517704517704	34.35513375513375	1.0833333333333333	47.20632423132425	1.0595238095238095	1.4685897435897435	8.46346708846709	0.16666666666666666	22.86181873681873	1.2499999999999998	0.7936868686868687	2.4892857142857143	6.409065934065934	1.6416666666666668	8.721031746031748	2.491666666666667	0.47619047619047616	1.5357142857142856	2.453113553113553	7.903943278943281	0.575	1.6678321678321677	1.3095238095238093	6.542063492063492	0.25	0.5	3.9361111111111113	4.578607503607504	31.837251637251622	0.0	0.8928571428571428	0.9166666666666666	1.8392857142857142	1.0	9.753174603174603	1.7166666666666666	0.8964285714285714	0.7769230769230769	0.926190476190476	0.5095238095238095	1.365873015873016	1.7805555555555557	0.9023809523809523	27.07741702741702	13.259102009102007	31.468997668997673	1.7178571428571427	0.8	0.0	0.9666666666666666	0.7213675213675215	3.508008658008658	1.1190476190476188	1.7595238095238097	31.81786824286823	7.082972582972585	0.0	1.4261904761904762	5.565884115884115	0.8666666666666666	0.6345238095238095	0.0	1.9266233766233765	1.8678571428571429	0.9428571428571428	0.0	1.926190476190476	1.325	1.0892857142857144	3.151623376623376	1.1111111111111112	4.076190476190477	2.007539682539683	1.3447802197802197	0.8095238095238095	1.0833333333333333	0.09090909090909091	1.538034188034188	0.625	0.630952380952381	0.3333333333333333	2.126190476190476	0.25	0.776129426129426	0.7777777777777777	1.5523809523809524	1.8666666666666665	1.5435897435897434	0.6186868686868687	0.6678571428571429	1.0583333333333331	1.1928571428571428	26.498015873015866	0.6428571428571428	5.29047619047619	0.988095238095238	0.8777777777777777	5.201465201465202	0.6714285714285715	1.2833333333333334	0.1	3.3662087912087917	0.7833333333333333	0.8666666666666667	8.012373737373736	15.847161172161165	0.7142857142857142	1.7678321678321678	0.7000000000000001	0.6111111111111112	1.2083333333333333	3.0099206349206353	8.507575757575758	0.5833333333333333	2.0166666666666666	3.9389249639249644	0.1	2.4376373626373624	1.6595238095238098	1.952380952380952	0.7083333333333333	0.961111111111111	0.0	1.3777777777777778	2.8838383838383836	0.9083333333333332	2.3428571428571425	6.86511544011544	1.1345238095238095	2.769444444444445	0.6595238095238095	0.0	2.033333333333333	0.8428571428571427	16.051984126984124	0.6837662337662338	1.8154761904761905	2.8266233766233766	0.7909090909090909	2.380952380952381	2.2714285714285714	0.8511904761904762	0.0	1.3694444444444442	0.0	4.898809523809525	1.6107142857142858	0.2	8.77063492063492	1.630952380952381	0.9166666666666665	1.1206349206349207	6.2241813741813745	0.5587662337662338	1.1559523809523808	0.7297619047619048	0.6095238095238096	1.1761904761904762	0.5075757575757576	0.9857142857142858	0.16025641025641024	0.25	5.057575757575758	0.9444444444444444	1.3095238095238095	0.525	1.0595238095238095	2.333333333333333	1.038095238095238	0.7619047619047619	0.2	0.46785714285714286	0.0	3.516666666666667	0.2	7.859920634920636	1.2742424242424242	0.7909090909090909	0.7773809523809523	1.8558663558663557	3.6142857142857148	1.1845238095238095	0.7297619047619048	0.4575757575757576	0.1111111111111111	0.6166666666666667	1.1666666666666665	0.047619047619047616	1.1523809523809523	2.5456349206349205	0.6666666666666666	1.351190476190476
MutQty	293	308	227	174	149	11	1	4	68	104	4	153	4	8	40	1	90	4	6	13	22	5	36	10	2	7	16	38	5	9	5	27	1	2	12	18	121	0	3	5	9	1	47	6	4	5	4	3	9	7	6	69	52	141	5	3	0	4	4	13	5	6	92	33	0	6	24	4	4	0	9	7	4	0	9	5	5	18	5	15	11	8	3	4	1	9	2	4	1	8	1	6	3	7	8	9	4	4	6	6	98	3	23	6	4	25	5	5	1	11	3	4	37	64	3	6	4	3	6	18	32	2	8	20	1	11	8	11	3	4	0	6	11	4	8	27	5	12	4	0	5	3	55	4	8	10	4	10	13	4	0	8	0	20	7	1	33	5	5	6	24	4	7	4	4	6	3	4	2	1	15	4	3	3	4	8	5	4	1	3	0	15	1	34	5	3	5	13	15	5	4	3	1	3	3	1	5	10	3	7
TCGA-A2-A0YT-01	1	1	1	1			1																														1																	1																																																												1																																																																																						
TCGA-AN-A0AJ-01	1	1	1	1								1											1														1																																									1																																																																																																																										
TCGA-A2-A04P-01	1	1	1	1																								1															1						1										1																																																																																																																													1																
TCGA-C8-A130-01	1	1	1	1																																																																																																																																																																																																				
TCGA-BH-A202-01	1	1	1		1				1													1															1																																							1																																																																																																																												
