SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
39	13	15	48	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,CDH1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,FAM123B
40	13	16	46	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,CDH1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CDC42,FAM123B
41	14	16	48	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,CDH1,RB1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CDC42,FAM123B
42	14	16	48	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,CDH1,RB1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CDC42,FAM123B
43	14	16	48	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,CDH1,RB1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CDC42,FAM123B
44	14	16	48	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,CDH1,RB1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CDC42,FAM123B
45	15	16	50	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CDC42,FAM123B
46	15	17	48	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B
47	16	17	50	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,ATM,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B
48	16	17	50	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,ATM,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B
49	16	18	48	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,ATM,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,SMAD2
50	16	18	48	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,ATM,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,SMAD2
51	16	18	48	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,ATM,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,SMAD2
52	16	19	47	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,ATM,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,SMAD3,SMAD2
53	16	19	47	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,ATM,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,SMAD3,SMAD2
54	16	20	45	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,ATM,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2
55	16	20	45	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,PTEN,PIK3R1,TCF7L2,CDH1,RB1,ATM,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L,NLRC4,SMAD9,VAV2,MACF1,CTNNA1,CDC42,FAM123B,TTN,SMAD3,SMAD2
