Gene	TP53	EGFR	ERBB2	NRXN1	MACF1	APC	CTNNB1	MYO16	SIPA1L1	VCAN	STK11
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
GeneName	TP53	EGFR	ERBB2	NRXN1	MACF1	APC	CTNNB1	MYO16	SIPA1L1	VCAN	STK11
TCGA-93-A4JN-01	1										
TCGA-17-Z052-01	1										
TCGA-97-7553-01	1										
TCGA-86-8673-01	1										
TCGA-55-6712-01	1										
TCGA-55-8619-01	1										
TCGA-55-7914-01	1										
TCGA-97-7937-01	1										
TCGA-91-6831-01	1										
TCGA-17-Z044-01	1										
TCGA-95-8494-01	1										
TCGA-55-7726-01	1										
TCGA-17-Z057-01	1										
TCGA-44-6777-01	1										
TCGA-44-5643-01	1										
TCGA-55-8204-01	1										
TCGA-64-1677-01	1										
TCGA-44-6778-01	1										
TCGA-50-6592-01	1										
TCGA-78-7150-01	1										
TCGA-44-6775-01	1										
TCGA-91-8499-01	1										
TCGA-55-7724-01	1										
TCGA-62-A46R-01	1										
TCGA-44-6774-01	1										
TCGA-50-5931-01	1										
TCGA-55-8621-01	1										
TCGA-17-Z005-01	1										
TCGA-91-A4BC-01	1										
TCGA-73-4676-01	1										
TCGA-55-7903-01	1										
TCGA-93-A4JO-01	1										
TCGA-50-6594-01	1										
TCGA-55-7283-01	1										
TCGA-17-Z062-01	1										
TCGA-78-7540-01	1										
TCGA-49-4505-01	1										
TCGA-05-4396-01	1										
TCGA-50-6593-01	1										
TCGA-97-A4LX-01	1										
TCGA-55-8616-01	1										
TCGA-86-7953-01	1										
TCGA-97-A4M0-01	1										
TCGA-86-7711-01	1										
TCGA-55-7227-01	1										
TCGA-55-A491-01	1										
TCGA-MN-A4N1-01	1										
TCGA-55-A493-01	1										
TCGA-99-8033-01	1										
TCGA-55-6979-01	1										
TCGA-05-4405-01	1										
TCGA-78-7145-01	1										
TCGA-17-Z020-01	1										
TCGA-75-5147-01	1										
TCGA-35-4123-01	1										
TCGA-50-8460-01	1										
TCGA-78-7149-01	1										
TCGA-75-5125-01	1										
TCGA-97-A4M7-01		1		1							
TCGA-44-4112-01		1				1	1		1		
TCGA-78-7158-01		1					1				
TCGA-97-8171-01		1					1				
TCGA-69-7763-01		1									1
TCGA-44-3917-01		1									
TCGA-38-4627-01		1									
TCGA-17-Z002-01		1									
TCGA-78-7220-01		1									
TCGA-MP-A4SW-01		1									
TCGA-97-A4M6-01		1									
TCGA-75-7025-01		1									
TCGA-49-4494-01		1									
TCGA-97-8177-01		1									
TCGA-67-6217-01		1									
TCGA-MP-A4T6-01		1									
TCGA-38-4628-01		1									
TCGA-17-Z032-01		1									
TCGA-75-6212-01		1									
TCGA-55-8206-01		1									
TCGA-J2-8192-01		1									
TCGA-49-4501-01		1									
TCGA-86-8668-01		1									
TCGA-67-3772-01		1									
TCGA-17-Z048-01		1									
TCGA-55-6980-01		1									
TCGA-91-6835-01		1									
TCGA-55-6981-01		1									
TCGA-49-AARO-01		1									
TCGA-97-8552-01		1									
TCGA-44-2661-01		1									
TCGA-86-A456-01			1		1					1	
TCGA-69-7761-01			1								
TCGA-44-3919-01			1								
TCGA-86-6562-01			1								
TCGA-55-1596-01			1								
TCGA-55-1592-01			1								
TCGA-05-4434-01			1								
TCGA-55-8511-01			1								
TCGA-44-A47B-01			1								
TCGA-05-5715-01			1								
TCGA-78-7156-01				1	1				1		1
TCGA-75-5122-01				1	1						
TCGA-73-4659-01				1		1					
TCGA-17-Z011-01				1		1					
TCGA-50-8459-01				1				1			
TCGA-44-7672-01				1				1			
