SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
49	8	10	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A
50	8	10	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A
51	8	10	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A
52	9	11	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A,TTN
53	9	11	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A,TTN
54	9	12	45	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A,RELN,TTN
55	9	12	45	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A,RELN,TTN
56	9	12	45	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A,RELN,TTN
57	9	12	45	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A,RELN,TTN
58	9	12	45	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A,RELN,TTN
59	9	13	43	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A,GRIN2B,RELN,TTN
60	9	13	43	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A,GRIN2B,RELN,TTN
61	9	13	43	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A,GRIN2B,RELN,TTN
62	9	14	41	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A,GRIN2B,RELN,TTN
63	9	16	38	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,RELN,TTN,ATF7IP
64	10	16	40	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,RELN,TTN,ATF7IP
65	11	16	42	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,RELN,TTN,ATF7IP
66	11	17	41	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,NAV3,RELN,TTN,ATF7IP
67	11	18	40	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,TTN,ATF7IP
68	11	19	38	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,ANKS1B,TTN,ATF7IP
69	11	19	38	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,ANKS1B,TTN,ATF7IP
70	11	19	38	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,ANKS1B,TTN,ATF7IP
71	11	21	36	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,ANKS1B,TTN,ATF7IP,DST,GRB2
72	11	21	36	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,ANKS1B,TTN,ATF7IP,DST,GRB2
73	11	22	35	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,ANKS1B,TTN,ATF7IP,DST,ATN1,GRB2
74	11	22	35	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,ANKS1B,TTN,ATF7IP,DST,ATN1,GRB2
75	11	22	35	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,ANKS1B,TTN,ATF7IP,DST,ATN1,GRB2
76	11	25	32	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,IRS4,ANKS1B,TTN,ATF7IP,DST,ATN1,MEGF10,GRB2
77	12	25	34	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,MET,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,IRS4,ANKS1B,TTN,ATF7IP,DST,ATN1,MEGF10,GRB2
78	12	25	34	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,MET,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,IRS4,ANKS1B,TTN,ATF7IP,DST,ATN1,MEGF10,GRB2
79	13	25	35	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,MET,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,IRS4,ANKS1B,TTN,ATF7IP,DST,ATN1,MEGF10,GRB2
80	14	25	37	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,IRS4,ANKS1B,TTN,ATF7IP,DST,ATN1,MEGF10,GRB2
81	14	25	37	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,IRS4,ANKS1B,TTN,ATF7IP,DST,ATN1,MEGF10,GRB2
82	14	25	37	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,IRS4,ANKS1B,TTN,ATF7IP,DST,ATN1,MEGF10,GRB2
83	14	25	37	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,IRS4,ANKS1B,TTN,ATF7IP,DST,ATN1,MEGF10,GRB2
84	14	26	36	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,IRS4,ANKS1B,TTN,ATF7IP,DST,MEOX2,ATN1,MEGF10,GRB2
85	14	27	35	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,RELN,IRS4,ANKS1B,TTN,LIF,ATF7IP,DST,MEOX2,ATN1,MEGF10,GRB2
86	14	30	33	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,ATF2,RELN,IRS4,ANKS1B,TTN,LIF,ATF7IP,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,GRB2
87	15	31	34	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,ATF2,RELN,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,GRB2
88	15	33	32	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,GRB2,RANBP10
89	15	34	32	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,PAK1,GRB2,RANBP10
90	15	34	32	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,PAK1,GRB2,RANBP10
91	15	35	31	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,HGF,PAK1,GRB2,RANBP10
92	15	35	31	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,HGF,PAK1,GRB2,RANBP10
93	15	35	31	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,HGF,PAK1,GRB2,RANBP10
94	15	35	31	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,HGF,PAK1,GRB2,RANBP10
95	15	37	30	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,CNTNAP2,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,HGF,PAK1,DAB1,GRB2,RANBP10
96	15	38	29	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,FYN,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,CNTNAP2,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,HGF,PAK1,DAB1,GRB2,RANBP10
97	15	38	29	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,FYN,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,CNTNAP2,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,HGF,PAK1,DAB1,GRB2,RANBP10
98	15	38	29	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,FYN,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,CNTNAP2,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,HGF,PAK1,DAB1,GRB2,RANBP10
99	15	38	29	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,FYN,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,CNTNAP2,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,HGF,PAK1,DAB1,GRB2,RANBP10
100	15	38	29	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,FYN,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,CNTNAP2,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,HGF,PAK1,DAB1,GRB2,RANBP10
101	15	38	29	TP53,EGFR,ERBB2,APC,CTNNB1,PMS2,STK11,KRAS,SMAD4,KDR,PTPRB,PIK3CA,RB1,MET,ATM,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,NLRC4,PDZD2,SMYD2,ERBB4,ATXN1,VAV2,ERBB3,CACNA1A,GRIN2B,FYN,USP7,NAV3,ATF2,RELN,BDKRB2,IRS4,ANKS1B,TTN,LIF,ATF7IP,SCN3B,CNTNAP2,DST,CX3CL1,MEOX2,ATN1,RFWD2,MEGF10,HGF,PAK1,DAB1,GRB2,RANBP10
