Gene	TP53	MDM2	RB1	MYC	PIK3CA	ATM	CDKN1A	CCND1	APC	BCL2L1	CREBBP	DDX5	USP7	CTNNB1	ERBB2	PPARG	BNIP3L	HDAC2	EWSR1	TK1	TRRAP	BRCA1	YWHAZ	CDKN2A	EGFR	VCAN	SMARCA2	ARNT	MYB	TNFRSF10B	ATR	ERBB3	TNFRSF10C	FDXR	FOXA1	MCL1	GRB2	JAK2	PPP1CA	SMARCA4
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0
GeneName	TP53	MDM2	RB1	MYC	PIK3CA	ATM	CDKN1A	CCND1	APC	BCL2L1	CREBBP	DDX5	USP7	CTNNB1	ERBB2	PPARG	BNIP3L	HDAC2	EWSR1	TK1	TRRAP	BRCA1	YWHAZ	CDKN2A	EGFR	VCAN	SMARCA2	ARNT	MYB	TNFRSF10B	ATR	ERBB3	TNFRSF10C	FDXR	FOXA1	MCL1	GRB2	JAK2	PPP1CA	SMARCA4
TCGA-DK-A3IL-01	1		1																													1								
TCGA-BT-A2LA-01	1		1																															1			1			
TCGA-FD-A6TE-01	1		1																																					
TCGA-UY-A78L-01	1		1																																					
TCGA-FD-A43N-01	1			1	1	1																	1												1					
TCGA-4Z-AA87-01	1			1	1											1			1				1	1			1											1		
TCGA-G2-A3IE-01	1			1		1		1					1			1							1				1	1								1				
TCGA-GV-A3JZ-01	1			1		1						1			1					1	1						1	1						1		1	1	1		
TCGA-E7-A7DV-01	1			1		1										1							1					1								1				
TCGA-DK-A3IK-01	1			1		1																	1																	
TCGA-4Z-AA80-01	1			1					1							1					1																			
TCGA-FD-A5BR-01	1			1							1												1	1																
TCGA-GC-A3RB-01	1			1												1							1		1			1	1							1				
TCGA-E7-A97Q-01	1			1												1							1																	
TCGA-FD-A5BV-01	1			1															1				1	1																
TCGA-XF-A9SY-01	1			1																	1			1		1														
TCGA-FD-A6TK-01	1			1																			1	1																
TCGA-GD-A6C6-01	1				1	1		1								1							1	1		1														
TCGA-ZF-AA53-01	1				1	1		1									1							1						1		1	1	1						
TCGA-ZF-A9RL-01	1				1		1				1								1					1		1					1								1	
TCGA-DK-A1A6-01	1				1			1							1								1					1												
TCGA-DK-A1A5-01	1				1			1							1									1	1		1	1								1				
TCGA-UY-A78M-01	1				1			1															1	1				1								1				
TCGA-DK-AA77-01	1				1			1																1		1														1
TCGA-4Z-AA7W-01	1				1			1																1			1	1								1				
TCGA-HQ-A5NE-01	1				1				1								1				1									1		1	1						1	
TCGA-ZF-A9RG-01	1				1						1				1							1																		
TCGA-BT-A20O-01	1				1						1								1																					
TCGA-ZF-AA4N-01	1				1						1												1	1																
TCGA-GC-A3OO-01	1				1							1			1																									
TCGA-FD-A3NA-01	1				1								1										1	1																
TCGA-FD-A3SJ-01	1				1											1							1									1								
TCGA-E7-A7DU-01	1				1																1			1							1									
TCGA-E5-A2PC-01	1				1																			1	1										1					
TCGA-GC-A6I3-01	1				1																			1	1															
TCGA-DK-AA6X-01	1				1																			1							1	1								
TCGA-DK-AA6Q-01	1				1																			1																
TCGA-K4-A4AB-01	1				1																			1																
TCGA-G2-A2EJ-01	1				1																															1				
TCGA-ZF-A9RE-01	1				1																																			
TCGA-GC-A3WC-01	1				1																																			
TCGA-DK-A1AB-01	1				1																																			
TCGA-ZF-AA52-01	1				1																																			
TCGA-KQ-A41O-01	1					1		1			1													1														1		
TCGA-UY-A9PH-01	1					1		1																1								1				1				
TCGA-ZF-A9RN-01	1					1					1													1																
TCGA-K4-A6MB-01	1					1																	1					1								1				
TCGA-BT-A20U-01	1					1																		1		1														
TCGA-UY-A8OB-01	1					1																				1														1
TCGA-G2-A3IB-01	1						1	1																																
TCGA-4Z-AA7R-01	1						1										1					1	1	1			1			1	1		1					1		
TCGA-HQ-A5ND-01	1							1	1															1																
TCGA-GD-A3OS-01	1							1		1						1								1																
TCGA-BT-A42F-01	1							1				1									1																			
TCGA-UY-A78O-01	1							1								1	1						1							1			1							
TCGA-FD-A62S-01	1							1									1							1	1		1			1			1					1		
TCGA-GC-A6I1-01	1							1															1	1																
TCGA-BT-A20J-01	1							1																1	1	1		1			1					1				
TCGA-CU-A3KJ-01	1							1																1				1								1				1
TCGA-G2-A2ES-01	1							1																1																1
TCGA-ZF-AA4W-01	1								1													1		1																
TCGA-DK-A3IU-01	1								1																	1	1													
TCGA-BT-A2LB-01	1								1																								1		1					
TCGA-GC-A3RC-01	1									1	1										1																			
TCGA-2F-A9KP-01	1									1					1	1							1																	
TCGA-XF-A9SK-01	1									1														1	1															
TCGA-BT-A20N-01	1									1																														
TCGA-DK-A2I1-01	1										1	1				1								1																
TCGA-KQ-A41P-01	1										1		1			1							1							1			1							
TCGA-DK-AA6U-01	1										1						1													1			1							
TCGA-FD-A3SP-01	1										1												1	1						1			1							
TCGA-K4-AAQO-01	1										1													1		1	1				1							1		
TCGA-DK-A1AD-01	1										1																	1								1				
TCGA-XF-AAMT-01	1										1																													
TCGA-UY-A9PD-01	1											1	1										1					1								1				
TCGA-GU-AATP-01	1												1		1	1																							1	
TCGA-FJ-A3ZE-01	1												1			1					1			1			1													1
TCGA-FD-A3SR-01	1												1											1				1		1			1			1		1		
