Gene	TP53	PIK3CA	MACF1	NRXN1	CTNNB1	APC	MYO16	VAV2	DDX5	ERBB2	RNASEN	RB1	TTN	MYST1	TP53INP1	SIPA1L1	ERBB3	NLRC4	VCAN	CDKN1A	RHOA	CX3CL1	PMS2	PDZD2	ATXN1	DGCR8	DDB2	FOXA1	EGFR	NRCAM	BRD2	SMAD9	ATM	SETD7	CREBBP	CACNA1A	PPM1J	PIK3R1	RBP2	PPP1CA	TNIK	ATF7IP	SESN1	MET	DST	HSPA12A	ABL1	SKIL	MAGI3	FGFR3	SOS1	CDH1	BRCA1	SRC	CELSR3	SYNE1	CDC42	BARD1	MEGF10	CNTNAP2	CNTNAP4	ATN1	SP1	CTNND1	DSCAML1	ESR1	RANBP2	PLXND1	CHD3	FYN	KDR	GSK3B	ITGAM	CHGB	TMCO7	PLXNB3	ITGB2	CTNNA1	RAC1	HGF	EGF	PLCG1	KDM6A	ANXA7	WNK1	USP7	CEP63	EP300	EXOC1	MAGI2	TNS3	LRP1	APOB	TXK	ERBB4	TP63	NEB	DTNBP1	SMAD4	SETDB1	MEOX2	ITGB3	JUN	ITGAV	DISC1	OBSCN	TPR	CDH2	ITIH1	MYC	SPTBN1	PDGFRB	PPARG	HSP90AA1	PLEKHA7	HRAS	CREB3	MLL2	PLCL2	KIAA1377	TRRAP	PDE4DIP	ATR	GOLGA2	PLEKHA5	PRDM1	GRB2	RELN	RIF1	YWHAZ	SPTAN1	SMARCA4	STAT1	PTPRB	MAX	PTPRG	ITGB4	EPHA2	HIF1A	RXRA	MTOR	SMAD3	ESR2	CRK	NOTCH1	NCOR2	HTT	SCAPER	PTPRJ	AXIN2	PTPRC	LAMA4	ARNT	CDC5L	RANBP10	SYNGAP1	EEF1A1	KAT5	PTPN12	SHC1	FBXO21	SUPT6H	TBC1D4	SMAD1	CUL7	GAB1	CDKN1B	IRF5	ANKS1A	KIAA1543	TK1	NCK2	NCK1	YLPM1	TNNT1	SYK	AKAP13	HDAC2	ITSN2	CBL	TGFBR1	NLK	MAP3K4	KIAA1549	MED13	MED23	PUM2	MAST3	MAPK14	TSC22D1	CSE1L	DLG1	LTBP1	DNM2	LPA	HDAC1	WDTC1	ALMS1	NCOR1	VIM
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0	101.0	102.0	103.0	104.0	105.0	106.0	107.0	108.0	109.0	110.0	111.0	112.0	113.0	114.0	115.0	116.0	117.0	118.0	119.0	120.0	121.0	122.0	123.0	124.0	125.0	126.0	127.0	128.0	129.0	130.0	131.0	132.0	133.0	134.0	135.0	136.0	137.0	138.0	139.0	140.0	141.0	142.0	143.0	144.0	145.0	146.0	147.0	148.0	149.0	150.0	151.0	152.0	153.0	154.0	155.0	156.0	157.0	158.0	159.0	160.0	161.0	162.0	163.0	164.0	165.0	166.0	167.0	168.0	169.0	170.0	171.0	172.0	173.0	174.0	175.0	176.0	177.0	178.0	179.0	180.0	181.0	182.0	183.0	184.0	185.0	186.0	187.0	188.0	189.0	190.0	191.0	192.0	193.0	194.0	195.0	196.0	197.0	198.0	199.0
GeneName	TP53	PIK3CA	MACF1	NRXN1	CTNNB1	APC	MYO16	VAV2	DDX5	ERBB2	RNASEN	RB1	TTN	MYST1	TP53INP1	SIPA1L1	ERBB3	NLRC4	VCAN	CDKN1A	RHOA	CX3CL1	PMS2	PDZD2	ATXN1	DGCR8	DDB2	FOXA1	EGFR	NRCAM	BRD2	SMAD9	ATM	SETD7	CREBBP	CACNA1A	PPM1J	PIK3R1	RBP2	PPP1CA	TNIK	ATF7IP	SESN1	MET	DST	HSPA12A	ABL1	SKIL	MAGI3	FGFR3	SOS1	CDH1	BRCA1	SRC	CELSR3	SYNE1	CDC42	BARD1	MEGF10	CNTNAP2	CNTNAP4	ATN1	SP1	CTNND1	DSCAML1	ESR1	RANBP2	PLXND1	CHD3	FYN	KDR	GSK3B	ITGAM	CHGB	TMCO7	PLXNB3	ITGB2	CTNNA1	RAC1	HGF	EGF	PLCG1	KDM6A	ANXA7	WNK1	USP7	CEP63	EP300	EXOC1	MAGI2	TNS3	LRP1	APOB	TXK	ERBB4	TP63	NEB	DTNBP1	SMAD4	SETDB1	MEOX2	ITGB3	JUN	ITGAV	DISC1	OBSCN	TPR	CDH2	ITIH1	MYC	SPTBN1	PDGFRB	PPARG	HSP90AA1	PLEKHA7	HRAS	CREB3	MLL2	PLCL2	KIAA1377	TRRAP	PDE4DIP	ATR	GOLGA2	PLEKHA5	PRDM1	GRB2	RELN	RIF1	YWHAZ	SPTAN1	SMARCA4	STAT1	PTPRB	MAX	PTPRG	ITGB4	EPHA2	HIF1A	RXRA	MTOR	SMAD3	ESR2	CRK	NOTCH1	NCOR2	HTT	SCAPER	PTPRJ	AXIN2	PTPRC	LAMA4	ARNT	CDC5L	RANBP10	SYNGAP1	EEF1A1	KAT5	PTPN12	SHC1	FBXO21	SUPT6H	TBC1D4	SMAD1	CUL7	GAB1	CDKN1B	IRF5	ANKS1A	KIAA1543	TK1	NCK2	NCK1	YLPM1	TNNT1	SYK	AKAP13	HDAC2	ITSN2	CBL	TGFBR1	NLK	MAP3K4	KIAA1549	MED13	MED23	PUM2	MAST3	MAPK14	TSC22D1	CSE1L	DLG1	LTBP1	DNM2	LPA	HDAC1	WDTC1	ALMS1	NCOR1	VIM
MutualExclScore	24.044970944947714	9.700385519193565	6.012662468250702	2.2386459129106187	2.165079365079365	1.9042350623232975	1.8983585858585854	0.5066849816849817	0.7504329004329003	4.530199974603999	0.7992386698269052	8.856194301914115	19.616506457079197	0.8444444444444444	0.7694444444444444	0.29646464646464643	4.062649469553494	0.8081349206349205	3.6001405457287814	5.849569363385153	2.241038536626772	0.5182862888745241	0.7212662337662338	2.045314712806973	0.8749999999999999	0.6846611721611721	0.32048872180451127	1.7420024420024418	0.5135243841126194	0.8073773448773449	1.3498949579831931	0.3159090909090909	5.334548915137151	0.3380952380952381	6.383798554386789	1.82005525004751	0.3111111111111111	0.844877344877345	0.5804093567251462	0.3483076563958917	0.6378278584160937	0.8299875563033458	0.6071428571428571	1.5567210567210565	3.233996967085203	0.8738779194661547	0.8946178821178821	1.100186741363212	0.47483766233766234	8.995617291205525	2.4182900432900434	1.496221322537112	2.0939014202172093	0.7767857142857142	1.8459429734352333	6.480214257706517	0.30604575163398695	0.6851911976911977	0.7968253968253967	2.4735782191664546	1.3902610246650493	0.7175207961972668	0.30168067226890755	0.7628357753357753	2.1164682539682538	0.6954887218045113	1.9850669213827108	0.8190587190587191	1.815018315018315	0.44722222222222224	1.4727564102564104	0.4401154401154401	0.8629785247432307	0.7081953993718699	0.8678571428571428	1.1267857142857143	0.8261904761904761	0.5081099456099456	0.37202380952380953	0.8863858363858363	1.6222222222222222	0.7344988344988345	12.744604312096566	0.7463235294117647	1.8911075036075036	0.6828571428571428	0.5385854341736694	6.1853529640294305	0.7456709956709957	1.227077497665733	0.6767607392607393	3.181658107973898	2.615856262760288	0.5267857142857143	0.7052669552669553	1.5777344877344879	4.215611654427444	0.48737373737373735	0.8254901960784313	0.6182451320609215	0.32196275946275943	0.7286647992530346	0.23642857142857143	1.444083694083694	0.44047619047619047	3.961301123197408	1.6821672608437312	0.9166556972439326	0.44920634920634916	0.17424242424242425	2.001190476190476	0.9532679738562091	1.1059274059274058	1.4125272388430283	1.278943278943279	2.808766233766234	1.0722222222222222	14.894873955593763	0.6035907504947753	1.4950229294269541	2.8899775061539765	3.7379263985068945	2.2749911638069533	0.947236227824463	0.9878028404344195	0.5780644793802687	0.0	2.8594460063500318	1.3554217840982545	0.5444444444444444	6.313878154009732	1.8994079449961803	0.9371348809429305	1.5993718699601054	0.0	0.9606532356532356	1.2067210567210567	1.7022759103641456	0.5194805194805194	2.6771284271284275	0.6884753103793353	0.3745421245421245	0.38095238095238093	0.14285714285714285	1.8793363499245852	2.1656056361938716	1.1999567099567099	1.1321717171717172	0.7948412698412699	1.474920634920635	1.31927327058906	1.8277559428875216	1.4136655011655008	0.2976190476190476	0.2	0.6273559773559774	0.9678571428571429	0.3722222222222222	0.5059523809523809	0.514520202020202	0.765079365079365	1.6118937924820276	0.9133458646616541	0.28535353535353536	1.143986568986569	0.5516806722689076	0.3948412698412698	0.3561507936507936	0.915205056381527	0.7678571428571428	0.09090909090909091	0.4682539682539682	0.0625	0.6011904761904762	0.5169172932330827	0.8578754578754578	1.285454822954823	0.3733333333333333	1.0940226440226442	0.5290043290043289	0.6138888888888888	0.41156015037593985	2.540093370681606	0.7747076023391812	2.106179653679654	0.6517328861369109	0.9908480408480409	0.4909090909090909	0.0625	0.7038888888888889	0.6839646464646465	2.0616013071895427	2.4457393913276264	0.9842564298446651	0.8196178821178821	0.6583333333333333	0.7095238095238094	2.768811232627022	2.582445740533976	0.5024531024531024
MutQty	174	71	46	17	12	16	20	5	8	36	7	62	154	6	4	4	35	8	27	30	18	5	6	19	5	8	4	12	5	8	10	3	41	3	45	18	3	4	4	5	8	8	5	14	32	8	8	9	6	54	13	13	16	5	21	58	4	8	7	18	12	10	4	7	16	4	20	8	11	4	12	4	9	8	6	8	5	5	4	9	13	7	91	6	16	7	5	49	7	12	8	24	24	5	7	13	33	6	5	8	4	6	3	12	3	37	18	9	6	2	13	7	8	16	9	14	6	94	8	12	24	35	22	11	8	5	0	24	11	4	37	19	9	12	0	9	11	15	5	22	8	4	3	1	11	15	13	9	6	13	12	18	9	3	1	6	7	4	4	5	5	15	8	3	10	5	4	4	9	7	1	4	1	6	5	6	12	2	13	4	5	5	15	7	21	7	9	4	1	6	7	8	14	10	8	4	5	23	24	5
TCGA-FD-A3SO-01	1	1	1									1	1						1	1	1																																																					1														1																			1															1																																													1		1																															
TCGA-5N-A9KI-01	1	1	1									1	1																	1																																																																																																																							1																																																			
TCGA-DK-AA6Q-01	1	1	1										1																																							1							1																																																				1																																																																																									
TCGA-4Z-AA87-01	1	1	1																																														1													1																																				1																	1																1																	1																																															1			1		
TCGA-DK-AA77-01	1	1		1									1						1			1																												1																																	1					1														1				1						1								1									1			1																														1																					1																	
TCGA-4Z-AA84-01	1	1			1																									1			1			1								1											1	1	1					1			1																		1																							1						1	1					1																																																																								1										
